frame,value
0,3
0.001037,2
0.002163,1
0.00337,2
0.004453,2
0.00551,3
0.00677,3
0.0079,3
0.008933,5
0.010255,4
0.011373,4
0.012548,4
0.013598,4
0.014928,5
0.015993,4
0.017009,7
0.018116,5
0.019154,5
0.020352,6
0.021601,5
0.022605,5
0.02383,5
0.025037,4
0.026072,4
0.027084,4
0.028171,5
0.029387,5
0.030439,5
0.031633,5
0.032796,4
0.0338,6
0.034866,5
0.035963,5
0.037093,5
0.038322,5
0.039639,6
0.040661,7
0.04168,8
0.042692,7
0.043713,6
0.044793,7
0.045996,6
0.047026,7
0.048032,8
0.049111,5
0.050144,5
0.051156,6
0.052182,7
0.05331,6
0.054319,6
0.055362,6
0.056499,5
0.057507,7
0.058701,7
0.059878,6
0.060882,6
0.061893,6
0.062909,7
0.063964,7
0.065028,8
0.066043,9
0.067244,7
0.068262,9
0.069269,7
0.070289,8
0.071319,8
0.072377,5
0.073552,8
0.074553,8
0.075762,5
0.077013,7
0.078019,5
0.079152,7
0.080384,8
0.081603,3
0.082677,3
0.083872,7
0.085172,7
0.086322,2
0.087376,6
0.088425,7
0.089477,4
0.090664,8
0.092019,6
0.093309,7
0.094346,3
0.095792,7
0.097039,9
0.098577,6
0.099597,8
0.100848,9
0.101853,9
0.102969,8
0.103993,7
0.105012,7
0.106102,8
0.107319,8
0.10839,9
0.109449,6
0.110507,8
0.11155,7
0.112582,8
0.113619,7
0.114845,6
0.115903,7
0.117168,7
0.118203,6
0.119237,5
0.120299,4
0.121305,5
0.122435,5
0.123532,7
0.124759,6
0.12579,6
0.126821,5
0.127879,6
0.128988,6
0.130181,3
0.131235,4
0.132277,4
0.133342,7
0.134941,6
0.136067,5
0.137255,5
0.13856,5
0.13959,5
0.140637,5
0.141719,4
0.142834,5
0.144035,6
0.145369,4
0.146425,4
0.14753,5
0.149399,4
0.150486,7
0.151611,6
0.152852,3
0.15389,7
0.155469,6
0.156551,5
0.157593,7
0.158676,7
0.160031,6
0.161171,6
0.162221,6
0.163255,5
0.164488,6
0.165716,6
0.166763,7
0.167841,7
0.168892,6
0.169973,5
0.171007,7
0.172091,6
0.173174,6
0.174328,5
0.175353,6
0.17667,7
0.177692,6
0.178844,5
0.179871,7
0.180929,7
0.182043,6
0.183149,7
0.184363,8
0.185524,5
0.186716,7
0.187717,6
0.188851,6
0.189929,7
0.190959,7
0.191986,8
0.193076,7
0.194155,10
0.19536,6
0.196379,6
0.197414,9
0.198464,10
0.199676,7
0.200871,8
0.201928,9
0.202943,8
0.204279,7
0.205327,7
0.206764,6
0.20787,10
0.209282,8
0.210373,10
0.211448,8
0.212469,8
0.213485,9
0.214694,12
0.215813,11
0.216911,8
0.217957,14
0.219126,10
0.220205,7
0.221319,9
0.222345,9
0.223472,10
0.22451,7
0.22555,7
0.226646,8
0.227654,8
0.228895,6
0.230002,8
0.231136,5
0.232303,7
0.233311,5
0.234346,6
0.235554,6
0.236693,5
0.237705,8
0.238888,5
0.239935,5
0.241066,3
0.242087,5
0.243342,4
0.244392,6
0.245465,6
0.246591,5
0.247801,6
0.248823,5
0.249873,5
0.250901,5
0.252166,4
0.253295,7
0.254308,4
0.255476,3
0.256485,2
0.257493,3
0.258901,3
0.259971,3
0.261095,3
0.262158,3
0.263317,3
0.264321,5
0.26567,4
0.266886,4
0.268086,5
0.269143,6
0.270221,5
0.271246,7
0.27228,6
0.27339,6
0.274517,4
0.275647,4
0.276868,3
0.278038,3
0.279181,3
0.280664,2
0.281999,1
0.283291,1
0.284438,2
0.285926,1
0.288081,1
0.289967,1
0.291627,1
0.293229,1
0.294581,1
0.297103,1
0.299158,1
0.30065,1
0.302939,1
0.305894,1
0.308358,1
0.310075,1
0.31208,1
0.315546,1
0.318677,1
0.32013,1
0.322777,1
0.324473,1
0.32819,2
0.331674,1
0.334374,1
0.338325,1
0.34035,1
0.343011,1
0.346157,1
0.348912,1
0.351771,2
0.364683,3
0.377895,4
0.390459,2
0.406167,2
0.421793,3
0.435758,3
0.449896,3
0.464486,3
0.482566,2
0.496774,3
0.510534,3
0.525489,5
0.542245,3
0.561137,2
0.578959,2
0.594475,3
0.612448,2
0.626862,2
0.639816,2
0.654635,1
0.667634,2
0.69068,2
0.704308,1
0.721191,1
0.734633,2
0.749761,2
0.771017,3
0.789023,2
0.810208,2
0.836189,2
0.850816,1
0.863958,2
0.881742,2
0.904797,2
0.928086,2
0.946628,2
0.969975,1
0.99178,2
1.005084,2
1.025113,2
1.043753,2
1.066825,1
1.084611,2
1.106503,1
1.120202,1
1.137835,1
1.152395,1
1.174588,2
1.198617,1
1.214809,1
1.228238,2
1.248078,2
1.263122,2
1.288382,1
1.309131,1
1.326295,1
1.344107,1
1.361208,1
1.385042,3
1.402676,5
1.416938,6
1.431277,8
1.445587,6
1.458541,5
1.472104,5
1.485545,10
1.4983,5
1.511867,9
1.524938,12
1.539073,9
1.551702,9
1.564764,9
1.578262,9
1.592179,9
1.605762,9
1.618432,6
1.6317,5
1.64586,4
1.660786,3
1.67799,3
1.691012,4
1.705861,3
1.72026,3
1.733784,5
1.750453,3
1.76861,6
1.784501,3
1.79759,3
1.810417,4
1.825939,4
1.841029,3
1.854753,3
1.867739,2
1.880656,3
1.894185,4
1.90796,3
1.925015,4
1.942743,3
1.958349,3
1.973111,5
1.988615,3
2.00127,5
2.017923,3
2.034316,3
2.050741,5
2.064151,4
2.078941,6
2.092653,6
2.107803,7
2.122094,36
2.134799,42
2.147476,53
2.160064,42
2.173076,45
2.186137,10
2.199633,6
2.212264,7
2.225458,8
2.238763,7
2.252574,7
2.267027,6
2.280902,9
2.293857,14
2.307947,7
2.321815,9
2.335776,6
2.349302,3
2.361936,2
2.375789,5
2.389957,7
2.402882,9
2.415948,7
2.431931,4
2.447018,4
2.459528,5
2.472632,4
2.487754,4
2.503138,4
2.51722,3
2.530474,5
2.54524,3
2.557994,4
2.570779,4
2.586432,3
2.601138,3
2.619467,5
2.638255,4
2.652201,2
2.665582,5
2.6805,3
2.694154,5
2.706692,8
2.719682,24
2.732435,31
2.745465,26
2.758511,21
2.771297,9
2.783842,7
2.797931,4
2.811708,3
2.826814,3
2.840941,4
2.854395,4
2.869582,4
2.886614,5
2.900323,4
2.916369,4
2.930207,2
2.943678,3
2.960061,4
2.976095,3
2.990785,3
3.004909,4
3.019556,3
3.032315,4
3.046248,4
3.059063,5
3.074097,5
3.088006,7
3.101267,6
3.114584,6
3.129183,9
3.142483,9
3.155613,5
3.169963,4
3.186698,4
3.204189,2
3.22033,1
3.234122,2
3.258715,2
3.280221,2
3.300428,1
3.31332,1
3.327816,1
3.349766,1
3.375162,1
3.390794,1
3.411831,1
3.440728,1
3.490728,1
3.527929,1
3.577929,1
3.625349,1
3.660879,1
3.681108,1
3.707294,1
3.757294,1
3.77857,1
3.79313,2
3.835311,1
3.856601,1
3.906601,1
3.91941,2
3.94287,1
3.961617,1
