frame,value
0,0
0,0
0,0
0,0
0.001037,0
0.001037,0
0.001037,0
0.002163,0
0.002163,0
0.00337,0
0.00337,0
0.00337,0
0.004453,0
0.004453,0
0.004453,0
0.00551,0
0.00551,0
0.00551,0
0.00551,0
0.00677,0
0.00677,0
0.00677,0
0.00677,0
0.0079,0
0.0079,0
0.0079,0
0.0079,0
0.008933,1
0.008933,1
0.008933,2
0.008933,4
0.008933,4
0.008933,4
0.010255,5
0.010255,8
0.010255,9
0.010255,9
0.010255,10
0.011373,12
0.011373,11
0.011373,11
0.011373,12
0.011373,16
0.012548,17
0.012548,17
0.012548,16
0.012548,20
0.012548,26
0.013598,28
0.013598,28
0.013598,28
0.013598,31
0.013598,28
0.014928,29
0.014928,30
0.014928,32
0.014928,32
0.014928,31
0.014928,33
0.015993,36
0.015993,36
0.015993,33
0.015993,34
0.015993,39
0.017009,39
0.017009,38
0.017009,38
0.017009,41
0.017009,43
0.017009,46
0.017009,48
0.017009,51
0.018116,56
0.018116,57
0.018116,61
0.018116,62
0.018116,63
0.018116,60
0.019154,60
0.019154,63
0.019154,69
0.019154,68
0.019154,68
0.019154,64
0.020352,60
0.020352,60
0.020352,62
0.020352,66
0.020352,67
0.020352,65
0.020352,76
0.021601,79
0.021601,77
0.021601,74
0.021601,77
0.021601,85
0.021601,85
0.022605,87
0.022605,94
0.022605,95
0.022605,95
0.022605,98
0.022605,104
0.02383,105
0.02383,110
0.02383,109
0.02383,117
0.02383,122
0.02383,125
0.025037,129
0.025037,133
0.025037,132
0.025037,137
0.025037,137
0.026072,141
0.026072,141
0.026072,143
0.026072,154
0.026072,155
0.027084,169
0.027084,182
0.027084,181
0.027084,197
0.027084,210
0.028171,233
0.028171,236
0.028171,240
0.028171,246
0.028171,254
0.028171,268
0.029387,265
0.029387,280
0.029387,279
0.029387,275
0.029387,271
0.029387,278
0.030439,284
0.030439,298
0.030439,298
0.030439,294
0.030439,298
0.030439,331
0.031633,329
0.031633,336
0.031633,346
0.031633,358
0.031633,362
0.031633,388
0.032796,396
0.032796,402
0.032796,402
0.032796,411
0.032796,408
0.0338,423
0.0338,423
0.0338,428
0.0338,428
0.0338,420
0.0338,431
0.0338,428
0.034866,425
0.034866,427
0.034866,426
0.034866,434
0.034866,431
0.034866,439
0.035963,440
0.035963,446
0.035963,444
0.035963,466
0.035963,468
0.035963,481
0.037093,501
0.037093,495
0.037093,488
0.037093,508
0.037093,510
0.037093,520
0.038322,524
0.038322,534
0.038322,534
0.038322,530
0.038322,527
0.038322,533
0.039639,533
0.039639,542
0.039639,540
0.039639,560
0.039639,561
0.039639,571
0.039639,577
0.040661,586
0.040661,594
0.040661,603
0.040661,594
