frame,value
0,9.98466e-07
0,9.991631e-07
0,9.945041e-07
0,9.98172e-07
0.001037,9.813918e-07
0.001037,9.879141e-07
0.001037,9.891038e-07
0.002163,9.98511e-07
0.002163,9.82374e-07
0.00337,9.852575e-07
0.00337,9.93468e-07
0.00337,9.563493e-07
0.004453,9.917804e-07
0.004453,9.948334e-07
0.004453,9.897641e-07
0.00551,9.562268e-07
0.00551,9.895807e-07
0.00551,9.962904e-07
0.00551,9.977323e-07
0.00677,9.98848e-07
0.00677,9.921097e-07
0.00677,9.922807e-07
0.00677,9.94983e-07
0.0079,9.895696e-07
0.0079,9.998832e-07
0.0079,9.976642e-07
0.0079,9.838296e-07
0.008933,9.928197e-07
0.008933,9.972899e-07
0.008933,9.897044e-07
0.008933,9.749124e-07
0.008933,9.792144e-07
0.008933,9.958095e-07
0.010255,9.863394e-07
0.010255,9.916311e-07
0.010255,9.989551e-07
0.010255,9.975387e-07
0.010255,9.866794e-07
0.011373,9.865305e-07
0.011373,9.940848e-07
0.011373,9.211681e-07
0.011373,9.721344e-07
0.011373,9.69593e-07
0.012548,9.787058e-07
0.012548,9.933467e-07
0.012548,9.787684e-07
0.012548,9.796114e-07
0.012548,9.869804e-07
0.013598,9.695599e-07
0.013598,9.739583e-07
0.013598,9.811187e-07
0.013598,9.798816e-07
0.013598,9.466611e-07
0.014928,9.768971e-07
0.014928,9.904923e-07
0.014928,9.732568e-07
0.014928,9.986402e-07
0.014928,9.952767e-07
0.014928,9.793085e-07
0.015993,9.561414e-07
0.015993,9.804564e-07
0.015993,9.844116e-07
0.015993,9.766899e-07
0.015993,9.950996e-07
0.017009,9.908823e-07
0.017009,9.889169e-07
0.017009,9.704102e-07
0.017009,9.984329e-07
0.017009,9.877909e-07
0.017009,9.817724e-07
0.017009,9.998867e-07
0.017009,9.374053e-07
0.018116,9.407011e-07
0.018116,9.525521e-07
0.018116,9.950254e-07
0.018116,9.778614e-07
0.018116,9.991943e-07
0.018116,9.954935e-07
0.019154,9.916336e-07
0.019154,9.947996e-07
0.019154,9.87619e-07
0.019154,9.981737e-07
0.019154,9.766861e-07
0.019154,9.969779e-07
0.020352,9.957887e-07
0.020352,9.92787e-07
0.020352,9.840016e-07
0.020352,9.944508e-07
0.020352,9.74739e-07
0.020352,9.513132e-07
0.020352,9.806321e-07
0.021601,9.475813e-07
0.021601,9.810458e-07
0.021601,9.793155e-07
0.021601,9.836372e-07
0.021601,9.427189e-07
0.021601,9.571651e-07
0.022605,9.810058e-07
0.022605,9.244629e-07
0.022605,9.200618e-07
0.022605,9.623996e-07
0.022605,9.935156e-07
0.022605,9.989433e-07
0.02383,9.835328e-07
0.02383,9.893632e-07
0.02383,9.868519e-07
0.02383,9.454188e-07
0.02383,9.518956e-07
0.02383,9.999125e-07
0.025037,9.386462e-07
0.025037,9.651902e-07
0.025037,9.691116e-07
0.025037,9.998761e-07
0.025037,9.546017e-07
0.026072,9.647106e-07
0.026072,9.951156e-07
0.026072,9.248669e-07
0.026072,9.837806e-07
0.026072,9.419707e-07
0.027084,9.159831e-07
0.027084,9.448628e-07
0.027084,9.732738e-07
0.027084,9.962022e-07
0.027084,9.652817e-07
0.028171,9.663407e-07
0.028171,9.586748e-07
0.028171,9.67984e-07
0.028171,9.923572e-07
0.028171,9.971166e-07
0.028171,9.943602e-07
0.029387,9.947488e-07
0.029387,9.658784e-07
0.029387,9.929036e-07
0.029387,9.883171e-07
0.029387,9.610941e-07
0.029387,9.940962e-07
0.030439,9.558589e-07
0.030439,9.768822e-07
0.030439,9.561007e-07
0.030439,9.460435e-07
0.030439,9.998539e-07
0.030439,9.536428e-07
0.031633,9.572771e-07
0.031633,9.860886e-07
0.031633,9.77706e-07
0.031633,9.813954e-07
0.031633,9.853511e-07
0.031633,9.868874e-07
0.032796,9.658963e-07
0.032796,9.890058e-07
0.032796,9.8418e-07
0.032796,9.77347e-07
0.032796,9.980492e-07
0.0338,9.649606e-07
0.0338,9.188515e-07
0.0338,9.956324e-07
0.0338,9.972673e-07
0.0338,9.9812e-07
0.0338,9.428398e-07
0.0338,9.916137e-07
0.034866,9.928463e-07
0.034866,9.925636e-07
0.034866,9.366323e-07
0.034866,9.177193e-07
0.034866,9.735593e-07
0.034866,9.798971e-07
0.035963,9.949439e-07
0.035963,9.834259e-07
0.035963,9.605694e-07
0.035963,9.977375e-07
0.035963,9.902205e-07
0.035963,9.650182e-07
0.037093,9.70528e-07
0.037093,9.597229e-07
0.037093,9.907418e-07
0.037093,9.728112e-07
0.037093,9.971952e-07
0.037093,9.383509e-07
0.038322,9.998429e-07
0.038322,9.482527e-07
0.038322,9.789717e-07
0.038322,9.714485e-07
0.038322,9.898123e-07
0.038322,9.962007e-07
0.039639,9.243589e-07
0.039639,9.583059e-07
0.039639,9.89182e-07
0.039639,9.801298e-07
0.039639,9.608865e-07
0.039639,9.642068e-07
0.039639,9.903067e-07
0.040661,9.567237e-07
0.040661,9.91586e-07
0.040661,9.799901e-07
0.040661,9.955855e-07
0.040661,9.765134e-07
0.040661,9.456386e-07
0.040661,9.472139e-07
0.040661,9.219125e-07
0.04168,9.377316e-07
0.04168,9.273979e-07
0.04168,9.987585e-07
0.04168,9.979224e-07
0.04168,9.988889e-07
0.04168,9.846749e-07
0.04168,9.695142e-07
0.04168,9.850742e-07
0.04168,9.719256e-07
0.042692,9.972929e-07
0.042692,9.933641e-07
0.042692,9.68043e-07
0.042692,9.901598e-07
0.042692,9.483786e-07
0.042692,9.41264e-07
0.042692,9.875713e-07
0.042692,9.507884e-07
0.043713,9.993264e-07
0.043713,9.594224e-07
0.043713,9.84529e-07
0.043713,9.879835e-07
0.043713,9.671024e-07
0.043713,9.328251e-07
0.043713,9.555573e-07
0.044793,9.711117e-07
0.044793,9.875706e-07
0.044793,9.884429e-07
0.044793,9.5549e-07
0.044793,9.829962e-07
0.044793,9.444772e-07
0.044793,9.548428e-07
0.044793,9.998954e-07
0.045996,9.760198e-07
0.045996,9.493046e-07
0.045996,9.862325e-07
0.045996,9.749041e-07
0.045996,9.661196e-07
0.045996,9.924117e-07
0.045996,9.728377e-07
0.047026,9.960548e-07
0.047026,9.061804e-07
0.047026,9.582133e-07
0.047026,9.671271e-07
0.047026,9.710764e-07
0.047026,9.81674e-07
0.047026,9.878144e-07
0.047026,9.807104e-07
0.048032,9.956182e-07
0.048032,9.74659e-07
0.048032,9.722201e-07
0.048032,9.415288e-07
0.048032,9.942049e-07
0.048032,9.786771e-07
0.048032,9.908147e-07
0.048032,9.511384e-07
