frame,value
0,412
0,265
0.001285,554
0.001285,368
0.003447,561
0.003447,562
0.007447,602
0.007447,263
0.008655,610
0.008655,375
0.010866,589
0.010866,355
0.012959,585
0.012959,288
0.014471,569
0.014471,324
0.016192,560
0.016192,411
0.018929,547
0.018929,543
0.018929,398
0.02151,534
0.02151,338
0.023509,525
0.023509,517
0.023509,393
0.026222,522
0.026222,523
0.026222,229
0.027366,530
0.027366,496
0.027366,263
0.028976,509
0.028976,501
0.028976,348
0.031525,505
0.031525,287
0.033259,494
0.033259,201
0.03428,491
0.03428,279
0.036002,483
0.036002,481
0.036002,205
0.037092,488
0.037092,463
0.037092,219
0.038345,482
0.038345,244
0.03976,488
0.03976,249
0.041182,465
0.041182,453
0.041182,218
0.04244,481
0.04244,462
0.04244,199
0.043535,469
0.043535,455
0.043535,204
0.044656,467
0.044656,456
0.044656,222
0.045975,455
0.045975,451
0.045975,195
0.047035,456
0.047035,445
0.047035,210
0.048313,448
0.048313,437
0.048313,197
0.049402,451
0.049402,441
0.049402,227
0.050805,460
0.050805,264
0.052422,466
0.052422,214
0.053568,450
0.053568,206
0.054681,460
0.054681,450
0.054681,456
0.054681,256
0.056379,454
0.056379,464
0.056379,430
0.056379,281
0.058348,465
0.058348,468
0.058348,209
0.0595,468
0.0595,246
0.060873,482
0.060873,484
0.060873,475
0.060873,250
0.062317,474
0.062317,274
0.064019,466
0.064019,460
0.064019,466
0.064019,224
0.065337,464
0.065337,215
0.066547,456
0.066547,448
0.066547,447
0.066547,240
0.068038,454
0.068038,428
0.068038,198
0.069135,457
0.069135,447
0.069135,219
0.070443,444
0.070443,421
0.070443,184
0.071458,450
0.071458,441
0.071458,225
0.072848,444
0.072848,194
0.073873,444
0.073873,202
0.075,444
0.075,438
0.075,444
0.075,263
0.076782,441
0.076782,209
0.077989,432
0.077989,445
0.077989,214
0.079142,451
0.079142,439
0.079142,227
0.080598,428
0.080598,435
0.080598,181
0.081603,428
0.081603,423
0.081603,206
0.08277,423
0.08277,417
0.08277,178
0.083833,427
0.083833,421
0.083833,416
0.083833,188
0.084986,420
0.084986,419
0.084986,422
0.084986,175
0.086016,430
0.086016,420
0.086016,221
0.087378,416
0.087378,211
0.088454,415
0.088454,424
0.088454,426
0.088454,219
0.089775,421
0.089775,424
0.089775,430
0.089775,222
0.091074,421
0.091074,418
0.091074,423
0.091074,249
0.092721,419
0.092721,414
0.092721,194
0.093742,411
0.093742,408
0.093742,412
0.093742,417
0.093742,238
0.095291,418
0.095291,411
0.095291,417
0.095291,228
0.096694,418
0.096694,404
0.096694,411
0.096694,250
0.098353,421
0.098353,400
0.098353,194
0.099415,429
0.099415,414
0.099415,225
0.100685,413
0.100685,409
0.100685,195
0.101762,420
0.101762,416
0.101762,218
0.102943,417
0.102943,196
0.103978,426
0.103978,413
0.103978,208
0.105105,439
0.105105,427
0.105105,220
0.106323,416
0.106323,432
0.106323,199
0.107392,433
0.107392,428
0.107392,226
0.108601,420
0.108601,240
0.109867,449
0.109867,218
0.111084,420
0.111084,422
0.111084,417
0.111084,234
0.112461,428
0.112461,227
0.113678,425
0.113678,237
0.115062,441
0.115062,431
0.115062,426
0.115062,284
0.116789,443
0.116789,429
0.116789,193
0.117834,427
0.117834,430
0.117834,260
0.119265,446
0.119265,423
0.119265,408
0.119265,279
0.121051,430
0.121051,216
0.122219,427
0.122219,205
0.123251,430
0.123251,416
0.123251,411
0.123251,275
0.124951,423
0.124951,420
0.124951,210
0.126111,418
0.126111,425
0.126111,253
0.127483,437
0.127483,427
0.127483,203
0.128584,416
0.128584,419
0.128584,414
0.128584,206
0.129651,420
0.129651,416
0.129651,211
0.130737,426
0.130737,423
0.130737,192
0.131779,412
0.131779,416
0.131779,423
0.131779,215
0.132903,414
0.132903,409
0.132903,204
0.133916,423
0.133916,216
0.135069,408
0.135069,247
0.136436,441
0.136436,409
0.136436,197
0.13755,407
0.13755,410
0.13755,214
0.138708,408
0.138708,263
0.140317,402
0.140317,416
0.140317,403
0.140317,266
0.142007,406
0.142007,220
0.143331,397
0.143331,415
0.143331,185
0.144415,418
0.144415,395
0.144415,199
0.145473,394
0.145473,403
0.145473,396
0.145473,293
0.147494,393
0.147494,400
0.147494,187
0.148569,409
0.148569,397
0.148569,250
0.150142,390
0.150142,398
0.150142,377
0.150142,263
0.15194,384
0.15194,383
0.15194,184
0.152971,399
0.152971,382
0.152971,201
0.154082,385
0.154082,215
0.155305,388
0.155305,397
0.155305,381
0.155305,191
0.156407,377
0.156407,387
0.156407,389
0.156407,288
0.158608,384
0.158608,373
0.158608,269
0.160371,393
0.160371,376
0.160371,189
0.161445,377
0.161445,176
0.162524,385
0.162524,289
0.164626,371
0.164626,386
0.164626,190
0.165741,377
0.165741,385
0.165741,388
0.165741,184
0.166882,377
0.166882,381
0.166882,384
0.166882,292
0.169019,377
0.169019,372
0.169019,204
0.170288,379
0.170288,370
0.170288,183
0.171337,384
0.171337,372
0.171337,373
0.171337,183
0.1724,371
0.1724,378
0.1724,227
0.173948,375
0.173948,379
0.173948,181
0.174983,380
0.174983,370
0.174983,379
0.174983,192
0.176082,373
0.176082,385
0.176082,191
0.177198,400
0.177198,382
0.177198,370
0.177198,195
0.178303,375
0.178303,368
0.178303,217
0.179703,368
0.179703,385
0.179703,376
0.179703,235
0.181235,368
0.181235,231
0.182669,371
0.182669,373
0.182669,396
0.182669,232
0.184221,370
0.184221,380
0.184221,372
0.184221,222
0.185707,374
0.185707,377
0.185707,186
0.186821,368
0.186821,365
0.186821,375
0.186821,179
0.187842,380
0.187842,364
0.187842,370
0.187842,184
0.188855,377
0.188855,362
0.188855,373
0.188855,191
0.189976,374
0.189976,360
0.189976,187
0.191008,358
0.191008,371
0.191008,363
0.191008,245
0.192837,361
0.192837,190
0.193971,355
0.193971,367
0.193971,365
0.193971,283
0.196293,363
0.196293,357
0.196293,369
0.196293,202
0.197613,360
0.197613,350
0.197613,247
0.19953,334
0.19953,191
0.200674,349
0.200674,346
0.200674,359
0.200674,305
0.20368,352
0.20368,343
0.20368,213
0.205084,331
0.205084,356
0.205084,180
0.206106,350
0.206106,333
0.206106,359
0.206106,189
0.207288,340
0.207288,340
0.207288,360
0.207288,191
0.208452,331
0.208452,339
0.208452,183
0.209495,341
0.209495,341
0.209495,354
0.209495,229
0.211128,334
0.211128,338
0.211128,345
0.211128,229
0.212744,332
0.212744,351
0.212744,361
0.212744,228
0.214272,337
0.214272,345
0.214272,355
0.214272,232
0.215918,338
0.215918,350
0.215918,367
0.215918,225
0.217425,340
0.217425,372
0.217425,191
0.218463,364
0.218463,351
0.218463,205
0.2197,368
0.2197,375
0.2197,188
0.220708,364
0.220708,351
0.220708,376
0.220708,193
