frame,value
0,0.3211397
0.001285,0.5407214
0.003447,1
0.007447,0.3017812
0.008655,0.5527588
0.010866,0.5234288
0.012959,0.3778105
0.014471,0.4304634
0.016192,0.6841635
0.018929,0.6452771
0.02151,0.4996782
0.023509,0.6782012
0.026222,0.2861702
0.027366,0.4025264
0.028976,0.6370374
0.031525,0.4336173
0.033259,0.2552689
0.03428,0.430451
0.036002,0.2725892
0.037092,0.3130696
0.038345,0.3537974
0.03976,0.355429
0.041182,0.3145116
0.04244,0.2738871
0.043535,0.2801668
0.044656,0.3298108
0.045975,0.2649127
0.047035,0.3196304
0.048313,0.2721053
0.049402,0.3507293
0.050805,0.4043638
0.052422,0.2865139
0.053568,0.27819
0.054681,0.4245521
0.056379,0.4921365
0.058348,0.2880927
0.0595,0.3432675
0.060873,0.3611111
0.062317,0.4254284
0.064019,0.3293458
0.065337,0.3024938
0.066547,0.372804
0.068038,0.2743374
0.069135,0.3269364
0.070443,0.2538749
0.071458,0.3475353
0.072848,0.2560636
0.073873,0.2819277
0.075,0.4454889
0.076782,0.3016691
0.077989,0.2881535
0.079142,0.3641909
0.080598,0.2510139
0.081603,0.2918148
0.08277,0.2657279
0.083833,0.2882094
0.084986,0.2576061
0.086016,0.3404699
0.087378,0.2690603
0.088454,0.3303164
0.089775,0.324633
0.091074,0.4117629
0.092721,0.2551551
0.093742,0.3874807
0.095291,0.3506198
0.096694,0.414858
0.098353,0.2654671
0.099415,0.3173443
0.100685,0.2693628
0.101762,0.295332
0.102943,0.2587692
0.103978,0.2816947
0.105105,0.3043228
0.106323,0.2674344
0.107392,0.3021245
0.108601,0.3166581
0.109867,0.3040924
0.111084,0.3443403
0.112461,0.3043143
0.113678,0.3457918
0.115062,0.4318184
0.116789,0.2613646
0.117834,0.3577595
0.119265,0.4463404
0.121051,0.2920831
0.122219,0.2579617
0.123251,0.4250156
0.124951,0.2899592
0.126111,0.3429367
0.127483,0.2754922
0.128584,0.2666644
0.129651,0.2714129
0.130737,0.2604683
0.131779,0.2810391
0.132903,0.25336
0.133916,0.2882565
0.135069,0.341762
0.136436,0.2784345
0.13755,0.2893869
0.138708,0.402348
0.140317,0.4225372
0.142007,0.3309633
0.143331,0.2710772
0.144415,0.2644527
0.145473,0.5051477
0.147494,0.2687808
0.148569,0.3932502
0.150142,0.4495238
0.15194,0.2577148
0.152971,0.2777897
0.154082,0.3056522
0.155305,0.2754862
0.156407,0.5502911
0.158608,0.4408763
0.160371,0.2684693
0.161445,0.2698059
0.162524,0.5255026
0.164626,0.2786223
0.165741,0.2854136
0.166882,0.534202
0.169019,0.3171375
0.170288,0.2623476
0.171337,0.2657341
0.1724,0.386848
0.173948,0.2589599
0.174983,0.2747627
0.176082,0.2787816
0.177198,0.2762473
0.178303,0.3502273
0.179703,0.3828342
0.181235,0.358434
0.182669,0.3882375
0.184221,0.3713164
0.185707,0.2785511
0.186821,0.25539
0.187842,0.253168
0.188855,0.2801447
0.189976,0.257959
0.191008,0.4573795
0.192837,0.2834236
0.193971,0.580523
0.196293,0.3300057
0.197613,0.4793049
0.19953,0.2860729
0.200674,0.7513582
0.20368,0.3511491
0.205084,0.2553692
0.206106,0.2956085
0.207288,0.2908604
0.208452,0.2607827
0.209495,0.4083411
0.211128,0.4039093
0.212744,0.3820836
0.214272,0.4114534
0.215918,0.3767546
0.217425,0.2595812
0.218463,0.3090632
0.2197,0.2520258
0.220708,0.2613905
