frame,value
0,0
0,0
0,0
0,0
0,0
0.001736,0
0.001736,0
0.001736,0
0.003096,0
0.003096,0
0.003096,0
0.004127,0
0.004127,0
0.004127,0
0.004127,0
0.005372,0
0.005372,0
0.005372,0
0.005372,0
0.005372,0
0.006819,0
0.006819,0
0.006819,0
0.006819,0
0.006819,0
0.007959,0
0.007959,0
0.007959,9e-07
0.007959,5e-07
0.007959,3e-07
0.00905,6e-07
0.00905,7e-07
0.00905,7e-07
0.00905,1e-06
0.00905,9e-07
0.010326,9e-07
0.010326,9e-07
0.010326,1.5e-06
0.010326,1.4e-06
0.010326,1.4e-06
0.011557,1.3e-06
0.011557,1.6e-06
0.011557,2.4e-06
0.011557,2.2e-06
0.011557,2.8e-06
0.011557,2.9e-06
0.012686,2.9e-06
0.012686,2.9e-06
0.012686,2.9e-06
0.012686,2.6e-06
0.012686,2.5e-06
0.012686,2.7e-06
0.013748,3.2e-06
0.013748,3.6e-06
0.013748,3.8e-06
0.013748,3.9e-06
0.013748,3.9e-06
0.013748,3.8e-06
0.013748,4e-06
0.01478,4.1e-06
0.01478,3.9e-06
0.01478,3.8e-06
0.01478,3.8e-06
0.01478,3.7e-06
0.01478,3.8e-06
0.015863,4e-06
0.015863,4.3e-06
0.015863,5.7e-06
0.015863,5.2e-06
0.015863,5.2e-06
0.015863,5.7e-06
0.016923,5.9e-06
0.016923,6e-06
0.016923,5.8e-06
0.016923,5.6e-06
0.016923,5.6e-06
0.016923,5.3e-06
0.016923,6.7e-06
0.016923,6.8e-06
0.016923,7.5e-06
0.01797,8.1e-06
0.01797,7.9e-06
0.01797,7.4e-06
0.01797,8.1e-06
0.01797,7.8e-06
0.01797,7.7e-06
0.01797,8.2e-06
0.01797,7.8e-06
0.019066,8e-06
0.019066,8.4e-06
0.019066,9.3e-06
0.019066,1e-05
0.019066,1.01e-05
0.019066,1.12e-05
0.020174,1.09e-05
0.020174,1.14e-05
0.020174,1.17e-05
0.020174,1.28e-05
0.020174,1.25e-05
0.021215,1.2e-05
0.021215,1.19e-05
0.021215,1.17e-05
0.021215,1.23e-05
0.021215,1.2e-05
0.021215,1.21e-05
0.022348,1.17e-05
0.022348,1.37e-05
0.022348,1.4e-05
0.022348,1.48e-05
0.022348,1.38e-05
0.022348,1.43e-05
0.022348,1.44e-05
0.023409,1.46e-05
0.023409,1.48e-05
0.023409,1.69e-05
0.023409,1.54e-05
0.023409,1.69e-05
0.023409,1.63e-05
0.024444,1.74e-05
0.024444,1.69e-05
0.024444,1.7e-05
0.024444,1.67e-05
0.024444,1.77e-05
0.024444,1.86e-05
0.024444,1.83e-05
0.025542,1.78e-05
0.025542,1.72e-05
