frame,value
0,0.02738051
0,0.02592337
0,0.02113949
0.001232,0.02935639
0.001232,0.03092898
0.001232,0.02549874
0.002913,0.02945325
0.002913,0.0242993
0.003954,0.02865515
0.003954,0.02929848
0.003954,0.02061575
0.005301,0.02930296
0.005301,0.02816829
0.005301,0.02711513
0.005301,0.01876792
0.006909,0.02864245
0.006909,0.02753151
0.006909,0.02730043
0.006909,0.02692674
0.006909,0.01764348
0.008056,0.02971791
0.008056,0.02843143
0.008056,0.02675442
0.008056,0.02564869
0.008056,0.01696279
0.00925,0.0288366
0.00925,0.02546468
0.00925,0.02561796
0.00925,0.0174082
0.010276,0.02901399
0.010276,0.02545587
0.010276,0.025774
0.010276,0.02486762
0.010276,0.01745555
0.011419,0.02930728
0.011419,0.02536613
0.011419,0.02645385
0.011419,0.02475353
0.011419,0.01719224
0.012429,0.02976101
0.012429,0.02638045
0.012429,0.02677287
0.012429,0.02471968
0.012429,0.0254208
0.012429,0.01666389
0.013479,0.02891867
0.013479,0.02396558
0.013479,0.02533027
0.013479,0.02403386
0.013479,0.02402083
0.013479,0.01728746
0.014611,0.02769567
0.014611,0.02519244
0.014611,0.02520402
0.014611,0.02375712
0.014611,0.02425701
0.014611,0.01868956
0.015764,0.02669991
0.015764,0.02452766
0.015764,0.02535055
0.015764,0.02409697
0.015764,0.02414107
0.015764,0.02351737
0.015764,0.01801827
0.016846,0.02631629
0.016846,0.02435385
0.016846,0.02451632
0.016846,0.02257161
0.016846,0.02340227
0.016846,0.0226364
0.016846,0.01806932
0.017926,0.02965828
0.017926,0.02681609
0.017926,0.0217413
0.017926,0.02230962
0.017926,0.02267634
0.017926,0.01850936
0.018978,0.02734755
0.018978,0.02479701
0.018978,0.02371622
0.018978,0.02314392
0.018978,0.02264121
0.018978,0.02229849
0.018978,0.02187064
0.018978,0.02168415
0.018978,0.01902477
0.020059,0.02560441
0.020059,0.02249678
0.020059,0.02253587
0.020059,0.02218995
0.020059,0.02191996
0.020059,0.02133106
0.020059,0.02123901
0.020059,0.01890679
0.021145,0.02503884
0.021145,0.022818
0.021145,0.0228206
0.021145,0.02189845
0.021145,0.02191993
0.021145,0.01938294
0.02221,0.02419991
0.02221,0.02292044
0.02221,0.02260285
0.02221,0.0220838
0.02221,0.02202744
0.02221,0.0216289
0.02221,0.02152916
0.02221,0.01861933
0.02324,0.02678788
0.02324,0.02519941
0.02324,0.02278369
0.02324,0.02278141
0.02324,0.02215144
0.02324,0.02182131
0.02324,0.01765306
0.024262,0.02729563
0.024262,0.02561788
0.024262,0.02319884
0.024262,0.02304531
0.024262,0.02243161
0.024262,0.02204424
0.024262,0.01928037
0.025481,0.0246967
0.025481,0.02258181
0.025481,0.02254747
0.025481,0.02201341
0.025481,0.02196796
0.025481,0.02077692
0.026558,0.02468418
0.026558,0.02251862
0.026558,0.02261448
0.026558,0.02283327
0.026558,0.02275566
0.026558,0.02292136
0.026558,0.02170477
0.027632,0.02497459
0.027632,0.02410322
0.027632,0.02386914
0.027632,0.02340811
0.027632,0.02318792
0.027632,0.02286642
0.028688,0.02480165
0.028688,0.02431833
0.028688,0.02355818
0.028688,0.02350574
0.028688,0.02355607
0.028688,0.02328015
0.028688,0.02388744
0.029867,0.02472077
0.029867,0.02379249
0.029867,0.02375554
0.029867,0.02419974
0.029867,0.02397461
0.029867,0.02450433
0.029867,0.02406745
0.029867,0.02437825
0.031126,0.02524466
0.031126,0.02488494
0.031126,0.02477505
0.031126,0.02559646
0.031126,0.02502392
0.031126,0.02393951
0.032138,0.02613759
0.032138,0.02539889
0.032138,0.02525657
0.032138,0.02509549
0.032138,0.02476404
0.032138,0.02450379
0.032138,0.02438148
0.032138,0.02423554
0.032138,0.02178453
0.033199,0.02843037
0.033199,0.02807651
0.033199,0.02730087
0.033199,0.02548787
0.033199,0.02496491
0.033199,0.02471576
0.033199,0.02383701
0.033199,0.01923983
0.034199,0.02811633
0.034199,0.02739594
0.034199,0.02498821
0.034199,0.02484202
0.034199,0.02474639
0.034199,0.02411768
0.034199,0.02402315
0.034199,0.02386698
0.034199,0.0203635
0.03521,0.02645113
0.03521,0.02419784
0.03521,0.0241096
0.03521,0.02398957
0.03521,0.02389669
0.03521,0.02349255
0.03521,0.02314646
0.03521,0.02141013
0.036225,0.02446242
0.036225,0.02376131
0.036225,0.02363434
0.036225,0.02363491
0.036225,0.02351583
0.036225,0.02349262
0.036225,0.02348125
0.036225,0.02239491
0.037229,0.0241451
0.037229,0.02390293
0.037229,0.02380669
0.037229,0.02375652
0.037229,0.0237902
0.037229,0.02365375
0.037229,0.02365919
0.037229,0.02421115
0.037229,0.023923
0.037229,0.02345781
0.038334,0.02730274
0.038334,0.02725514
0.038334,0.02648523
0.038334,0.02629554
0.038334,0.02580075
0.038334,0.02582203
0.038334,0.02584192
0.038334,0.02574915
0.038334,0.02611547
0.038334,0.02605137
0.038334,0.02424014
0.039434,0.02726545
0.039434,0.02695088
0.039434,0.02604249
0.039434,0.02538086
0.039434,0.0262905
0.039434,0.02644657
0.039434,0.02610493
0.039434,0.02642664
