frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002698,0
0.002698,0
0.002698,0
0.002698,0
0.002698,0
0.002698,0
0.002698,0
0.005376,0
0.005376,0
0.005376,0
0.005376,1
0.005376,3
0.005376,5
0.005376,5
0.005376,8
0.00788,10
0.00788,16
0.00788,19
0.00788,33
0.00788,41
0.00788,39
0.00788,39
0.00788,39
0.00788,39
0.00788,39
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.010626,41
0.013144,41
0.013144,41
0.013144,41
0.013144,42
0.013144,41
0.013144,47
0.013144,47
0.015831,44
0.015831,44
0.015831,44
0.015831,44
0.015831,45
0.015831,46
0.015831,52
0.015831,52
0.018608,52
0.018608,52
0.018608,52
0.018608,55
0.018608,57
0.018608,60
0.018608,60
0.021554,60
0.021554,60
0.021554,60
0.021554,57
0.021554,55
0.021554,52
0.024636,52
0.024636,51
0.024636,51
0.024636,51
0.024636,51
0.024636,55
0.027567,53
0.027567,54
0.027567,52
0.027567,50
0.027567,48
0.027567,45
0.030536,45
0.030536,46
0.030536,50
0.030536,55
0.030536,51
0.030536,44
0.033092,44
0.033092,48
0.033092,51
0.033092,61
0.033092,61
0.033092,58
0.033092,54
0.035797,50
0.035797,51
0.035797,58
0.035797,58
0.035797,63
0.035797,63
0.035797,62
0.038758,60
0.038758,50
0.038758,46
0.038758,42
0.038758,43
0.038758,48
0.04172,50
0.04172,49
0.04172,49
0.04172,49
0.04172,49
0.04172,52
0.044387,51
0.044387,51
0.044387,51
0.044387,51
0.044387,51
0.044387,51
0.047089,51
0.047089,51
0.047089,51
0.047089,51
0.047089,51
0.047089,51
0.047089,51
0.05032,51
0.05032,52
0.05032,51
0.05032,58
0.05032,51
0.05032,53
0.05032,55
0.053255,55
0.053255,56
0.053255,56
0.053255,61
0.053255,61
0.053255,63
0.053255,59
0.053255,60
0.056677,57
0.056677,57
0.056677,59
0.056677,57
0.056677,51
0.056677,54
0.059521,54
0.059521,56
0.059521,54
0.059521,58
0.059521,58
0.059521,59
0.062254,59
0.062254,61
0.062254,59
0.062254,58
0.062254,64
0.06547,64
0.06547,62
0.06547,62
0.06547,58
0.068045,62
0.068045,66
0.068045,68
0.068045,70
0.068045,69
0.071044,67
0.071044,65
0.071044,59
0.071044,55
0.073986,55
0.073986,55
0.073986,55
0.073986,57
0.073986,62
0.07757,62
0.07757,62
0.07757,62
0.07757,64
0.07757,64
0.080181,64
0.080181,63
0.080181,59
0.080181,57
0.080181,53
0.082889,52
0.082889,54
0.082889,56
0.082889,56
0.082889,57
0.082889,56
0.082889,56
