frame,value
0,17
0,5
0,6
0,6
0,7
0,7
0,7
0.002694,5
0.002694,8
0.002694,8
0.002694,8
0.002694,8
0.002694,7
0.002694,7
0.002694,7
0.002694,7
0.002694,7
0.005627,5
0.005627,8
0.005627,8
0.005627,7
0.005627,7
0.005627,7
0.005627,7
0.005627,7
0.005627,7
0.005627,7
0.005627,7
0.008156,5
0.008156,8
0.008156,7
0.008156,7
0.008156,7
0.008156,7
0.008156,7
0.008156,7
0.008156,7
0.010984,5
0.010984,7
0.010984,7
0.010984,7
0.010984,7
0.010984,7
0.010984,7
0.010984,7
0.010984,7
0.013917,5
0.013917,7
0.013917,7
0.013917,7
0.013917,7
0.013917,7
0.013917,7
0.016594,5
0.016594,8
0.016594,8
0.016594,7
0.016594,7
0.016594,7
0.016594,7
0.019521,5
0.019521,7
0.019521,7
0.019521,7
0.019521,7
0.019521,7
0.022437,5
0.022437,7
0.022437,7
0.022437,7
0.022437,7
0.022437,7
0.025227,5
0.025227,7
0.025227,7
0.025227,7
0.025227,6
0.025227,6
0.027879,5
0.027879,7
0.027879,6
0.027879,6
0.027879,6
0.027879,6
0.030761,5
0.030761,7
0.030761,6
0.030761,7
0.030761,6
0.030761,6
0.030761,6
0.03336,5
0.03336,7
0.03336,7
0.03336,7
0.03336,7
0.03336,6
0.03336,6
0.03336,6
0.036035,5
0.036035,7
0.036035,7
0.036035,7
0.036035,7
0.038641,5
0.038641,7
0.038641,6
0.038641,6
0.041301,5
0.041301,6
0.041301,6
0.041301,6
0.041301,6
0.041301,6
0.044292,6
0.044292,6
0.044292,6
0.044292,6
0.044292,6
0.044292,6
0.046863,6
0.046863,6
0.046863,6
0.046863,6
0.046863,6
0.049669,6
0.049669,6
0.049669,6
0.049669,6
0.049669,6
0.052188,6
0.052188,7
0.052188,7
0.052188,7
0.055013,6
0.055013,7
0.055013,7
0.055013,7
0.055013,7
0.057732,6
0.057732,7
0.057732,7
0.057732,7
0.057732,7
0.06027,6
0.06027,7
0.06027,7
0.06027,7
0.06027,7
0.063001,6
0.063001,7
0.063001,7
0.063001,7
0.063001,7
0.066011,6
0.066011,7
0.066011,7
0.066011,7
0.068662,6
0.068662,7
0.068662,7
0.068662,7
0.071422,6
0.071422,7
0.071422,7
0.071422,7
0.071422,7
0.074193,6
0.074193,7
0.074193,7
0.074193,7
0.074193,7
0.074193,7
0.076898,6
0.076898,7
0.076898,7
0.076898,7
0.076898,7
0.076898,7
0.079973,6
0.079973,7
0.079973,7
0.079973,7
0.079973,7
0.079973,7
0.082887,6
0.082887,7
0.082887,7
0.082887,7
0.082887,7
0.082887,7
0.082887,7
0.082887,7
0.08604,6
0.08604,8
0.08604,7
0.08604,7
0.08604,7
0.08604,7
0.08604,7
0.08604,7
0.08604,7
0.088946,7
0.088946,7
0.088946,7
0.088946,7
0.088946,7
0.088946,7
0.088946,7
0.092158,6
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.092158,7
0.094732,7
0.094732,8
0.094732,8
0.094732,8
0.094732,8
0.094732,8
0.094732,8
0.094732,8
0.094732,8
0.097462,7
0.097462,8
0.097462,8
0.097462,8
0.097462,8
0.097462,8
0.097462,8
0.097462,7
0.097462,8
0.097462,7
0.097462,7
0.100309,7
0.100309,8
0.100309,8
0.100309,8
0.100309,7
0.100309,7
0.100309,7
0.10288,7
0.10288,8
0.10288,8
0.10288,8
0.10288,8
0.10288,8
0.10288,8
0.10288,8
0.105656,7
0.105656,7
0.105656,8
0.105656,8
0.105656,7
0.105656,7
0.105656,7
0.105656,8
0.105656,8
0.108211,7
0.108211,8
0.108211,8
0.108211,8
0.108211,8
0.108211,8
0.108211,8
0.108211,8
0.11088,7
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.11088,8
0.113734,7
0.113734,8
0.113734,8
0.113734,8
0.113734,8
0.113734,8
0.113734,8
0.113734,8
0.113734,8
0.116561,7
0.116561,8
0.116561,8
0.116561,9
0.116561,8
0.116561,9
0.116561,9
0.116561,9
0.119146,7
0.119146,8
0.119146,8
0.119146,8
0.119146,8
0.119146,8
0.119146,9
0.1219,7
0.1219,9
0.1219,9
0.1219,9
0.1219,9
0.1219,9
0.1219,9
0.124728,7
0.124728,8
0.124728,9
0.124728,8
0.124728,8
0.127479,7
0.127479,9
0.127479,8
0.127479,8
0.127479,8
0.130503,7
0.130503,9
0.130503,8
0.130503,8
0.130503,8
0.133333,7
0.133333,9
0.133333,9
0.133333,9
0.136149,8
0.136149,9
0.136149,9
0.136149,9
0.139007,8
0.139007,9
0.139007,9
0.139007,9
0.142749,7
0.142749,8
0.142749,8
0.14559,7
0.14559,8
0.14559,8
0.148653,7
0.148653,8
0.148653,8
0.148653,7
0.151509,7
0.151509,8
0.151509,8
0.158928,8
0.158928,8
0.165954,7
0.165954,8
0.172558,7
0.172558,7
0.172558,7
0.179163,7
0.179163,8
0.179163,7
0.189363,7
0.189363,7
0.198367,7
0.198367,7
0.206553,7
0.206553,7
0.216192,7
0.216192,7
0.230209,7
0.230209,7
0.241393,7
0.241393,7
0.255797,7
0.255797,7
0.266446,7
0.266446,7
0.281964,7
0.281964,7
0.291221,7
0.291221,7
0.291221,7
0.303102,7
0.303102,7
0.303102,7
0.312403,7
0.312403,7
