frame,value
0,6
0.002694,9
0.005627,10
0.008156,8
0.010984,8
0.013917,6
0.016594,6
0.019521,5
0.022437,5
0.025227,5
0.027879,5
0.030761,6
0.03336,7
0.036035,4
0.038641,3
0.041301,5
0.044292,5
0.046863,4
0.049669,4
0.052188,3
0.055013,4
0.057732,4
0.06027,4
0.063001,4
0.066011,3
0.068662,3
0.071422,4
0.074193,5
0.076898,5
0.079973,5
0.082887,7
0.08604,8
0.088946,6
0.092158,9
0.094732,8
0.097462,10
0.100309,6
0.10288,7
0.105656,8
0.108211,7
0.11088,10
0.113734,8
0.116561,7
0.119146,6
0.1219,6
0.124728,4
0.127479,4
0.130503,4
0.133333,3
0.136149,3
0.139007,3
0.142749,2
0.14559,2
0.148653,3
0.151509,2
0.158928,1
0.165954,1
0.172558,2
0.179163,2
0.189363,1
0.198367,1
0.206553,1
0.216192,1
0.230209,1
0.241393,1
0.255797,1
0.266446,1
0.281964,1
0.291221,2
0.303102,2
0.312403,1
0.325331,1
0.336957,1
0.347714,1
0.362083,1
0.38046,1
0.391684,1
0.400685,1
0.410179,1
0.419323,1
0.427049,2
0.439989,1
0.460262,1
0.473298,1
0.486603,1
0.502217,1
0.52032,1
0.535596,1
0.553314,1
0.570603,2
0.581775,1
0.594434,1
0.604777,1
0.614085,1
0.620884,1
0.627499,1
0.6342,1
0.642558,2
0.652392,2
0.666266,1
0.673101,1
0.68107,1
0.687918,1
0.694173,2
0.70455,2
0.715368,1
0.722197,2
0.732301,2
0.74335,1
0.750685,1
0.757369,1
0.765894,1
0.773183,1
0.782046,1
0.793197,1
0.800097,1
0.809515,1
0.819993,1
0.827453,1
0.839391,1
0.848862,1
0.858542,1
0.871015,1
0.882798,1
0.897893,1
0.904609,1
0.911841,1
0.922025,1
0.940358,2
0.950535,1
0.960044,1
0.976968,1
0.983345,2
1.00128,1
1.009973,1
1.027258,2
1.036922,2
1.057716,1
1.064795,1
1.071923,1
1.080865,1
1.094527,1
1.101111,2
1.114561,1
1.12318,1
1.141742,1
1.148344,2
1.164354,2
1.175108,1
1.181646,2
1.190838,2
1.205462,1
1.214246,1
1.231102,1
1.247662,1
1.257477,1
1.282477,2
1.29437,1
1.315595,2
1.329273,1
1.343801,1
1.35033,1
1.357674,1
1.36869,1
1.387415,1
1.397126,2
1.405739,2
1.419558,1
1.426077,1
1.441472,3
1.450161,1
1.456751,1
1.46818,1
1.479479,1
1.490086,2
1.501812,2
1.514349,1
1.5236,1
1.531801,1
1.540345,1
1.546966,1
1.555239,1
1.563659,2
1.573053,3
1.583095,1
1.592073,2
1.607141,1
1.614918,2
1.625816,2
1.63446,2
1.643688,2
1.65104,2
1.661069,2
1.670048,3
1.679326,3
1.691299,3
1.700714,1
1.710482,1
1.716923,2
1.726234,1
1.734592,1
1.742866,2
1.750523,1
