frame,value
0,0.02991498
0,0.03793586
0,0.06121191
0,0.05733167
0,0.0645511
0,0.05439477
0,0.0360738
0.002694,0.0545374
0.002694,0.04811179
0.002694,0.01818455
0.002694,0.04336088
0.002694,0.03140983
0.002694,0.0244668
0.002694,0.03776563
0.002694,0.01723832
0.002694,0.06438777
0.002694,0.04861471
0.005627,0.02100397
0.005627,0.01728298
0.005627,0.02908721
0.005627,0.01378538
0.005627,0.06478618
0.005627,0.02275728
0.005627,0.01323908
0.005627,0.05158235
0.005627,0.03241828
0.005627,0.01999583
0.005627,0.06086187
0.008156,0.01461906
0.008156,0.06665464
0.008156,0.01650584
0.008156,0.0999072
0.008156,0.03068697
0.008156,0.03427894
0.008156,0.01529171
0.008156,0.04434708
0.008156,0.06067129
0.010984,0.01351339
0.010984,0.03240902
0.010984,0.03928054
0.010984,0.05248155
0.010984,0.04496724
0.010984,0.05046613
0.010984,0.04253223
0.010984,0.06326585
0.010984,0.05736238
0.013917,0.02285122
0.013917,0.06757427
0.013917,0.04042916
0.013917,0.06101445
0.013917,0.05520975
0.013917,0.05575197
0.013917,0.07941198
0.016594,0.02908467
0.016594,0.05391818
0.016594,0.0602079
0.016594,0.07390046
0.016594,0.0389918
0.016594,0.07943477
0.016594,0.02241446
0.019521,0.1049854
0.019521,0.0197609
0.019521,0.07513632
0.019521,0.02580247
0.019521,0.1038861
0.019521,0.01739839
0.022437,0.09975533
0.022437,0.02082094
0.022437,0.08375674
0.022437,0.01895717
0.022437,0.09003043
0.022437,0.01830831
0.025227,0.08308589
0.025227,0.01913815
0.025227,0.04928311
0.025227,0.03188778
0.025227,0.1123443
0.025227,0.01464166
0.027879,0.1013201
0.027879,0.02005006
0.027879,0.08069001
0.027879,0.01842397
0.027879,0.1042768
0.027879,0.01626911
0.030761,0.08024697
0.030761,0.02086239
0.030761,0.05647051
0.030761,0.02713129
0.030761,0.08838561
0.030761,0.01788965
0.030761,0.06436177
0.03336,0.02637579
0.03336,0.04920126
0.03336,0.03502155
0.03336,0.07123689
0.03336,0.02278523
0.03336,0.07478783
0.03336,0.0234502
0.03336,0.08712861
0.036035,0.02162858
0.036035,0.1153261
0.036035,0.0196292
0.036035,0.1286228
0.036035,0.02087138
0.038641,0.1193634
0.038641,0.02275869
0.038641,0.1471796
0.038641,0.02156212
0.041301,0.1069284
0.041301,0.02892718
0.041301,0.0873322
0.041301,0.03157378
0.041301,0.08555849
0.041301,0.01699878
0.044292,0.09009521
0.044292,0.04867629
0.044292,0.02858981
0.044292,0.05321369
0.044292,0.06680261
0.044292,0.0319237
0.046863,0.0967787
0.046863,0.06576835
0.046863,0.02600466
0.046863,0.1247455
0.046863,0.0205459
0.049669,0.119881
0.049669,0.0250056
0.049669,0.1109679
0.049669,0.01942146
0.049669,0.06164356
0.052188,0.1146726
0.052188,0.027175
0.052188,0.1668327
0.052188,0.09089471
0.055013,0.06678446
0.055013,0.1106873
0.055013,0.02994478
0.055013,0.09561414
0.055013,0.1083553
0.057732,0.04557334
0.057732,0.09888306
0.057732,0.02755498
0.057732,0.1078215
0.057732,0.08872995
0.06027,0.1088472
0.06027,0.0709897
0.06027,0.05849386
0.06027,0.06744763
0.06027,0.07750611
0.063001,0.05376326
0.063001,0.1040714
0.063001,0.05104199
0.063001,0.1311548
0.063001,0.04636801
0.066011,0.1111612
0.066011,0.04945996
0.066011,0.1301845
0.066011,0.0441351
0.068662,0.1249451
0.068662,0.04617434
0.068662,0.1325496
0.068662,0.04540847
0.071422,0.07715981
0.071422,0.02800536
0.071422,0.1217079
0.071422,0.08238243
0.071422,0.01125639
0.074193,0.07394736
0.074193,0.05968121
0.074193,0.03215129
0.074193,0.1095683
0.074193,0.02795408
0.074193,0.0997423
0.076898,0.06275664
0.076898,0.03150513
0.076898,0.1396846
0.076898,0.03364597
0.076898,0.08232534
0.076898,0.084515
0.079973,0.02785138
0.079973,0.05102674
0.079973,0.01979568
0.079973,0.1379261
0.079973,0.09099589
0.079973,0.02703479
0.082887,0.02052386
0.082887,0.1007422
0.082887,0.01895973
0.082887,0.02164295
0.082887,0.03244506
0.082887,0.01395182
0.082887,0.1510756
0.082887,0.03374019
0.08604,0.02449041
0.08604,0.02850866
0.08604,0.02436805
0.08604,0.07792152
0.08604,0.02307511
0.08604,0.04620772
0.08604,0.03483682
0.08604,0.07477145
0.08604,0.01182917
0.088946,0.08413519
0.088946,0.01397418
0.088946,0.06052857
0.088946,0.07253434
0.088946,0.02379724
0.088946,0.1163325
0.088946,0.01669039
0.092158,0.04889717
0.092158,0.01470734
0.092158,0.1039771
0.092158,0.03176055
0.092158,0.01439265
0.092158,0.02628039
0.092158,0.01321751
0.092158,0.02529894
0.092158,0.01044915
0.092158,0.08069607
0.094732,0.03494139
0.094732,0.0114746
0.094732,0.04896598
0.094732,0.01658187
0.094732,0.1068803
0.094732,0.01113711
0.094732,0.01627208
0.094732,0.06213427
0.094732,0.01046181
0.097462,0.02335078
0.097462,0.02148627
0.097462,0.02603436
0.097462,0.01789458
0.097462,0.04257604
0.097462,0.0125826
0.097462,0.08633365
0.097462,0.02692487
0.097462,0.01218682
0.097462,0.05748922
0.097462,0.01147056
0.100309,0.05408608
0.100309,0.01264677
0.100309,0.1338015
0.100309,0.02605069
0.100309,0.01914935
0.100309,0.03881904
0.100309,0.01398481
0.10288,0.09264706
0.10288,0.02247608
0.10288,0.05104275
0.10288,0.009496429
0.10288,0.07934565
0.10288,0.01530145
0.10288,0.04412061
0.10288,0.02694989
0.105656,0.02897784
0.105656,0.01793158
0.105656,0.06691781
0.105656,0.0485453
0.105656,0.01772367
0.105656,0.03070357
0.105656,0.05846032
0.105656,0.01899593
0.105656,0.09956224
0.108211,0.02030291
0.108211,0.03315511
0.108211,0.01707351
0.108211,0.08456974
0.108211,0.04438688
0.108211,0.01119264
0.108211,0.08977507
0.108211,0.05690043
0.11088,0.02217921
0.11088,0.03116637
0.11088,0.01908348
0.11088,0.01905344
0.11088,0.01828622
0.11088,0.06812359
0.11088,0.03946598
0.11088,0.03518924
0.11088,0.01859827
0.11088,0.05782603
0.11088,0.04185275
0.113734,0.01811082
0.113734,0.02754327
0.113734,0.06004779
0.113734,0.01570608
0.113734,0.07191952
0.113734,0.03707338
0.113734,0.0318181
0.113734,0.06153093
0.113734,0.05233356
0.116561,0.03202028
0.116561,0.05399737
0.116561,0.03349392
0.116561,0.02866379
0.116561,0.06421802
0.116561,0.03668882
0.116561,0.0432318
0.116561,0.04638176
0.119146,0.06127162
0.119146,0.02878558
0.119146,0.05581818
0.119146,0.05622262
0.119146,0.05553177
0.119146,0.05556579
0.119146,0.05727706
0.1219,0.05258022
0.1219,0.03719627
0.1219,0.03502151
0.1219,0.07192663
0.1219,0.01943215
0.1219,0.1046831
0.1219,0.07028203
0.124728,0.05899357
0.124728,0.07869123
0.124728,0.0601454
0.124728,0.1103984
0.124728,0.04415203
0.127479,0.1161942
0.127479,0.06248199
0.127479,0.09277958
0.127479,0.07202344
0.127479,0.1339081
0.130503,0.05073609
0.130503,0.1223875
0.130503,0.07075849
0.130503,0.0737273
0.130503,0.1170259
0.133333,0.05701844
0.133333,0.1047847
0.133333,0.1489807
0.133333,0.1756569
0.136149,0.08097756
0.136149,0.1022032
0.136149,0.1344822
0.136149,0.09816924
0.139007,0.1567
0.139007,0.09172513
0.139007,0.1828917
0.139007,0.1917301
0.142749,0.1422956
0.142749,0.165369
0.142749,0.1421257
0.14559,0.1566009
0.14559,0.1775341
0.14559,0.1479169
0.148653,0.08602488
0.148653,0.1222609
0.148653,0.1094407
0.148653,0.09469442
0.151509,0.1571001
0.151509,0.1656874
0.151509,0.2283938
0.158928,0.2810427
0.158928,0.1250102
0.165954,0.264168
0.165954,0.09803459
0.172558,0.13798
0.172558,0.1464301
0.172558,0.1897577
0.179163,0.1907557
0.179163,0.2684453
0.179163,0.1776919
0.189363,0.3601706
0.189363,0.1382214
0.198367,0.3274303
0.198367,0.1702857
0.206553,0.3855575
0.206553,0.1405705
0.216192,0.560674
0.216192,0.1179019
0.230209,0.4473709
0.230209,0.1467903
0.241393,0.5761533
0.241393,0.1096996
0.255797,0.4259432
0.255797,0.1400832
0.266446,0.6207439
0.266446,0.09523918
0.281964,0.3702821
0.281964,0.1803187
0.291221,0.224407
0.291221,0.3234068
0.291221,0.3860437
0.303102,0.1364821
0.303102,0.2727507
0.303102,0.2418323
0.312403,0.51715
0.312403,0.1205857
0.325331,0.465037
0.325331,0.1654647
0.336957,0.4302726
0.336957,0.1836645
0.347714,0.574771
0.347714,0.1466441
0.362083,0.7350797
0.362083,0.1505676
0.38046,0.448942
0.38046,0.2022961
0.391684,0.3600611
0.391684,0.1586569
0.400685,0.3797638
0.400685,0.194786
0.410179,0.3657419
0.410179,0.1427888
0.419323,0.3090246
0.419323,0.3408517
0.427049,0.2253022
0.427049,0.377334
0.427049,0.2048082
0.439989,0.8109207
0.439989,0.1921453
0.460262,0.5214133
0.460262,0.140499
0.473298,0.532212
0.473298,0.1307422
0.486603,0.6245691
0.486603,0.1194581
0.502217,0.724116
0.502217,0.1154907
0.52032,0.6110353
0.52032,0.1343595
0.535596,0.7087399
0.535596,0.1325065
0.553314,0.6915409
0.553314,0.1785833
0.570603,0.2212465
0.570603,0.2897618
0.570603,0.1860161
0.581775,0.5063511
0.581775,0.100052
0.594434,0.4137132
0.594434,0.177143
0.604777,0.3723297
0.604777,0.243464
0.614085,0.2719576
0.614085,0.2355402
0.620884,0.2646086
0.620884,0.2385615
0.627499,0.2680334
0.627499,0.2432927
