time_or_frame,value
0,0.06249776
0,0.1178461
0,0.1829756
0,0.06115508
0.000227,0.2515004
0.000227,0.04754718
0.000403,0.2476753
0.000403,0.08894538
0.000403,0.06404467
0.000623,0.1169903
0.000623,0.08263586
0.000623,0.1332916
0.000623,0.03866384
0.000832,0.3234353
0.000832,0.03383617
0.001058,0.08150678
0.001058,0.22696
0.001058,0.02768795
0.001261,0.163518
0.001261,0.06603415
0.001261,0.1972313
0.001261,0.0249139
0.001522,0.2036722
0.001522,0.05162774
0.001522,0.1810667
0.001522,0.02042847
0.001789,0.2372919
0.001789,0.06141814
0.001789,0.04833395
0.001988,0.1974731
0.001988,0.05808081
0.001988,0.1018277
0.001988,0.02122169
0.002213,0.1843221
0.002213,0.04260888
0.002213,0.1164764
0.002213,0.01916069
0.00243,0.1492679
0.00243,0.04042123
0.00243,0.1321966
0.00243,0.01724001
0.002634,0.1259277
0.002634,0.03879867
0.002634,0.1393021
0.002634,0.01658767
0.002828,0.1143784
0.002828,0.03931285
0.002828,0.1807231
0.002828,0.01712478
0.00304,0.09185175
0.00304,0.05995027
0.00304,0.1700519
0.00304,0.02017388
0.003244,0.1017103
0.003244,0.05489707
0.003244,0.131675
0.003244,0.01859587
0.003428,0.08055111
0.003428,0.0455189
0.003428,0.3384188
0.003428,0.02259733
0.003721,0.02962852
0.003721,0.3437749
0.003721,0.02652671
0.003976,0.0730253
0.003976,0.07371606
0.003976,0.03265407
0.003976,0.2939352
0.003976,0.02288588
0.004265,0.05435067
0.004265,0.1159897
0.004265,0.02709904
0.004265,0.1194157
0.004265,0.01790842
0.004464,0.04861438
0.004464,0.06043114
0.004464,0.3350689
0.004464,0.02092002
0.004748,0.02795216
0.004748,0.3661645
0.004748,0.01851324
0.005017,0.131833
0.005017,0.03329637
0.005017,0.1761505
0.005017,0.01562707
0.005233,0.05997342
0.005233,0.0742553
0.005233,0.03307085
0.005233,0.1985614
0.005233,0.02064876
0.00546,0.1456972
0.00546,0.02421044
0.00546,0.07224113
0.00546,0.038521
0.00546,0.03463718
0.00564,0.1636522
0.00564,0.03477085
0.00564,0.0550948
0.00564,0.03498757
0.00564,0.03929833
0.005825,0.0560813
0.005825,0.05057139
0.005825,0.03655104
0.005825,0.118122
0.005825,0.02173493
0.005825,0.05774051
0.006003,0.1079533
0.006003,0.02692927
0.006003,0.07083146
0.006003,0.02829311
0.006003,0.2747903
0.006003,0.01128989
0.006305,0.08622752
0.006305,0.04986438
0.006305,0.04922646
0.006305,0.04793175
0.006305,0.03941119
0.006305,0.07139395
0.006305,0.01650768
0.006515,0.1904206
0.006515,0.01734135
0.006515,0.02975371
0.006515,0.1431599
0.006515,0.01478558
0.006752,0.07900999
0.006752,0.03292598
0.006752,0.1064058
0.006752,0.02241781
0.006752,0.242783
0.006752,0.0115301
0.007039,0.02592864
0.007039,0.09630379
0.007039,0.02373382
0.007039,0.1183901
0.007039,0.02176507
0.007039,0.04869189
0.007221,0.05048447
0.007221,0.0455177
0.007221,0.03850552
0.007221,0.06740289
0.007221,0.02459622
0.007221,0.3072864
0.007221,0.01964667
0.007536,0.02682706
0.007536,0.148285
0.007536,0.02256665
0.007536,0.1536509
0.007536,0.01646533
0.007756,0.2553182
0.007756,0.01904612
0.007935,0.02849889
0.007935,0.0890817
0.007935,0.02491673
0.007935,0.3372912
0.007935,0.0249753
0.008223,0.03841843
0.008223,0.1188379
0.008223,0.02310249
0.008223,0.09362824
0.008223,0.02645347
0.008223,0.05604319
0.008412,0.02837843
0.008412,0.118592
0.008412,0.0244184
0.008412,0.1815612
0.008412,0.01569133
0.008633,0.07981095
0.008633,0.03829911
0.008633,0.06841026
0.008633,0.02958748
0.008633,0.1676442
0.008633,0.01006047
0.008867,0.02674228
0.008867,0.1027885
0.008867,0.02579546
0.008867,0.1783742
0.008867,0.01328844
0.009078,0.04027526
0.009078,0.06674201
0.009078,0.02979797
0.009078,0.1464626
0.009078,0.01770385
0.009258,0.1777459
0.009258,0.01832653
0.009258,0.04372139
0.009258,0.04566121
0.009258,0.0316994
0.009443,0.1364739
0.009443,0.02593013
0.009443,0.04897075
0.009443,0.05062782
0.009443,0.04315091
0.009443,0.02693317
0.009634,0.1828619
0.009634,0.01445222
0.009634,0.02705881
0.009634,0.1112577
0.009634,0.0157652
0.009847,0.1160312
0.009847,0.02873178
0.009847,0.1024124
0.009847,0.01892811
0.009847,0.1567087
0.009847,0.01373977
0.0101,0.056049
0.0101,0.04115271
0.0101,0.114294
0.0101,0.0158397
0.0101,0.09771846
0.0101,0.01673652
0.010302,0.09820804
0.010302,0.02028198
0.010302,0.1329194
0.010302,0.01489369
0.010302,0.06186647
0.010302,0.02721922
0.010506,0.1467452
0.010506,0.01655178
0.010506,0.04082394
0.010506,0.06694214
0.010506,0.03750173
0.010506,0.04152842
0.0107,0.0544198
0.0107,0.03617639
0.0107,0.07818539
0.0107,0.02239488
0.0107,0.2455297
0.0107,0.01125704
0.010967,0.03401688
0.010967,0.1802756
0.010967,0.01630734
0.010967,0.03842068
0.010967,0.05068512
0.011142,0.03891595
0.011142,0.07085267
0.011142,0.02111381
0.011142,0.2467421
0.011142,0.01444589
0.011382,0.01932536
0.011382,0.1077633
0.011382,0.01671888
0.011382,0.1199255
0.011382,0.01870851
0.011382,0.04878319
0.011561,0.01334157
0.011561,0.1145148
0.011561,0.01210569
0.011561,0.04829861
0.011561,0.01458786
0.011561,0.1976692
0.011561,0.0195387
0.011807,0.01700147
0.011807,0.08929519
0.011807,0.01302748
0.011807,0.07609561
0.011807,0.02373557
0.011807,0.1050603
0.011807,0.0159462
0.012008,0.01235679
0.012008,0.1374861
0.012008,0.01417142
0.012008,0.1154819
0.012008,0.03977733
0.012188,0.05824472
0.012188,0.01298422
0.012188,0.1326669
0.012188,0.01624237
0.012188,0.08852369
0.012188,0.01621243
0.012382,0.05908803
0.012382,0.01193453
0.012382,0.06849159
0.012382,0.009898786
0.012382,0.03956256
0.012382,0.01842136
0.012382,0.2969402
0.012382,0.01241293
0.012684,0.01662781
0.012684,0.1438304
0.012684,0.01940594
0.012684,0.06303515
0.012684,0.05742004
0.012684,0.05352389
0.012873,0.02381755
0.012873,0.1584897
0.012873,0.01654216
0.012873,0.07587437
0.012873,0.04809134
0.013051,0.04449415
0.013051,0.03666483
0.013051,0.07779274
0.013051,0.0178916
0.013051,0.2701283
0.013051,0.01616207
0.013325,0.02039884
0.013325,0.203364
0.013325,0.01487027
0.013325,0.07040132
0.013325,0.04288811
0.013525,0.05098315
0.013525,0.04780506
0.013525,0.03513402
0.013525,0.06447305
0.013525,0.02102858
0.013525,0.3015992
0.013525,0.01503281
0.0138,0.01872057
0.0138,0.3660525
0.0138,0.01945557
0.014,0.03701627
0.014,0.1549147
0.014,0.01334928
0.014,0.05360467
0.014,0.03799965
0.014,0.0610043
0.014189,0.0253501
0.014189,0.167641
0.014189,0.01667156
0.014189,0.07265379
0.014189,0.03778079
0.014371,0.05912106
0.014371,0.02114941
0.014371,0.2537418
0.014371,0.01530518
0.01459,0.01420948
0.01459,0.06179528
0.01459,0.0231947
0.01459,0.2206279
0.01459,0.01692055
0.014797,0.04072573
0.014797,0.1003913
0.014797,0.0134846
0.014797,0.05827229
0.014797,0.02418751
0.014797,0.1990905
0.014797,0.01398914
0.015058,0.0189086
0.015058,0.1611337
0.015058,0.01287066
0.015058,0.06311057
0.015058,0.06331392
0.015058,0.03496291
0.015259,0.0447635
0.015259,0.0351206
0.015259,0.04107677
0.015259,0.04120855
0.015259,0.0296992
0.015259,0.09371222
0.015259,0.0190785
0.015438,0.02976828
0.015438,0.04520072
0.015438,0.02391094
0.015438,0.1236459
0.015438,0.01823706
0.015438,0.06490935
0.015438,0.0418673
0.015628,0.06668879
0.015628,0.01741528
0.015628,0.1564313
0.015628,0.01451763
0.015628,0.03852556
0.015628,0.05963175
0.015815,0.03869081
0.015815,0.08689117
