time_or_frame,value
0,0
0,0
0,0
0,0
0.000227,0
0.000227,0
0.000403,0
0.000403,0
0.000403,0
0.000623,0
0.000623,0
0.000623,0
0.000623,0
0.000832,0
0.000832,0
0.001058,0
0.001058,0
0.001058,0
0.001261,0
0.001261,0
0.001261,0
0.001261,0
0.001522,0
0.001522,0
0.001522,0
0.001522,0
0.001789,0
0.001789,0
0.001789,0
0.001988,0
0.001988,0
0.001988,0
0.001988,0
0.002213,0
0.002213,0
0.002213,0
0.002213,0
0.00243,0
0.00243,0
0.00243,0
0.00243,0
0.002634,0
0.002634,0
0.002634,0
0.002634,0
0.002828,0
0.002828,0
0.002828,0
0.002828,0
0.00304,0
0.00304,0
0.00304,0
0.00304,0
0.003244,0
0.003244,0
0.003244,0
0.003244,0
0.003428,0
0.003428,0
0.003428,0
0.003428,0
0.003721,0
0.003721,0
0.003721,0
0.003976,0
0.003976,0
0.003976,0
0.003976,0
0.003976,0
0.004265,0
0.004265,0
0.004265,0
0.004265,0
0.004265,9e-07
0.004464,4e-07
0.004464,4e-07
0.004464,5e-07
0.004464,8e-07
0.004748,6e-07
0.004748,6e-07
0.004748,1.2e-06
0.005017,1.1e-06
0.005017,1.1e-06
0.005017,9e-07
0.005017,9e-07
0.005233,9e-07
0.005233,1.1e-06
0.005233,1.1e-06
0.005233,1.1e-06
0.005233,1.1e-06
0.00546,1.4e-06
0.00546,1.4e-06
0.00546,1.3e-06
0.00546,1.4e-06
0.00546,1.7e-06
0.00564,1.7e-06
0.00564,2e-06
0.00564,1.5e-06
0.00564,1.7e-06
0.00564,1.7e-06
0.005825,1.7e-06
0.005825,1.7e-06
0.005825,2.4e-06
0.005825,3e-06
0.005825,2.4e-06
0.005825,2.2e-06
0.006003,2.2e-06
0.006003,2.2e-06
0.006003,2.2e-06
0.006003,2.4e-06
0.006003,2.4e-06
0.006003,3e-06
0.006305,3e-06
0.006305,3.1e-06
0.006305,3.1e-06
0.006305,3.1e-06
0.006305,3.3e-06
0.006305,3.3e-06
0.006305,3.3e-06
0.006515,3.2e-06
0.006515,3.2e-06
0.006515,3.2e-06
0.006515,3.2e-06
0.006515,3.4e-06
0.006752,3.2e-06
0.006752,3.2e-06
0.006752,3.2e-06
0.006752,3.5e-06
0.006752,3.5e-06
0.006752,3.7e-06
0.007039,3.7e-06
0.007039,3.7e-06
0.007039,3.8e-06
0.007039,3.8e-06
0.007039,4.6e-06
0.007039,4.6e-06
0.007221,4.6e-06
0.007221,4.6e-06
0.007221,4.7e-06
0.007221,4.3e-06
0.007221,5e-06
0.007221,4.8e-06
0.007221,5.2e-06
0.007536,5.6e-06
0.007536,5.6e-06
0.007536,5.8e-06
