time_or_frame,value
0,262
0,361
0,371
0,363
0,367
0,192
0.000221,393
0.000221,381
0.000221,393
0.000221,175
0.000403,434
0.000403,428
0.000403,441
0.000403,177
0.00059,479
0.00059,446
0.00059,459
0.00059,458
0.00059,181
0.000779,508
0.000779,457
0.000779,469
0.000779,489
0.000779,183
0.000963,523
0.000963,479
0.000963,480
0.000963,463
0.000963,485
0.000963,204
0.001175,530
0.001175,466
0.001175,513
0.001175,171
0.001352,493
0.001352,466
0.001352,465
0.001352,480
0.001352,180
0.001536,525
0.001536,476
0.001536,492
0.001536,464
0.001536,502
0.001536,197
0.001745,488
0.001745,459
0.001745,485
0.001745,485
0.001745,456
0.001745,458
0.001745,207
0.001933,542
0.001933,458
0.001933,523
0.001933,453
0.001933,444
0.001933,220
0.002156,459
0.002156,431
0.002156,437
0.002156,177
0.002334,442
0.002334,440
0.002334,424
0.002334,433
0.002334,437
0.002334,440
0.002334,218
0.002564,453
0.002564,513
0.002564,408
0.002564,417
0.002564,418
0.002564,176
0.002745,436
0.002745,420
0.002745,440
0.002745,423
0.002745,422
0.002745,474
0.002745,169
0.002952,423
0.002952,390
0.002952,391
0.002952,414
0.002952,412
0.002952,219
0.003149,423
0.003149,390
0.003149,390
0.003149,445
0.003149,392
0.003149,173
0.003385,406
0.003385,406
0.003385,436
0.003385,395
0.003385,424
0.003385,393
0.003385,176
0.003622,408
0.003622,404
0.003622,396
0.003622,398
0.003622,409
0.003622,400
0.003622,182
0.003873,406
0.003873,405
0.003873,409
0.003873,391
0.003873,393
0.003873,151
0.004052,461
0.004052,403
0.004052,403
0.004052,393
0.004052,396
0.004052,394
0.004052,393
0.004052,242
0.004291,420
0.004291,435
0.004291,389
0.004291,455
0.004291,403
0.004291,392
0.004291,185
0.004534,402
0.004534,421
0.004534,391
0.004534,442
0.004534,386
0.004534,155
0.004731,401
0.004731,432
0.004731,389
0.004731,391
0.004731,398
0.004731,390
0.004731,244
0.004996,407
0.004996,395
0.004996,387
0.004996,409
0.004996,393
0.004996,390
0.004996,175
0.005199,406
0.005199,384
0.005199,389
0.005199,394
0.005199,389
0.005199,200
0.00539,415
0.00539,394
0.00539,411
0.00539,393
0.00539,441
0.00539,419
0.00539,388
0.00539,211
0.00561,413
0.00561,407
0.00561,449
0.00561,388
0.00561,394
0.00561,197
0.005796,407
0.005796,401
0.005796,413
0.005796,400
0.005796,392
0.005796,389
0.005796,402
0.005796,217
0.006021,415
0.006021,406
0.006021,420
0.006021,423
0.006021,403
0.006021,194
0.006199,399
0.006199,397
0.006199,390
0.006199,387
0.006199,413
0.006199,430
0.006199,478
0.006199,240
0.006375,495
0.006375,447
0.006375,504
0.006375,536
0.006375,554
0.006375,549
0.006375,590
0.006375,493
0.006375,607
0.006375,167
0.006554,410
0.006554,439
0.006554,388
0.006554,391
0.006554,452
0.006554,543
0.006554,168
0.006755,414
0.006755,415
0.006755,525
0.006755,480
0.006755,597
0.006755,426
0.006755,539
0.006755,521
0.006755,543
0.006755,529
0.006755,546
0.006755,496
0.006755,517
0.006755,204
0.006951,516
0.006951,426
0.006951,456
0.006951,405
0.006951,423
0.006951,408
0.006951,204
0.007143,432
0.007143,405
0.007143,406
0.007143,438
0.007143,405
0.007143,238
0.007319,419
0.007319,418
0.007319,407
0.007319,453
0.007319,400
0.007319,452
0.007319,406
0.007319,254
0.007502,419
0.007502,440
0.007502,404
0.007502,413
0.007502,402
0.007502,457
0.007502,409
0.007502,250
0.00769,423
0.00769,405
0.00769,402
0.00769,485
0.00769,414
0.00769,413
0.00769,407
0.00769,228
0.007886,451
0.007886,421
0.007886,414
0.007886,425
0.007886,474
0.007886,460
0.007886,434
0.007886,450
0.007886,424
0.007886,256
0.008062,458
0.008062,413
0.008062,462
0.008062,492
0.008062,429
0.008062,411
0.008062,455
0.008062,217
0.008239,507
0.008239,429
0.008239,469
0.008239,468
0.008239,447
0.008239,503
0.008239,218
0.008431,430
0.008431,518
0.008431,461
0.008431,526
0.008431,413
0.008431,413
0.008431,182
0.008635,449
0.008635,438
0.008635,415
0.008635,420
0.008635,418
0.008635,416
0.008635,194
0.008825,460
0.008825,417
0.008825,456
0.008825,460
0.008825,471
0.008825,224
0.009012,427
0.009012,427
0.009012,428
0.009012,467
0.009012,462
0.009012,459
0.009012,421
0.009012,195
0.009188,515
0.009188,478
0.009188,490
0.009188,455
0.009188,409
0.009188,410
0.009188,481
0.009188,453
0.009188,233
0.009415,422
0.009415,466
0.009415,476
0.009415,417
0.009415,484
0.009415,435
0.009415,483
0.009415,204
0.009599,549
0.009599,429
0.009599,477
0.009599,419
0.009599,470
0.009599,478
0.009599,453
0.009599,407
0.009599,413
0.009599,229
0.009787,490
0.009787,416
0.009787,450
0.009787,425
0.009787,415
0.009787,407
0.009787,482
0.009787,196
0.009964,492
0.009964,470
0.009964,443
0.009964,416
0.009964,473
0.009964,444
0.009964,200
0.010145,449
0.010145,454
0.010145,476
0.010145,466
0.010145,469
0.010145,446
0.010145,224
0.010338,455
0.010338,456
0.010338,429
0.010338,459
0.010338,447
0.010338,484
0.010338,479
0.010338,446
0.010338,451
0.010338,245
0.010532,471
0.010532,478
0.010532,469
0.010532,472
0.010532,484
0.010532,460
0.010532,426
0.010532,466
0.010532,421
0.010532,459
0.010532,213
0.010726,473
0.010726,432
0.010726,481
0.010726,419
0.010726,448
0.010726,441
0.010726,447
0.010726,426
0.010726,475
0.010726,230
0.010918,434
0.010918,452
0.010918,474
0.010918,447
0.010918,468
0.010918,444
0.010918,467
0.010918,453
0.010918,453
0.010918,229
0.011104,455
0.011104,462
0.011104,458
0.011104,461
0.011104,463
0.011104,423
0.011104,460
0.011104,454
0.011104,460
0.011104,420
0.011104,455
0.011104,233
0.011299,455
0.011299,451
0.011299,455
0.011299,454
0.011299,454
0.011299,455
0.011299,452
0.011299,455
0.011299,454
0.011299,219
0.011476,465
0.011476,459
0.011476,458
0.011476,454
0.011476,453
0.011476,454
0.011476,453
0.011476,440
0.011476,445
0.011476,441
0.011476,228
0.011657,480
0.011657,490
0.011657,458
0.011657,450
0.011657,441
0.011657,448
0.011657,439
0.011657,457
0.011657,439
0.011657,441
0.011657,436
0.011657,242
0.011849,524
0.011849,508
0.011849,458
0.011849,496
0.011849,449
0.011849,492
0.011849,451
0.011849,484
0.011849,232
0.012024,494
0.012024,455
0.012024,489
0.012024,467
0.012024,454
0.012024,447
0.012024,472
0.012024,445
0.012024,450
0.012024,210
0.012203,492
0.012203,457
0.012203,452
0.012203,508
0.012203,465
0.012203,453
0.012203,470
0.012203,459
0.012203,444
0.012203,221
0.012391,523
0.012391,486
0.012391,477
0.012391,432
0.012391,437
0.012391,499
0.012391,468
0.012391,459
0.012391,218
0.012567,518
0.012567,464
0.012567,458
0.012567,449
0.012567,450
0.012567,450
0.012567,437
0.012567,439
0.012567,433
0.012567,233
0.012772,443
0.012772,436
0.012772,449
0.012772,447
0.012772,436
0.012772,453
0.012772,441
0.012772,226
0.012964,465
0.012964,464
0.012964,477
0.012964,490
0.012964,451
0.012964,467
0.012964,485
0.012964,501
0.012964,458
0.012964,493
0.012964,236
0.013152,462
0.013152,478
0.013152,474
0.013152,463
0.013152,450
0.013152,460
0.013152,480
0.013152,471
0.013152,456
0.013152,222
0.013341,504
0.013341,524
0.013341,477
0.013341,497
0.013341,453
0.013341,471
0.013341,244
0.013549,510
0.013549,524
0.013549,488
0.013549,468
0.013549,470
0.013549,481
0.013549,467
0.013549,502
0.013549,258
0.013752,477
0.013752,464
0.013752,464
0.013752,458
0.013752,476
0.013752,493
0.013752,479
0.013752,456
0.013752,272
0.013982,479
0.013982,482
0.013982,484
0.013982,505
0.013982,501
0.013982,473
0.013982,501
0.013982,253
0.014191,505
0.014191,520
0.014191,493
0.014191,479
0.014191,465
0.014191,466
0.014191,485
0.014191,266
0.014403,477
0.014403,506
0.014403,484
0.014403,487
0.014403,481
0.014403,510
0.014403,485
0.014403,528
0.014403,505
0.014403,622
0.014403,232
0.014587,488
0.014587,579
0.014587,473
0.014587,544
0.014587,538
0.014587,500
0.014587,568
0.014587,526
0.014587,512
0.014587,240
0.014779,519
0.014779,486
0.014779,487
0.014779,481
0.014779,557
0.014779,473
0.014779,552
0.014779,500
0.014779,613
0.014779,244
0.014977,508
0.014977,485
0.014977,483
0.014977,562
0.014977,481
0.014977,549
0.014977,494
0.014977,488
0.014977,606
0.014977,479
0.014977,225
0.015153,578
0.015153,535
0.015153,490
0.015153,610
0.015153,591
0.015153,565
0.015153,669
0.015153,509
0.015153,503
0.015153,587
0.015153,492
0.015153,226
0.015332,557
0.015332,606
0.015332,493
0.015332,491
0.015332,551
0.015332,523
0.015332,553
0.015332,502
0.015332,485
0.015332,484
0.015332,484
0.015332,567
0.015332,367
0.015512,548
0.015512,517
0.015512,498
0.015512,614
0.015512,489
0.015512,490
0.015512,523
0.015512,524
0.015512,273
0.015693,501
0.015693,502
0.015693,545
0.015693,490
0.015693,483
0.015693,492
0.015693,509
0.015693,545
0.015693,687
0.015693,489
0.015693,486
0.015693,250
0.015877,571
0.015877,499
0.015877,582
0.015877,507
0.015877,566
0.015877,507
0.015877,648
0.015877,544
0.015877,688
0.015877,497
0.015877,562
0.015877,515
0.015877,665
0.015877,499
0.015877,530
0.015877,777
0.015877,681
0.015877,807
0.015877,235
0.016079,490
0.016079,639
0.016079,491
0.016079,587
0.016079,789
0.016079,484
0.016079,479
0.016079,483
0.016079,690
0.016079,485
0.016079,485
0.016079,296
0.016265,495
0.016265,476
0.016265,642
0.016265,716
0.016265,609
0.016265,717
0.016265,455
0.016265,460
0.016265,457
0.016265,474
