time_or_frame,value
0,9.588185e-07
0,9.702143e-07
0,9.768602e-07
0,9.885766e-07
0,9.572216e-07
0,9.775952e-07
0.000221,9.927054e-07
0.000221,9.964e-07
0.000221,9.812353e-07
0.000221,9.508684e-07
0.000403,9.775173e-07
0.000403,9.837464e-07
0.000403,9.988975e-07
0.000403,9.804825e-07
0.00059,9.889006e-07
0.00059,9.901789e-07
0.00059,9.991983e-07
0.00059,9.983006e-07
0.00059,9.803642e-07
0.000779,9.737829e-07
0.000779,9.970285e-07
0.000779,9.925734e-07
0.000779,9.99369e-07
0.000779,9.173676e-07
0.000963,9.952365e-07
0.000963,9.94713e-07
0.000963,9.914868e-07
0.000963,9.987723e-07
0.000963,9.776788e-07
0.000963,9.690585e-07
0.001175,9.875645e-07
0.001175,9.94948e-07
0.001175,9.961304e-07
0.001175,9.945617e-07
0.001352,9.970764e-07
0.001352,9.768806e-07
0.001352,9.817267e-07
0.001352,9.928117e-07
0.001352,9.812495e-07
0.001536,9.517141e-07
0.001536,9.959081e-07
0.001536,9.965192e-07
0.001536,9.768762e-07
0.001536,9.88244e-07
0.001536,9.979705e-07
0.001745,9.766408e-07
0.001745,9.977798e-07
0.001745,9.772791e-07
0.001745,9.859175e-07
0.001745,9.708566e-07
0.001745,9.838211e-07
0.001745,9.938029e-07
0.001933,9.905469e-07
0.001933,9.87474e-07
0.001933,9.931501e-07
0.001933,9.932975e-07
0.001933,9.66682e-07
0.001933,9.766828e-07
0.002156,9.928315e-07
0.002156,9.90935e-07
0.002156,9.659041e-07
0.002156,9.439734e-07
0.002334,9.886468e-07
0.002334,9.661235e-07
0.002334,9.954783e-07
0.002334,9.621916e-07
0.002334,9.538257e-07
0.002334,9.879019e-07
0.002334,9.906329e-07
0.002564,9.977758e-07
0.002564,9.839181e-07
0.002564,9.938071e-07
0.002564,9.854393e-07
0.002564,9.995125e-07
0.002564,9.808836e-07
0.002745,9.832163e-07
0.002745,9.789546e-07
0.002745,9.929298e-07
0.002745,9.928976e-07
0.002745,9.910065e-07
0.002745,9.985449e-07
0.002745,9.895576e-07
0.002952,9.973583e-07
0.002952,9.961997e-07
0.002952,9.987934e-07
0.002952,9.973793e-07
0.002952,9.952111e-07
0.002952,9.86905e-07
0.003149,9.915528e-07
0.003149,9.995377e-07
0.003149,9.996353e-07
0.003149,9.892826e-07
0.003149,9.862956e-07
0.003149,9.566554e-07
0.003385,9.708332e-07
0.003385,9.845188e-07
0.003385,9.759394e-07
0.003385,9.773378e-07
0.003385,9.992118e-07
0.003385,9.788498e-07
0.003385,9.817118e-07
0.003622,9.828202e-07
0.003622,9.97519e-07
0.003622,9.452351e-07
0.003622,9.86421e-07
0.003622,9.886307e-07
0.003622,9.741116e-07
0.003622,9.587046e-07
0.003873,9.888158e-07
0.003873,9.643436e-07
0.003873,9.9141e-07
0.003873,9.767475e-07
0.003873,9.73483e-07
0.003873,9.293249e-07
0.004052,9.609391e-07
0.004052,9.751171e-07
0.004052,9.983814e-07
0.004052,9.611609e-07
0.004052,9.893408e-07
0.004052,9.915635e-07
0.004052,9.725452e-07
0.004052,9.805993e-07
0.004291,9.979555e-07
0.004291,9.930135e-07
0.004291,9.468409e-07
0.004291,9.715485e-07
0.004291,9.925949e-07
0.004291,9.760759e-07
0.004291,9.792022e-07
0.004534,9.781089e-07
0.004534,9.885299e-07
0.004534,9.821056e-07
0.004534,9.97802e-07
0.004534,9.891984e-07
0.004534,9.479879e-07
0.004731,9.879814e-07
0.004731,9.874468e-07
0.004731,9.990488e-07
0.004731,9.910563e-07
0.004731,9.615944e-07
0.004731,9.945633e-07
0.004731,9.862032e-07
0.004996,9.708601e-07
0.004996,9.777226e-07
0.004996,9.839242e-07
0.004996,9.887473e-07
0.004996,9.863571e-07
0.004996,9.755208e-07
0.004996,9.775868e-07
0.005199,9.94455e-07
0.005199,9.903376e-07
0.005199,9.992626e-07
0.005199,9.876519e-07
0.005199,9.809736e-07
0.005199,9.590659e-07
0.00539,9.901715e-07
0.00539,9.930313e-07
0.00539,9.627942e-07
0.00539,9.928177e-07
0.00539,9.828908e-07
0.00539,9.774722e-07
0.00539,9.768993e-07
0.00539,9.624423e-07
0.00561,9.63758e-07
0.00561,9.659005e-07
0.00561,9.775365e-07
0.00561,9.991136e-07
0.00561,9.900546e-07
0.00561,9.452731e-07
0.005796,9.94372e-07
0.005796,9.810083e-07
0.005796,9.56405e-07
0.005796,9.697212e-07
0.005796,9.878906e-07
0.005796,9.765432e-07
0.005796,9.852565e-07
0.005796,9.747779e-07
0.006021,9.675933e-07
0.006021,9.756428e-07
0.006021,9.978932e-07
0.006021,9.959289e-07
0.006021,9.890131e-07
0.006021,9.937248e-07
0.006199,9.925699e-07
0.006199,9.713981e-07
0.006199,9.775504e-07
0.006199,9.880328e-07
0.006199,9.990201e-07
0.006199,9.732792e-07
0.006199,9.820845e-07
0.006199,9.490178e-07
0.006375,9.74727e-07
0.006375,9.609574e-07
0.006375,9.864616e-07
0.006375,9.67829e-07
0.006375,9.780773e-07
0.006375,9.970819e-07
0.006375,9.852773e-07
0.006375,9.882433e-07
0.006375,9.456182e-07
0.006375,9.523973e-07
0.006554,9.718461e-07
0.006554,9.791959e-07
0.006554,9.685448e-07
0.006554,9.879275e-07
0.006554,9.834225e-07
0.006554,9.968328e-07
0.006554,9.539925e-07
0.006755,9.982876e-07
0.006755,9.810165e-07
0.006755,9.993637e-07
0.006755,9.810143e-07
0.006755,8.822477e-07
0.006755,9.642591e-07
0.006755,9.928096e-07
0.006755,9.668427e-07
0.006755,9.890664e-07
0.006755,9.963613e-07
0.006755,9.833897e-07
0.006755,9.710629e-07
0.006755,9.796152e-07
0.006755,9.550747e-07
0.006951,9.980166e-07
0.006951,9.394797e-07
0.006951,9.663538e-07
0.006951,9.820047e-07
0.006951,9.742524e-07
0.006951,9.973061e-07
0.006951,9.9087e-07
0.007143,9.921579e-07
0.007143,9.526476e-07
0.007143,9.738234e-07
0.007143,9.941085e-07
0.007143,9.793686e-07
0.007143,9.78768e-07
0.007319,9.885246e-07
0.007319,9.931307e-07
0.007319,9.413798e-07
0.007319,9.704245e-07
0.007319,9.743757e-07
0.007319,9.9876e-07
0.007319,9.44258e-07
0.007319,9.972207e-07
0.007502,9.965412e-07
0.007502,9.74879e-07
0.007502,9.582699e-07
0.007502,9.763903e-07
0.007502,9.894698e-07
0.007502,9.864673e-07
0.007502,9.825059e-07
0.007502,9.719549e-07
0.00769,9.554398e-07
0.00769,9.996763e-07
0.00769,9.513889e-07
0.00769,9.912064e-07
0.00769,9.989591e-07
0.00769,9.684613e-07
0.00769,9.847899e-07
0.00769,9.717019e-07
0.007886,9.779498e-07
0.007886,9.704345e-07
0.007886,9.968018e-07
0.007886,9.905048e-07
0.007886,9.905012e-07
0.007886,9.986501e-07
0.007886,9.751989e-07
0.007886,9.591016e-07
0.007886,9.414028e-07
0.007886,9.532819e-07
0.008062,9.641266e-07
0.008062,9.726838e-07
0.008062,9.801557e-07
0.008062,9.640517e-07
0.008062,9.9182e-07
0.008062,9.4488e-07
0.008062,9.870237e-07
0.008062,9.768206e-07
0.008239,9.712303e-07
0.008239,9.966691e-07
0.008239,9.865601e-07
0.008239,9.741555e-07
0.008239,9.86108e-07
0.008239,9.582456e-07
0.008239,9.776484e-07
0.008431,9.939899e-07
0.008431,9.883211e-07
0.008431,9.867441e-07
0.008431,9.824491e-07
0.008431,9.660819e-07
0.008431,9.65613e-07
0.008431,9.445785e-07
0.008635,9.976803e-07
0.008635,9.719076e-07
0.008635,9.832302e-07
0.008635,9.894353e-07
0.008635,9.897298e-07
0.008635,9.820335e-07
0.008635,9.936721e-07
0.008825,9.609657e-07
0.008825,9.772575e-07
0.008825,9.607035e-07
0.008825,9.519411e-07
0.008825,9.519856e-07
0.008825,9.667349e-07
0.009012,9.691206e-07
0.009012,9.995653e-07
0.009012,9.77982e-07
0.009012,9.885212e-07
0.009012,9.65496e-07
0.009012,9.528447e-07
0.009012,9.513418e-07
0.009012,9.387873e-07
0.009188,9.956404e-07
0.009188,9.991196e-07
0.009188,9.849485e-07
0.009188,9.773028e-07
0.009188,9.863121e-07
0.009188,9.903131e-07
0.009188,9.974488e-07
0.009188,9.707602e-07
0.009188,9.738756e-07
0.009415,9.942685e-07
0.009415,9.522283e-07
0.009415,9.886468e-07
0.009415,9.764507e-07
0.009415,9.731428e-07
0.009415,9.927444e-07
0.009415,9.85159e-07
0.009415,9.845018e-07
0.009599,9.55759e-07
0.009599,9.851565e-07
0.009599,9.636981e-07
0.009599,9.852869e-07
0.009599,9.678657e-07
0.009599,9.75765e-07
0.009599,9.991437e-07
0.009599,9.969174e-07
0.009599,9.926964e-07
0.009599,9.54849e-07
0.009787,9.959246e-07
0.009787,9.903149e-07
0.009787,9.930015e-07
0.009787,9.566953e-07
0.009787,9.786449e-07
0.009787,9.831941e-07
0.009787,9.829022e-07
0.009787,9.520439e-07
0.009964,9.648098e-07
0.009964,9.475389e-07
0.009964,9.889516e-07
0.009964,9.821086e-07
0.009964,9.687443e-07
0.009964,9.863035e-07
0.009964,9.772195e-07
0.010145,9.792142e-07
0.010145,9.877778e-07
0.010145,9.47426e-07
0.010145,9.839725e-07
0.010145,9.800569e-07
0.010145,9.585655e-07
0.010145,9.903331e-07
0.010338,9.962802e-07
0.010338,9.556861e-07
0.010338,9.943127e-07
0.010338,9.898414e-07
0.010338,9.240588e-07
0.010338,9.598277e-07
0.010338,9.845566e-07
0.010338,9.793932e-07
0.010338,9.943931e-07
0.010338,9.310742e-07
0.010532,9.971631e-07
0.010532,9.972027e-07
0.010532,9.754034e-07
0.010532,9.500467e-07
0.010532,9.945422e-07
0.010532,9.894013e-07
0.010532,9.987041e-07
0.010532,9.98819e-07
0.010532,9.874519e-07
0.010532,9.880321e-07
0.010532,9.090576e-07
0.010726,9.462044e-07
0.010726,9.76275e-07
0.010726,9.097069e-07
0.010726,9.986658e-07
0.010726,9.972554e-07
0.010726,9.835937e-07
0.010726,9.644784e-07
0.010726,9.460035e-07
0.010726,9.730902e-07
0.010726,9.822224e-07
0.010918,9.907943e-07
0.010918,9.769229e-07
0.010918,9.629556e-07
0.010918,9.971226e-07
0.010918,9.688081e-07
0.010918,9.866278e-07
0.010918,9.905469e-07
0.010918,9.547924e-07
0.010918,9.649996e-07
0.010918,9.821903e-07
0.011104,9.75734e-07
0.011104,9.876178e-07
0.011104,9.675983e-07
0.011104,9.868734e-07
0.011104,9.877768e-07
0.011104,9.551509e-07
0.011104,9.901474e-07
0.011104,9.797606e-07
0.011104,9.72798e-07
0.011104,9.824764e-07
0.011104,9.688011e-07
0.011104,9.966091e-07
0.011299,9.846952e-07
0.011299,9.981953e-07
0.011299,9.924714e-07
0.011299,9.802892e-07
0.011299,9.654724e-07
0.011299,9.817973e-07
0.011299,9.919339e-07
0.011299,9.961637e-07
0.011299,9.628267e-07
0.011299,9.976231e-07
0.011476,9.823532e-07
0.011476,9.621319e-07
0.011476,9.881167e-07
0.011476,9.956976e-07
0.011476,9.787442e-07
0.011476,9.530023e-07
0.011476,9.98475e-07
0.011476,9.892804e-07
0.011476,9.835184e-07
0.011476,9.425207e-07
0.011476,9.364672e-07
0.011657,9.905143e-07
0.011657,9.403488e-07
0.011657,9.835509e-07
0.011657,9.905917e-07
0.011657,9.715108e-07
0.011657,9.564287e-07
0.011657,9.600242e-07
0.011657,9.985531e-07
0.011657,9.892789e-07
0.011657,9.996388e-07
0.011657,9.624645e-07
0.011657,9.807746e-07
0.011849,9.818372e-07
0.011849,9.807709e-07
0.011849,9.91954e-07
0.011849,9.51172e-07
0.011849,9.998954e-07
0.011849,9.94365e-07
0.011849,9.877185e-07
0.011849,9.957193e-07
0.011849,9.916046e-07
0.012024,9.666152e-07
0.012024,9.688068e-07
0.012024,9.734962e-07
0.012024,9.745179e-07
0.012024,9.952306e-07
0.012024,9.673007e-07
0.012024,9.49443e-07
0.012024,9.947281e-07
0.012024,9.625389e-07
0.012024,9.802226e-07
0.012203,9.965144e-07
0.012203,9.292925e-07
0.012203,9.595281e-07
0.012203,9.513051e-07
0.012203,9.978005e-07
