time_or_frame,value
0,1
0.000219,1.058979
0.000404,1.059459
0.00059,1.059622
0.000778,1.059643
0.000958,1.059736
0.001167,1.0593
0.001344,1.059756
0.001542,1.059645
0.001738,1.059646
0.001939,1.059712
0.002134,1.059685
0.002316,1.059688
0.002568,1.059646
0.002745,1.059668
0.002932,1.059611
0.003116,1.059766
0.003341,1.059357
0.003521,1.05976
0.003742,1.059639
0.003956,1.059626
0.004159,1.059398
0.004367,1.059415
0.004564,1.059582
0.004759,1.05968
0.004952,1.059484
0.005131,1.059712
0.005358,1.059662
0.00556,1.059732
0.005786,1.059574
0.005999,1.059516
0.00619,1.059555
0.006453,1.059339
0.006631,1.059607
0.006856,1.059377
0.00704,1.059559
0.007243,1.059377
0.007458,1.059444
0.007683,1.059587
0.007878,1.059754
0.008059,1.059722
0.008252,1.059779
0.008429,1.059625
0.008613,1.059781
0.008804,1.05962
0.00899,1.059543
0.009183,1.059735
0.009359,1.059681
0.009549,1.059517
0.009759,1.059525
0.009946,1.059716
0.010154,1.059599
0.010349,1.059773
0.010536,1.059598
0.010717,1.0595
0.01091,1.059693
0.011104,1.059676
0.01129,1.05984
0.011466,1.059681
0.011641,1.059464
0.011819,1.05951
0.011995,1.059599
0.012183,1.059773
0.01236,1.059462
0.012538,1.059716
0.012742,1.059597
0.012932,1.059739
0.013127,1.059711
0.013309,1.059732
0.013492,1.059809
0.013669,1.059744
0.013846,1.059682
0.014054,1.059526
0.014238,1.059819
0.01449,1.05949
0.014675,1.059771
0.014869,1.059668
0.015064,1.059563
0.015241,1.059776
0.015422,1.059472
0.015624,1.059468
0.015801,1.059817
0.015985,1.059882
0.016165,1.059895
0.016381,1.059699
0.016568,1.059515
0.016758,1.059828
0.016962,1.059783
0.017141,1.059891
0.017317,1.059906
0.017493,1.059809
0.017671,1.0597
0.017876,1.059391
0.018053,1.059787
0.018277,1.059441
0.018455,1.059798
0.018743,1.059679
0.018919,1.059401
0.019153,1.059674
0.019364,1.059447
0.019574,1.059297
0.019843,1.05984
0.020025,1.059863
0.020206,1.059854
0.020435,1.059669
0.020619,1.059515
0.020803,1.059665
0.020982,1.059807
0.021223,1.059302
0.021403,1.059844
0.021711,1.059318
0.021985,1.059619
0.022247,1.059342
0.022433,1.059307
0.022609,1.05982
0.02281,1.059203
0.022992,1.059821
0.023177,1.059839
0.023398,1.05922
0.023626,1.059755
0.023845,1.05935
0.024027,1.059834
0.024211,1.059886
0.024394,1.059782
0.024596,1.059351
0.024797,1.059561
0.024982,1.059877
0.025173,1.059837
0.025374,1.059506
0.025551,1.059543
0.025728,1.059879
0.025944,1.059399
0.026143,1.059859
0.026364,1.059704
0.026548,1.059399
0.026783,1.059305
0.026966,1.05988
0.027147,1.059883
0.027338,1.059841
0.027515,1.059658
0.027692,1.059411
0.027874,1.059876
0.028074,1.059708
0.028263,1.059893
0.028448,1.059447
0.028624,1.059885
0.028833,1.059594
0.029028,1.059757
0.029208,1.05969
0.029396,1.05986
0.029571,1.059655
0.029758,1.059861
0.029934,1.059524
0.030121,1.059848
0.030312,1.059759
0.030516,1.059635
0.030697,1.05986
0.030908,1.059654
0.031126,1.059335
0.031315,1.059651
0.031536,1.059787
0.031769,1.059497
0.031959,1.059747
0.032138,1.05946
0.032335,1.059821
0.032543,1.059459
0.032722,1.059783
0.032904,1.05974
0.033088,1.059834
0.033272,1.059807
0.03345,1.059645
0.033633,1.059592
0.03389,1.059442
0.034158,1.059649
0.034333,1.059733
0.034634,1.059387
0.034825,1.059832
0.035126,1.059459
0.035434,1.059376
0.035614,1.059682
0.035793,1.059816
0.035984,1.059438
0.036202,1.059321
0.036476,1.059344
0.036663,1.059839
0.036876,1.059637
0.037053,1.059689
0.037247,1.059829
0.03743,1.059776
0.037626,1.059279
0.037816,1.059831
0.038046,1.059558
0.038257,1.059352
0.038434,1.059711
0.038609,1.059739
0.038902,1.059317
0.039087,1.059708
0.039277,1.059812
0.039522,1.059578
0.039753,1.059288
0.039932,1.059679
0.040152,1.059624
0.040333,1.059445
0.040511,1.059744
0.040793,1.059238
0.040982,1.059782
0.041168,1.059793
0.041447,1.059179
