time_or_frame,value
0,20
0,27
0,28
0,28
0,28
0,15
0.000219,30
0.000219,30
0.000219,31
0.000219,14
0.000404,34
0.000404,33
0.000404,34
0.000404,14
0.00059,37
0.00059,35
0.00059,36
0.00059,35
0.00059,14
0.000778,40
0.000778,36
0.000778,37
0.000778,37
0.000778,14
0.000958,40
0.000958,38
0.000958,37
0.000958,38
0.000958,38
0.000958,16
0.001167,38
0.001167,37
0.001167,39
0.001167,37
0.001167,13
0.001344,41
0.001344,37
0.001344,40
0.001344,36
0.001344,39
0.001344,39
0.001344,14
0.001542,40
0.001542,35
0.001542,36
0.001542,39
0.001542,14
0.001738,39
0.001738,37
0.001738,39
0.001738,37
0.001738,40
0.001738,16
0.001939,38
0.001939,36
0.001939,36
0.001939,35
0.001939,36
0.001939,15
0.002134,37
0.002134,34
0.002134,35
0.002134,34
0.002134,34
0.002134,35
0.002134,18
0.002316,39
0.002316,36
0.002316,34
0.002316,35
0.002316,35
0.002316,39
0.002316,33
0.002316,39
0.002316,17
0.002568,34
0.002568,33
0.002568,33
0.002568,34
0.002568,33
0.002568,33
0.002568,13
0.002745,33
0.002745,33
0.002745,34
0.002745,34
0.002745,33
0.002745,34
0.002745,32
0.002745,13
0.002932,35
0.002932,34
0.002932,33
0.002932,31
0.002932,32
0.002932,13
0.003116,35
0.003116,30
0.003116,30
0.003116,33
0.003116,31
0.003116,14
0.003341,32
0.003341,32
0.003341,34
0.003341,31
0.003341,31
0.003341,11
0.003521,37
0.003521,31
0.003521,33
0.003521,31
0.003521,31
0.003521,33
0.003521,13
0.003742,32
0.003742,34
0.003742,34
0.003742,34
0.003742,34
0.003742,31
0.003742,12
0.003956,32
0.003956,31
0.003956,30
0.003956,35
0.003956,31
0.003956,13
0.004159,32
0.004159,34
0.004159,33
0.004159,31
0.004159,31
0.004159,31
0.004159,12
0.004367,32
0.004367,34
0.004367,30
0.004367,35
0.004367,31
0.004367,15
0.004564,33
0.004564,33
0.004564,31
0.004564,33
0.004564,31
0.004564,33
0.004564,31
0.004564,34
0.004564,31
0.004564,15
0.004759,31
0.004759,30
0.004759,30
0.004759,30
0.004759,16
0.004952,33
0.004952,30
0.004952,30
0.004952,30
0.004952,31
0.004952,30
0.004952,12
0.005131,34
0.005131,30
0.005131,30
0.005131,33
0.005131,30
0.005131,31
0.005131,15
0.005358,33
0.005358,31
0.005358,31
0.005358,30
0.005358,31
0.005358,30
0.005358,30
0.005358,16
0.00556,33
