time_or_frame,value
0,0.03100085
0,0.05373967
0,0.08975095
0,0.04630262
0,0.1364659
0,0.0330006
0.000219,0.1010009
0.000219,0.05685041
0.000219,0.1325984
0.000219,0.02224549
0.000404,0.03802058
0.000404,0.176955
0.000404,0.07325183
0.000404,0.03265092
0.00059,0.08967264
0.00059,0.02465191
0.00059,0.1408652
0.00059,0.04119067
0.00059,0.02464894
0.000778,0.05684894
0.000778,0.02631
0.000778,0.174734
0.000778,0.01932299
0.000778,0.02885545
0.000958,0.03994121
0.000958,0.08871213
0.000958,0.0526099
0.000958,0.04043655
0.000958,0.1180385
0.000958,0.009431773
0.001167,0.08825615
0.001167,0.03169525
0.001167,0.1376109
0.001167,0.01865593
0.001167,0.02651344
0.001344,0.04882843
0.001344,0.04112326
0.001344,0.1113969
0.001344,0.01313683
0.001344,0.05085735
0.001344,0.05424673
0.001344,0.0114861
0.001542,0.1702616
0.001542,0.02124439
0.001542,0.06209348
0.001542,0.0554307
0.001542,0.01580727
0.001738,0.03639498
0.001738,0.03297304
0.001738,0.06275361
0.001738,0.01522153
0.001738,0.170671
0.001738,0.02325242
0.001939,0.03528186
0.001939,0.02504295
0.001939,0.08054823
0.001939,0.01761818
0.001939,0.1514057
0.001939,0.02668792
0.002134,0.06284944
0.002134,0.02685837
0.002134,0.1045229
0.002134,0.01625196
0.002134,0.05631948
0.002134,0.02305408
0.002134,0.02267384
0.002316,0.02672961
0.002316,0.09446851
0.002316,0.01454564
0.002316,0.038211
0.002316,0.02349425
0.002316,0.05977504
0.002316,0.01254117
0.002316,0.1554234
0.002316,0.01615046
0.002568,0.0352589
0.002568,0.05699445
0.002568,0.0158164
0.002568,0.07946225
0.002568,0.02431849
0.002568,0.07202753
0.002568,0.01095008
0.002745,0.07132329
0.002745,0.0126506
0.002745,0.05231551
0.002745,0.03598493
0.002745,0.05428658
0.002745,0.04132042
0.002745,0.03433504
0.002745,0.02128089
0.002932,0.02798678
0.002932,0.1372286
0.002932,0.02815342
0.002932,0.05840576
0.002932,0.03960228
0.002932,0.01651342
0.003116,0.09046979
0.003116,0.01916464
0.003116,0.06326325
0.003116,0.0207197
0.003116,0.1699366
0.003116,0.008135702
0.003341,0.02934879
0.003341,0.09062201
0.003341,0.01411921
0.003341,0.1361848
0.003341,0.01331769
0.003341,0.02101551
0.003521,0.06139247
0.003521,0.02700805
0.003521,0.1234594
0.003521,0.01242022
0.003521,0.02323478
0.003521,0.1136668
0.003521,0.01023002
0.003742,0.03478074
0.003742,0.04859019
0.003742,0.02672381
0.003742,0.1037903
0.003742,0.01793893
0.003742,0.1160032
0.003742,0.009989903
0.003956,0.1033304
0.003956,0.01343619
0.003956,0.05996436
0.003956,0.01833135
0.003956,0.1302843
0.003956,0.007449435
0.004159,0.04614451
0.004159,0.03988945
0.004159,0.02954707
0.004159,0.0514524
0.004159,0.019446
0.004159,0.1505723
0.004159,0.007959472
0.004367,0.08083067
0.004367,0.01973655
0.004367,0.08710562
0.004367,0.01223069
0.004367,0.1147413
0.004367,0.008090406
0.004564,0.03627107
0.004564,0.03556063
0.004564,0.03331396
0.004564,0.03534127
0.004564,0.03306002
0.004564,0.03399671
