time_or_frame,value
0,0.01886966
0,0.01762425
0,0.01715651
0,0.0161621
0,0.01512127
0,0.01266458
0.000104,0.01577773
0.000104,0.01526771
0.000104,0.01406635
0.000104,0.01446453
0.000104,0.01147951
0.000213,0.0135905
0.000213,0.01435645
0.000213,0.01325094
0.000213,0.01476803
0.000213,0.01036443
0.000315,0.01280742
0.000315,0.01515897
0.000315,0.01317522
0.000315,0.01312582
0.000315,0.01247019
0.000315,0.009776737
0.000435,0.01308961
0.000435,0.01388372
0.000435,0.01292983
0.000435,0.01238119
0.000435,0.01250136
0.000435,0.008625709
0.000554,0.01254826
0.000554,0.01468842
0.000554,0.01281529
0.000554,0.01178782
0.000554,0.01185586
0.000554,0.009860508
0.000675,0.01278012
0.000675,0.01364151
0.000675,0.01273365
0.000675,0.01203512
0.000675,0.01215678
0.000675,0.009153024
0.000794,0.01247077
0.000794,0.01492241
0.000794,0.01301283
0.000794,0.01208187
0.000794,0.01236912
0.000794,0.01191387
0.000794,0.008988024
0.0009,0.01231688
0.0009,0.01570206
0.0009,0.01325174
0.0009,0.01210919
0.0009,0.01215715
0.0009,0.0118004
0.0009,0.01167002
0.0009,0.008379944
0.001016,0.01234886
0.001016,0.01551064
0.001016,0.01314606
0.001016,0.01214989
0.001016,0.01213671
0.001016,0.01178127
0.001016,0.00819099
0.001125,0.01240681
0.001125,0.01541688
0.001125,0.01318271
0.001125,0.01214384
0.001125,0.01199534
0.001125,0.01166529
0.001125,0.008747975
0.001257,0.01240424
0.001257,0.01256749
0.001257,0.0123181
0.001257,0.01216525
0.001257,0.01203422
0.001257,0.007493875
0.001375,0.01240746
0.001375,0.01241776
0.001375,0.01246753
0.001375,0.01218988
0.001375,0.0115443
0.001375,0.01155885
0.001375,0.007257177
0.001487,0.01263777
0.001487,0.01460349
0.001487,0.01236829
0.001487,0.01212942
0.001487,0.01157612
0.001487,0.01172622
0.001487,0.007539125
0.001602,0.01265904
0.001602,0.01330718
0.001602,0.01252039
0.001602,0.01186171
0.001602,0.01190929
0.001602,0.01183729
0.001602,0.01173721
0.001602,0.007753608
0.001724,0.01267674
0.001724,0.01245641
0.001724,0.01255034
0.001724,0.01218441
0.001724,0.01209823
0.001724,0.006853376
0.001828,0.01252216
0.001828,0.01258667
0.001828,0.01205964
0.001828,0.01214592
0.001828,0.01240782
0.001828,0.0115501
0.001828,0.01158424
0.001828,0.007425695
0.00193,0.01286247
0.00193,0.01522193
0.00193,0.01240121
0.00193,0.01219054
0.00193,0.01143433
0.00193,0.01175769
0.00193,0.01121806
0.00193,0.01150174
0.00193,0.007621248
0.00204,0.01278982
0.00204,0.01418317
0.00204,0.01231118
0.00204,0.01198576
0.00204,0.0112646
0.00204,0.01138898
0.00204,0.00805002
0.002157,0.0128331
