time_or_frame,value
0,0
0.000104,48.0874
0.000213,42.9958
0.000315,38.85912
0.000435,37.42838
0.000554,36.60704
0.000675,35.73043
0.000794,35.29988
0.0009,34.68523
0.001016,34.56153
0.001125,34.04244
0.001257,34.62011
0.001375,33.70159
0.001487,33.9437
0.001602,34.37564
0.001724,34.85006
0.001828,33.90832
0.00193,34.08053
0.00204,34.12234
0.002157,33.70892
0.002265,33.17202
0.002379,33.20889
0.00248,33.42206
0.002581,33.31643
0.002685,33.66072
0.002795,34.255
0.002911,34.14509
0.003017,34.42199
0.003138,34.59028
0.003242,34.0962
0.003371,34.69434
0.003497,34.62998
0.003619,34.48981
0.003723,34.51033
0.003833,35.12238
0.003945,34.71752
0.004048,33.95046
0.00415,34.49434
0.004285,35.74648
0.004407,34.92797
0.004521,34.41592
0.004621,35.68484
0.004764,36.52543
0.004866,34.89148
0.004969,35.99173
0.005071,35.83027
0.005193,35.751
0.005295,36.00772
0.005398,36.15182
0.005508,36.16817
0.005624,36.58684
0.005742,36.52502
0.005842,36.14377
0.005946,36.69667
0.006049,43.07753
0.006168,41.86671
0.006285,41.08551
0.006425,41.89789
0.006549,40.44165
0.00665,41.72993
0.006758,38.35551
0.00687,36.06382
0.006977,37.71431
0.00708,35.84097
0.007201,35.52151
0.007302,34.87905
0.007418,41.7021
0.007519,35.60944
0.007625,40.39857
0.007742,38.8521
0.007858,34.16673
0.007967,33.29959
0.008099,33.78718
0.008201,32.11302
0.008317,31.35093
0.008419,31.66039
0.008553,31.95359
0.008656,30.70397
0.008767,30.66347
0.008883,29.86251
0.008989,29.08854
0.00909,27.96479
0.009197,27.09171
0.009315,26.44752
0.009419,24.77219
0.009524,23.58089
0.009636,22.49017
0.009749,21.44032
0.009863,20.58518
0.009964,19.45504
0.010067,18.65968
0.010206,17.94768
0.010318,16.52296
0.010442,16.39028
0.010548,16.65823
0.01065,17.22026
0.010754,17.21325
0.010868,16.72171
0.010968,17.78703
0.011083,17.74255
0.011191,17.04572
0.011295,17.08896
0.011422,18.05395
0.011522,18.7921
0.011631,19.15743
0.011764,17.94914
0.011867,18.86434
0.011967,19.17239
0.012068,18.52413
0.012186,19.12056
0.012286,20.76716
0.012407,20.16801
0.012516,21.46167
0.012681,22.5948
0.012783,21.45304
0.012906,21.58555
0.01304,20.86525
0.013146,20.35958
0.013258,21.15089
0.013358,22.59858
0.013481,21.35713
0.01361,23.88194
0.013727,24.36363
0.013832,24.01772
0.013967,26.12469
0.01407,26.3327
0.014173,25.81232
0.014274,25.13232
0.014375,24.5618
0.014489,23.95422
0.01459,24.16208
0.014694,24.26868
0.014801,24.51456
0.014922,24.73702
0.015022,25.06256
0.015124,24.91085
0.015233,25.56895
0.015352,26.06848
0.015476,26.48712
0.015584,25.40425
0.015685,25.31974
0.015788,25.18213
0.015902,25.36065
0.01601,25.27097
0.016127,26.67487
0.016228,28.45624
0.016328,28.20859
0.016451,28.8019
0.016551,27.13608
0.016659,25.68036
0.01676,26.56591
0.016868,25.7964
0.01697,31.95256
0.017095,28.09883
0.0172,27.1201
0.0173,26.46634
0.017416,32.73094
0.017519,24.10939
0.017638,23.66313
0.017763,28.55449
0.017866,22.17224
0.017968,24.21343
0.018075,24.7347
0.018176,20.68594
0.018307,21.89154
0.018408,20.0403
0.01851,17.87715
0.018618,17.95634
0.018741,15.95603
0.018855,16.07409
0.018967,17.14197
0.019075,17.36895
0.019192,15.77748
0.019315,14.38891
0.019416,14.24885
0.019532,14.73568
0.019632,15.26947
0.019763,14.40444
0.019882,14.47334
0.019988,21.47519
0.020138,14.86709
0.020275,17.19634
0.020376,14.15333
0.020517,15.37203
0.02064,16.3082
0.020776,15.33664
0.02088,16.89556
0.020991,15.30662
0.021092,15.37098
0.021206,15.95129
0.021329,16.07542
0.021446,16.44213
0.021572,16.54422
0.021703,16.81381
0.021815,16.55537
0.021943,17.28166
0.022051,20.35811
0.022171,19.87182
0.022287,18.38083
0.022387,20.26265
0.022496,19.04908
0.022602,18.67473
0.022716,17.5399
0.022848,18.09991
0.022954,17.46647
0.023055,19.43316
0.023169,19.98672
0.02328,19.5787
0.023418,19.97036
0.023518,20.56176
0.023645,21.19209
0.023759,21.70869
0.023891,21.8869
0.02401,22.03622
0.024127,22.26488
