time_or_frame,value
0,0
1,78026
2,57617
3,33975
4,19214
5,14725
6,13036
7,11013
8,10021
9,10388
10,800
11,911
12,772
13,838
14,476
15,635
16,588
17,737
18,716
19,660
20,273
21,396
22,449
23,562
24,271
25,667
26,291
27,308
28,284
29,561
30,567
31,166
32,468
33,295
34,172
35,191
36,707
38,426
40,378
41,594
42,301
43,493
44,310
45,601
46,182
47,378
48,202
49,182
50,311
51,208
52,304
53,323
54,370
55,314
56,194
57,213
58,184
59,373
61,218
62,323
63,197
64,385
65,201
66,192
67,195
68,389
69,194
70,205
71,196
72,205
73,200
74,199
75,196
76,191
77,386
78,202
79,188
80,373
81,206
82,187
84,221
85,308
86,485
87,287
88,1091
89,810
90,488
91,184
92,1156
93,1142
94,521
95,1097
96,302
97,598
98,604
99,928
100,299
101,593
102,710
103,833
104,543
105,617
106,323
107,899
108,451
109,1045
110,456
111,592
112,750
113,860
114,540
115,861
116,434
117,623
118,287
119,627
120,638
121,320
122,762
123,886
124,458
125,914
126,912
127,1032
128,576
129,1598
130,5219
131,5633
132,1981
133,860
134,850
135,421
136,821
137,915
138,1035
139,413
140,718
141,425
142,718
143,301
144,942
145,1114
146,611
147,799
148,674
149,394
150,768
151,727
152,265
153,650
154,780
155,279
156,759
157,270
158,574
159,353
160,282
161,455
162,268
163,764
164,1397
165,859
166,1684
167,1413
168,1095
169,881
170,756
171,272
172,620
173,257
174,608
175,268
176,675
177,415
178,953
179,429
180,738
181,310
182,738
183,425
184,309
185,300
186,680
187,783
188,1007
189,601
190,1008
191,608
192,189
193,524
194,542
195,208
196,357
197,360
198,206
199,203
200,225
201,205
202,199
203,222
204,230
205,198
206,211
208,617
209,416
211,229
212,393
213,213
215,219
216,186
217,391
219,224
220,207
221,211
222,206
223,214
224,202
225,195
226,194
227,219
228,192
229,188
230,206
231,188
232,367
233,187
234,200
235,395
237,221
238,196
239,369
241,348
