time_or_frame,value
0,0.2604628
0.000104,0.2720297
0.000213,0.2527743
0.000314,0.3020665
0.000435,0.2955386
0.000553,0.3017718
0.000674,0.2967799
0.000793,0.2543039
0.000894,0.3529506
0.001035,0.2879326
0.001151,0.3416326
0.001287,0.268443
0.001395,0.2612027
0.001499,0.2524778
0.0016,0.2736016
0.00171,0.276807
0.00182,0.2884485
0.001936,0.3355078
0.00207,0.2580836
0.002173,0.3483571
0.002312,0.3039711
0.002434,0.3508961
0.002574,0.2645419
0.00268,0.2656849
0.002787,0.2785727
0.002898,0.3269793
0.003029,0.272636
0.003138,0.3077107
0.003261,0.2736597
0.00337,0.3015767
0.003491,0.2873998
0.003606,0.2664651
0.003713,0.2635207
0.003818,0.3319353
0.003951,0.265473
0.004057,0.2584102
0.00416,0.2500898
0.00426,0.3726925
0.004409,0.2766594
0.00452,0.3324889
0.004653,0.3187969
0.004781,0.274794
0.00489,0.3003262
0.005011,0.3039327
0.005132,0.2774648
0.005243,0.2711747
0.005352,0.2802619
0.005464,0.3065959
0.005586,0.293055
0.005704,0.2532086
0.005805,0.3948202
0.005963,0.2952872
0.006081,0.2940777
0.006199,0.2506892
0.006299,0.3057718
0.006421,0.3048461
0.006543,0.2724683
0.006652,0.2701422
0.00676,0.2578194
0.006863,0.2536194
0.006965,0.2847379
0.007079,0.2688631
0.007186,0.2719101
0.007295,0.2656165
0.007401,0.2892745
0.007517,0.2555015
0.007619,0.2937109
0.007737,0.2607445
0.007841,0.2730839
0.00795,0.2990868
0.00807,0.3088516
0.008193,0.2630051
0.008298,0.2628236
0.008404,0.2595456
0.008507,0.278342
0.008619,0.2573599
0.008722,0.2585512
0.008825,0.3057645
0.008947,0.3327439
0.00908,0.2512158
0.009181,0.3373918
0.009316,0.2650885
0.009422,0.27816
0.009533,0.2700972
0.009641,0.2589188
0.009745,0.2666661
0.009851,0.2827523
0.009965,0.2527346
0.010066,0.2890752
0.010181,0.3422512
0.010318,0.266856
0.010425,0.2607585
0.010529,0.2569584
0.010632,0.2625171
0.010737,0.2678534
0.010844,0.296897
0.010963,0.2536589
0.011064,0.2675588
0.011171,0.2666105
0.011278,0.3040188
0.0114,0.2521364
0.011501,0.2505022
0.011601,0.2962666
0.011719,0.255372
0.011821,0.2547826
0.011923,0.269992
0.012031,0.3804125
0.012183,0.2506259
0.012284,0.2524197
0.012385,0.268126
0.012492,0.2530022
