time_or_frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0.000104,0
0.000104,0
0.000104,0
0.000104,0
0.000104,0
0.000213,0
0.000213,0
0.000213,0
0.000213,0
0.000213,0
0.000315,0
0.000315,0
0.000315,0
0.000315,0
0.000315,0
0.000315,0
0.000435,0
0.000435,0
0.000435,0
0.000435,0
0.000435,0
0.000435,0
0.000554,0
0.000554,0
0.000554,0
0.000554,0
0.000554,0
0.000554,0
0.000675,0
0.000675,0
0.000675,0
0.000675,0
0.000675,0
0.000675,0
0.00079,0
0.00079,0
0.00079,0
0.00079,0
0.00079,0
0.00079,0
0.00079,0
0.000896,0
0.000896,0
0.000896,0
0.000896,0
0.000896,0
0.000896,0
0.000896,0
0.000896,0
0.001044,0
0.001044,0
0.001044,0
0.001044,0
0.001044,0
0.001044,0
0.001044,0
0.001149,0
0.001149,0
0.001149,0
0.001149,0
0.001149,0
0.001149,0
0.001149,0
0.00127,0
0.00127,0
0.00127,0
0.00127,0
0.00127,0
0.00127,0
0.001383,0
0.001383,0
0.001383,0
0.001383,0
0.001383,0
0.001383,0
0.001383,0
0.001484,0
0.001484,0
0.001484,0
0.001484,0
0.001484,0
0.001484,0
0.001592,0
0.001592,0
0.001592,0
0.001592,0
0.001592,0
0.001592,0
0.001592,0
0.001592,0
0.001708,0
0.001708,0
0.001708,0
0.001708,0
0.001708,0
0.001708,0
0.001708,0
0.001708,0
0.001814,0
0.001814,0
0.001814,0
0.001814,0
0.001814,0
0.001814,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.001919,0
0.002041,0
0.002041,0
0.002041,0
0.002041,0
0.002041,0
0.002041,0
0.002041,0
0.002041,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002145,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002247,0
0.002367,0
0.002367,0
0.002367,0
0.002367,0
0.002367,4
0.002367,5
0.002367,5
0.002367,5
0.00247,5
0.00247,5
0.00247,5
0.00247,4
0.00247,4
0.00247,5
0.002579,5
0.002579,5
0.002579,5
0.002579,5
0.002579,8
0.002579,8
0.002579,8
0.002685,8
0.002685,12
0.002685,12
0.002685,13
0.002685,11
0.002685,12
0.002685,11
0.002685,11
0.00279,11
0.00279,11
0.00279,22
0.00279,23
0.00279,21
0.00279,21
0.00279,20
0.00279,20
0.00289,20
0.00289,19
0.00289,20
0.00289,22
0.00289,23
0.00289,26
0.00289,26
0.00289,35
0.003027,35
0.003027,35
0.003027,37
0.003027,37
0.003027,40
