time_or_frame,value
0,175
0.000104,153
0.000213,161
0.000315,207
0.000435,212
0.000554,215
0.000675,219
0.00079,257
0.000896,296
0.001044,255
0.001149,247
0.00127,205
0.001383,239
0.001484,203
0.001592,273
0.001708,265
0.001814,199
0.001919,304
0.002041,273
0.002145,309
0.002247,326
0.002367,273
0.00247,205
0.002579,243
0.002685,276
0.00279,295
0.00289,276
0.003027,241
0.003127,166
0.003229,209
0.003334,205
0.003451,210
0.003564,206
0.003666,249
0.003767,249
0.003872,284
0.003976,350
0.004081,258
0.004212,252
0.004326,292
0.004436,348
0.004577,499
0.004719,342
0.004862,257
0.004975,266
0.005096,253
0.005218,332
0.005319,343
0.005421,266
0.005521,292
0.005629,292
0.005742,295
0.005845,369
0.005969,255
0.0061,301
0.006263,185
0.006372,347
0.006502,385
0.006608,428
0.006711,349
0.006812,354
0.006915,398
0.007017,443
0.007119,438
0.00723,477
0.007336,442
0.007441,396
0.007546,438
0.007647,368
0.007753,405
0.007862,325
0.007965,360
0.008073,410
0.008177,371
0.008277,341
0.008377,383
0.008483,380
0.008603,506
0.00872,424
0.008827,428
0.008928,468
0.009028,521
0.009149,572
0.009261,570
0.009365,522
0.009477,527
0.00959,487
0.009701,521
0.009823,474
0.009937,569
0.010037,481
0.010146,488
0.010256,433
0.010362,520
0.010471,431
0.010577,550
0.010682,431
0.010796,612
0.010916,572
0.011032,604
0.011132,625
0.011281,663
0.011381,713
0.011513,758
0.011624,259
0.011731,809
0.011835,816
0.011938,577
0.012047,664
0.012154,350
0.012255,812
0.012356,566
0.012476,1241
0.012586,1078
0.012688,681
0.012791,670
0.012953,755
0.013053,851
0.013154,799
0.013281,849
0.013387,864
0.013492,739
0.01361,1076
0.013716,943
0.013823,782
0.013927,975
0.014078,803
0.014187,662
0.014293,800
0.014393,865
0.014494,1897
0.014619,1295
0.014719,639
0.01482,700
0.014926,751
0.015029,1171
0.01513,618
0.015233,1001
0.015365,1008
0.015466,946
0.015566,1042
0.015668,1219
0.015772,970
0.015889,718
0.015989,1297
0.016101,709
0.016232,644
0.016338,779
0.016452,1163
0.016552,928
0.016667,687
0.016772,1048
0.016874,804
0.016981,622
0.017097,926
0.017216,1025
0.017325,689
0.017426,979
0.017532,905
0.017654,731
0.017764,707
0.01788,597
0.017982,1011
0.018088,677
0.01819,438
0.018301,529
0.018409,469
0.018513,621
0.018621,615
0.018723,522
0.018848,432
0.018991,368
0.019103,406
0.019216,468
0.019375,422
0.019483,339
0.019604,470
0.019723,425
0.019854,462
0.019958,380
0.020109,465
0.020216,331
0.020331,289
0.020431,202
0.020558,366
0.020674,491
0.020795,368
0.020897,517
0.021086,368
0.021211,286
0.021314,371
0.021417,291
0.021555,324
0.021665,289
0.021787,285
0.021899,359
0.022002,410
0.022119,196
0.022223,246
0.022366,322
0.022481,326
0.022583,326
0.022684,327
0.022786,329
0.022904,199
0.023013,408
0.023156,492
0.023311,413
0.023444,411
0.023551,283
0.02367,240
0.02378,326
0.023884,466
0.024008,463
0.024115,301
0.024236,419
0.024341,387
0.024473,432
0.024654,379
0.024764,250
0.024872,330
0.024976,430
0.025099,379
0.0252,375
0.02532,388
0.025462,426
0.025573,398
0.025691,386
0.025793,432
0.025894,383
0.025995,354
0.0261,391
0.026208,446
0.026317,343
0.026418,338
0.026519,263
0.026623,481
0.026737,434
0.026849,291
0.02695,434
0.027056,300
0.027171,340
0.027272,403
0.027375,412
0.027501,435
0.027623,393
0.027725,410
0.027838,435
0.027959,297
0.02806,355
0.028173,308
0.028274,399
0.02838,355
0.028495,439
0.028602,400
0.028718,490
0.028842,403
0.028948,413
0.029069,357
0.029176,410
0.029285,315
0.02939,311
0.02951,222
0.029619,314
0.029722,315
0.029833,315
0.029947,273
0.030075,361
0.030194,226
0.030329,310
0.030432,398
0.030536,407
0.030643,168
0.030753,346
0.030886,393
0.031057,307
0.031197,386
0.031374,334
0.031487,340
0.031597,79
0.031703,377
0.031858,375
0.032006,205
0.032107,201
0.032217,376
0.032342,463
0.032443,251
0.032574,290
0.032675,250
0.032778,376
0.032901,294
0.033056,329
0.033163,248
0.033267,252
0.033403,305
0.033513,259
0.033616,357
0.033721,310
0.033845,309
0.033947,310
0.034056,308
0.034197,307
0.034303,268
0.034435,352
0.034578,352
0.034692,354
0.03482,214
0.034927,346
0.03507,253
0.03519,301
0.03529,219
0.035397,256
0.035535,305
0.03564,304
0.03574,266
0.035849,303
0.035992,392
0.036117,344
0.036238,212
0.036347,301
0.036449,266
0.036574,267
0.036709,267
0.03682,315
0.036921,318
0.037025,268
0.037133,264
0.037234,274
0.037369,360
0.037472,272
0.037573,272
0.037674,322
0.037799,368
0.037904,325
0.038006,319
0.038108,325
0.03822,272
0.038326,367
0.038459,321
0.038572,365
0.03869,364
0.038812,223
0.038925,319
0.039081,315
0.039194,364
0.039314,178
0.039425,322
0.039548,325
0.039675,313
0.039777,274
0.039898,266
0.040003,322
0.040108,322
0.040215,270
0.04037,317
0.040526,271
0.04069,268
0.04082,219
0.040929,266
0.041037,267
0.041188,351
0.041291,221
0.041404,211
0.04151,170
0.041617,302
0.041784,297
0.041935,297
0.042035,259
0.042159,257
0.042259,215
0.042381,172
0.042498,251
0.0426,258
0.042704,253
0.042842,251
0.042948,213
0.043078,207
0.043181,169
0.043289,255
0.043411,210
0.043525,160
0.043639,295
0.043759,167
0.04389,208
0.044004,254
0.044118,162
0.044232,295
0.044391,248
0.044492,251
0.044608,168
0.0448,296
0.044968,200
0.045077,164
0.04518,206
0.04535,205
0.045452,209
0.045558,157
0.045658,250
0.045845,198
0.045955,255
0.046063,253
0.046216,289
0.046351,162
0.046468,333
0.046713,243
0.046814,81
0.046928,199
0.04704,290
0.047189,117
0.0473,280
0.047417,203
0.047522,204
0.047662,197
0.047783,199
0.047894,75
0.048052,238
0.048193,157
0.048314,199
0.048464,202
0.048583,159
0.048721,200
0.048825,158
0.048944,240
0.049062,157
0.049176,200
0.049326,242
0.049508,235
0.049618,202
0.049732,243
0.049869,238
0.049979,239
0.050088,178
0.050211,177
0.050314,218
0.050453,175
0.050597,179
0.050739,103
0.050876,174
0.050997,141
0.051148,175
0.05126,174
0.051372,142
0.051514,171
0.051619,103
0.051727,137
0.051875,101
0.051986,104
0.052094,176
0.052257,100
0.052364,172
0.052471,138
0.052582,103
0.052701,138
0.052803,176
0.052934,175
0.053044,139
0.053192,177
0.053347,210
0.053495,176
0.05368,169
0.053791,209
0.053938,172
0.054081,98
0.054182,209
0.054285,66
0.054428,102
0.05456,101
0.054689,101
0.054814,165
0.054919,172
0.05503,171
0.055141,175
0.055243,207
0.055349,171
0.055463,67
0.055602,172
0.055737,206
0.055884,172
0.056003,137
0.05614,172
0.056317,169
0.056417,206
0.056526,100
0.056627,138
0.056743,207
0.056844,182
0.057143,134
0.057252,173
0.057387,170
0.05751,64
0.057616,168
0.057723,244
0.05784,103
0.057945,101
0.058097,98
0.058205,171
0.058371,101
0.058511,170
0.058634,135
0.058746,137
0.058861,170
0.059031,170
0.059165,170
0.059283,136
0.059386,173
0.059559,98
0.05967,169
0.059819,99
0.059931,168
0.060034,135
0.060137,172
0.060241,170
0.060357,175
0.060577,102
0.060703,131
0.06081,136
0.060979,163
0.061095,132
0.061255,174
0.061614,237
0.06179,172
0.061973,167
0.062098,210
0.062353,134
0.06246,165
0.06257,101
0.062671,205
0.062814,132
0.062956,99
0.063109,134
0.06324,200
0.06335,205
0.063527,169
0.063666,133
0.063777,133
0.063956,169
0.064085,132
0.064199,207
0.064388,98
0.064501,167
0.064684,165
0.064812,131
0.064936,167
0.065083,136
0.065316,163
0.065417,170
0.065599,96
0.065713,168
0.065884,164
0.066002,130
0.066111,135
0.066299,162
0.06645,164
0.066562,135
0.066795,152
0.066917,181
0.067028,92
0.067155,89
0.067287,89
0.067407,152
0.067507,156
0.06772,118
0.067826,149
0.067929,148
0.068042,126
0.068223,155
0.0684,89
0.068542,151
0.068734,150
0.06888,119
0.069001,120
0.069183,151
0.069307,119
0.069419,121
0.06955,150
0.069651,186
0.069793,118
0.069903,147
0.070007,188
0.070225,86
0.070333,155
0.070455,150
0.070561,190
0.070715,150
0.070824,92
0.070948,88
