time_or_frame,value
0,7
0,6
0,6
0,6
0,6
0,6
0.000104,6
0.000104,6
0.000104,6
0.000104,6
0.000104,6
0.000213,6
0.000213,6
0.000213,6
0.000213,6
0.000213,6
0.000315,6
0.000315,6
0.000315,6
0.000315,6
0.000315,6
0.000315,6
0.000436,6
0.000436,6
0.000436,6
0.000436,6
0.000436,6
0.000436,6
0.000554,6
0.000554,6
0.000554,7
0.000554,6
0.000554,6
0.000554,6
0.000676,6
0.000676,7
0.000676,6
0.000676,7
0.000676,6
0.000676,7
0.000794,6
0.000794,7
0.000794,6
0.000794,7
0.000794,7
0.000794,6
0.000794,7
0.000899,6
0.000899,7
0.000899,7
0.000899,6
0.000899,7
0.000899,7
0.000899,6
0.000899,7
0.001012,6
0.001012,7
0.001012,6
0.001012,7
0.001012,7
0.001012,7
0.001012,6
0.001128,6
0.001128,7
0.001128,7
0.001128,7
0.001128,7
0.001128,7
0.001128,6
0.001233,6
0.001233,7
0.001233,7
0.001233,7
0.001233,7
0.001233,7
0.001351,6
0.001351,7
0.001351,7
0.001351,7
0.001351,7
0.001351,7
0.001351,7
0.001466,6
0.001466,7
0.001466,7
0.001466,7
0.001466,7
0.001466,7
0.001466,7
0.001466,7
0.001575,6
0.001575,7
0.001575,7
0.001575,7
0.001575,7
0.001575,7
0.001575,7
0.001575,7
0.001686,6
0.001686,7
0.001686,7
0.001686,7
0.001686,7
0.001795,7
0.001795,7
0.001795,7
0.001795,7
0.001795,7
0.001795,7
0.001795,7
0.001795,7
0.001897,6
0.001897,7
0.001897,7
0.001897,7
0.001897,7
0.001897,7
0.001897,7
0.001897,7
0.002035,7
0.002035,7
0.002035,7
0.002035,7
0.002035,7
0.002035,7
0.002035,7
0.002035,7
0.002153,7
0.002153,7
0.002153,7
0.002153,7
0.002153,7
0.002153,7
0.002153,7
0.002283,7
0.002283,7
0.002283,7
0.002283,7
0.002283,7
0.002283,7
0.002283,7
0.002283,7
0.0024,7
0.0024,7
0.0024,7
0.0024,7
0.0024,7
0.0024,7
0.0024,7
0.0024,7
0.002514,7
0.002514,7
0.002514,7
0.002514,7
0.002514,7
0.002514,7
0.002514,7
0.002514,7
0.002622,7
0.002622,7
0.002622,7
0.002622,7
0.002622,7
0.002622,7
0.002725,7
0.002725,7
0.002725,7
0.002725,7
0.002725,7
0.002725,7
0.002842,7
0.002842,7
0.002842,7
0.002842,7
0.002842,7
0.002842,7
0.002947,7
0.002947,7
0.002947,7
0.002947,7
0.002947,7
0.002947,7
0.002947,7
0.003052,7
0.003052,7
0.003052,7
0.003052,7
0.003052,7
0.003052,7
0.003052,7
0.003172,7
0.003172,7
0.003172,7
0.003172,7
0.003172,7
0.003172,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003281,7
0.003397,7
0.003397,7
0.003397,7
0.003397,7
0.003397,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003499,7
0.003601,7
0.003601,7
0.003601,7
0.003601,7
0.003601,7
0.003601,7
0.003601,7
0.003601,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003708,7
0.003813,7
0.003813,7
0.003813,7
0.003813,7
0.003813,7
0.003913,7
0.003913,7
0.003913,7
0.003913,7
0.003913,7
0.003913,7
0.003913,7
0.003913,7
0.004024,7
0.004024,7
0.004024,7
0.004024,7
0.004024,7
0.004024,7
0.004143,7
0.004143,7
0.004143,7
0.004143,7
0.004143,7
0.004143,7
0.004143,7
0.004143,7
0.004257,7
0.004257,7
0.004257,7
0.004257,7
0.004257,7
0.004257,7
0.004257,7
0.004257,7
0.004379,7
0.004379,7
0.004379,7
0.004379,7
0.004379,7
0.004482,7
0.004482,7
0.004482,7
0.004482,7
0.004482,7
0.004482,7
0.004482,7
0.004482,7
0.004591,7
0.004591,7
0.004591,7
0.004591,7
0.004591,7
0.004591,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004701,7
0.004807,7
0.004807,7
0.004807,7
0.004807,7
0.004807,7
0.004807,7
0.004908,7
0.004908,7
0.004908,7
0.004908,7
0.004908,7
0.004908,7
0.004908,7
0.004908,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.00502,7
0.005135,7
0.005135,7
0.005135,7
0.005135,7
0.005135,7
0.005135,7
0.005135,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005245,7
0.005413,7
0.005413,7
0.005413,7
0.005413,7
0.005413,7
0.005413,7
0.005413,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.00553,7
0.005644,7
0.005644,7
0.005644,7
0.005644,7
0.005644,7
0.005644,7
0.005644,7
0.005644,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005751,7
0.005863,7
0.005863,7
0.005863,7
0.005863,7
0.005863,7
0.005863,7
0.005863,7
0.005863,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.006018,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.00613,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006257,7
0.006407,7
0.006407,7
0.006407,7
0.006407,7
0.006407,7
0.006407,7
0.006407,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006516,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006633,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.006746,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.00685,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.006958,7
0.00706,7
0.00706,7
0.00706,7
0.00706,7
0.00706,7
0.00706,7
0.00706,7
