time_or_frame,value
0,1
0,1
0,1
0,1
0,1
0,1
0.000104,1
0.000104,1
0.000104,1
0.000104,1
0.000104,1
0.000213,2
0.000213,2
0.000213,2
0.000213,2
0.000213,1
0.000315,2
0.000315,2
0.000315,2
0.000315,2
0.000315,2
0.000315,1
0.000436,2
0.000436,2
0.000436,2
0.000436,2
0.000436,2
0.000436,1
0.000554,2
0.000554,2
0.000554,2
0.000554,2
0.000554,2
0.000554,1
0.000676,2
0.000676,2
0.000676,2
0.000676,2
0.000676,2
0.000676,1
0.000794,2
0.000794,2
0.000794,2
0.000794,2
0.000794,2
0.000794,2
0.000794,1
0.000899,2
0.000899,2
0.000899,2
0.000899,2
0.000899,2
0.000899,2
0.000899,2
0.000899,1
0.001012,2
0.001012,2
0.001012,2
0.001012,2
0.001012,2
0.001012,2
0.001012,1
0.001128,2
0.001128,2
0.001128,2
0.001128,2
0.001128,2
0.001128,2
0.001128,1
0.001233,2
0.001233,2
0.001233,2
0.001233,2
0.001233,2
0.001233,1
0.001351,2
0.001351,2
0.001351,2
0.001351,2
0.001351,2
0.001351,2
0.001351,1
0.001466,2
0.001466,2
0.001466,2
0.001466,2
0.001466,2
0.001466,2
0.001466,2
0.001466,1
0.001575,2
0.001575,2
0.001575,2
0.001575,2
0.001575,2
0.001575,2
0.001575,2
0.001575,1
0.001686,2
0.001686,2
0.001686,2
0.001686,2
0.001686,1
0.001795,2
0.001795,2
0.001795,2
0.001795,2
0.001795,2
0.001795,2
0.001795,2
0.001795,1
0.001897,2
0.001897,2
0.001897,2
0.001897,2
0.001897,2
0.001897,2
0.001897,2
0.001897,1
0.002035,2
0.002035,2
0.002035,2
0.002035,2
0.002035,2
0.002035,2
0.002035,2
0.002035,1
0.002153,2
0.002153,2
0.002153,2
0.002153,2
0.002153,2
0.002153,2
0.002153,1
0.002283,2
0.002283,2
0.002283,2
0.002283,2
0.002283,2
0.002283,2
0.002283,2
0.002283,1
0.0024,2
0.0024,2
0.0024,2
0.0024,2
0.0024,2
0.0024,2
0.0024,2
0.0024,1
0.002514,2
0.002514,2
0.002514,2
0.002514,2
0.002514,2
0.002514,2
0.002514,2
0.002514,1
0.002622,2
0.002622,1
0.002622,1
0.002622,2
0.002622,2
0.002622,1
0.002725,2
0.002725,2
0.002725,2
0.002725,2
0.002725,2
0.002725,1
0.002842,2
0.002842,2
0.002842,2
0.002842,2
0.002842,2
0.002842,1
0.002947,2
0.002947,1
0.002947,2
0.002947,2
0.002947,2
0.002947,2
0.002947,2
0.003052,2
0.003052,1
0.003052,1
0.003052,2
0.003052,1
0.003052,2
0.003052,1
0.003172,2
0.003172,1
0.003172,2
0.003172,1
0.003172,1
0.003172,1
0.003281,2
0.003281,2
0.003281,1
0.003281,1
0.003281,1
0.003281,1
0.003281,1
0.003281,1
0.003281,1
0.003397,2
0.003397,2
0.003397,2
0.003397,2
0.003397,1
0.003499,2
0.003499,2
0.003499,2
0.003499,2
0.003499,1
0.003499,1
0.003499,1
0.003499,1
0.003499,1
0.003601,2
0.003601,2
0.003601,2
0.003601,2
0.003601,1
0.003601,1
0.003601,1
0.003601,1
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003708,2
0.003813,2
0.003813,2
0.003813,2
0.003813,2
0.003813,2
0.003913,2
0.003913,2
0.003913,2
0.003913,2
0.003913,2
0.003913,2
0.003913,2
0.003913,2
0.004024,2
0.004024,2
0.004024,2
0.004024,2
0.004024,2
0.004024,2
0.004143,2
0.004143,2
0.004143,2
0.004143,2
0.004143,2
0.004143,2
0.004143,2
0.004143,2
0.004257,2
0.004257,2
0.004257,2
0.004257,2
0.004257,2
0.004257,2
0.004257,2
0.004257,2
0.004379,2
0.004379,2
0.004379,2
0.004379,2
0.004379,2
0.004482,2
0.004482,2
0.004482,2
0.004482,2
0.004482,2
0.004482,2
0.004482,2
0.004482,2
0.004591,2
0.004591,2
0.004591,2
0.004591,2
0.004591,2
0.004591,2
0.004701,2
0.004701,2
0.004701,2
0.004701,2
0.004701,2
0.004701,2
0.004701,1
0.004701,2
0.004701,2
0.004807,2
0.004807,2
0.004807,2
0.004807,2
0.004807,2
0.004807,2
0.004908,2
0.004908,2
0.004908,2
0.004908,2
0.004908,2
0.004908,2
0.004908,2
0.004908,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.00502,2
0.005135,2
0.005135,2
0.005135,2
0.005135,2
0.005135,2
0.005135,2
0.005135,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005245,2
0.005413,2
0.005413,2
0.005413,2
0.005413,2
0.005413,2
0.005413,2
0.005413,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.00553,2
0.005644,2
0.005644,2
0.005644,2
0.005644,2
0.005644,2
0.005644,2
0.005644,2
0.005644,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005751,2
0.005863,2
0.005863,2
0.005863,2
0.005863,2
0.005863,2
0.005863,2
0.005863,2
0.005863,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.006018,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.00613,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006257,2
0.006407,2
0.006407,2
0.006407,2
0.006407,2
0.006407,2
0.006407,2
0.006407,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006516,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006633,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.006746,2
0.00685,2
0.00685,2
0.00685,2
0.00685,2
0.00685,2
0.00685,2
0.00685,2
0.00685,3
0.00685,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.006958,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.00706,2
0.007163,3
0.007163,2
0.007163,2
0.007163,3
0.007163,3
0.007163,2
0.007163,2
0.007163,2
0.007163,2
0.007163,2
0.007163,2
0.007264,2
0.007264,2
0.007264,2
0.007264,2
0.007264,2
0.007264,2
0.007264,2
0.007264,2
0.007264,3
0.007264,2
0.007264,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007376,2
0.007476,2
0.007476,3
0.007476,2
0.007476,2
0.007476,2
0.007476,2
0.007476,2
0.007476,2
0.007476,2
0.007476,3
0.007476,2
0.007581,3
0.007581,3
0.007581,4
0.007581,3
0.007581,2
0.007581,2
0.007581,3
0.007581,2
0.007581,2
0.007581,2
0.007687,3
0.007687,2
0.007687,2
0.007687,2
0.007687,2
0.007687,2
0.007687,3
0.007687,2
0.007687,2
0.007687,2
0.007806,2
0.007806,2
0.007806,2
0.007806,3
0.007806,2
0.007806,2
0.007806,2
0.007806,2
0.007806,2
0.007806,2
0.007806,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.007909,2
0.008012,3
0.008012,2
0.008012,2
0.008012,2
0.008012,2
0.008012,2
0.008012,2
0.008012,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008112,2
0.008229,2
0.008229,2
