frame,value
0,0
0.002027,3.135818
0.004624,5.046187
0.007522,5.019653
0.009589,4.859927
0.011793,5.149885
0.013603,4.642617
0.015796,4.509408
0.017801,4.691837
0.019921,4.307992
0.022114,4.166034
0.024191,4.539499
0.025951,3.997853
0.028022,4.112567
0.029978,5.170618
0.031858,4.150904
0.033815,3.535214
0.035965,3.489074
0.038219,3.343458
0.040118,3.09531
0.041931,3.057941
0.043682,3.089175
0.045544,2.849506
0.04742,2.800332
0.049238,3.280688
0.051009,3.220294
0.052792,2.923073
0.054572,2.662416
0.05659,2.78335
0.058772,3.036049
0.060615,3.067343
0.062585,2.930091
0.064354,3.469542
0.066512,3.458648
0.068337,3.42798
0.070183,3.490299
0.072079,3.379928
0.074183,3.469888
0.075988,3.430499
0.077946,3.555058
0.079724,3.460485
0.081818,3.823685
0.08364,3.957268
0.085488,3.417991
0.087311,3.293215
0.089317,3.462172
0.091337,3.604322
0.093294,3.74712
0.095061,3.778861
0.096958,3.826187
0.09892,3.836279
0.100912,3.970968
0.102664,4.516603
0.104418,4.512766
0.106276,4.780021
0.108275,5.04179
0.110131,5.402546
0.112092,5.562767
0.11395,5.706947
0.115814,5.854819
0.117784,5.972873
0.119551,5.734221
0.121371,5.945074
0.123183,6.123983
0.125096,6.013436
0.126851,5.911302
0.128677,5.556172
0.130655,5.061208
0.132444,4.391691
0.134293,3.849699
0.136275,3.208447
0.138026,2.907738
0.139794,2.930337
0.141628,3.189544
0.14349,3.078291
0.145245,3.065015
0.147172,3.124243
0.149103,2.695199
0.151039,2.399362
0.16182,1.649676
0.172731,1.43083
0.183996,1.349709
0.194106,1.216766
0.204711,1.046576
0.214729,1.040738
0.225217,0.8409048
0.235572,0.8960865
0.245672,0.8770688
0.256827,0.8444201
0.267248,0.8500634
0.279391,0.8833847
0.290286,0.897007
0.30264,0.884487
0.312791,0.8997834
0.323572,0.8402052
0.333597,0.7792807
0.343734,0.7698091
0.353854,0.7518768
0.363874,0.7511845
0.374365,0.7591711
0.384498,0.8375708
0.394548,0.8628926
0.404553,0.8644741
0.416061,0.8274724
0.426499,0.760663
0.437311,0.7166436
0.44742,0.6687969
0.4578,0.5818806
0.467966,0.5407689
0.47824,0.6674515
0.488319,0.5028412
0.498359,1.067698
0.508825,0.7096521
0.519051,0.9497558
0.529689,0.787482
0.539692,0.9468194
0.550223,0.6348685
0.561213,0.7314475
0.571754,0.8876672
0.582413,0.7736374
0.593554,0.8795418
0.603955,0.8267968
0.616017,1.0261
0.628426,0.6617162
0.640411,0.6454399
0.650629,0.6121785
0.664973,0.4920216
0.679242,0.4598971
0.690393,0.4721992
0.703075,0.4431171
0.713407,0.5434538
0.725018,0.472012
0.737916,0.4837303
0.749681,0.4914358
0.760153,0.5516234
0.772539,0.547275
0.783891,0.5694041
0.796463,0.6281251
0.808137,0.571253
0.818444,0.5814682
0.828626,0.5892344
0.839979,0.5433046
0.851925,0.546348
0.862333,0.6959402
0.873908,0.5929819
0.884281,0.5754293
0.896008,0.4341232
0.906519,0.4327178
0.91688,0.4507652
0.927231,0.4364205
0.938835,0.3943593
0.952379,0.3554268
0.963129,0.3193391
0.973368,0.2776191
0.983456,0.2695464
1.00429,0.2780015
1.017903,0.2826043
