frame,value
0,150
0,175
0,128
0.001123,180
0.001123,138
0.002407,189
0.002407,144
0.003846,191
0.003846,137
0.005224,193
0.005224,141
0.006566,198
0.006566,169
0.008559,189
0.008559,115
0.009607,194
0.009607,139
0.011049,185
0.011049,115
0.01207,189
0.01207,102
0.01293,184
0.01293,116
0.014008,187
0.014008,118
0.01507,185
0.01507,118
0.016193,183
0.016193,96
0.016986,180
0.016986,111
0.018111,180
0.018111,111
0.019112,179
0.019112,76
0.01973,179
0.01973,151
0.021433,173
0.021433,169
0.021433,117
0.022661,174
0.022661,152
0.024456,174
0.024456,68
0.024967,178
0.024967,93
0.025734,175
0.025734,91
0.026521,179
0.026521,82
0.027157,177
0.027157,89
0.027913,179
0.027913,131
0.029136,174
0.029136,86
0.029846,179
0.029846,106
0.030748,175
0.030748,85
0.031433,181
0.031433,109
0.032364,173
0.032364,99
0.033216,178
0.033216,82
0.033821,176
0.033821,92
0.034594,179
0.034594,94
0.035314,178
0.035314,124
0.036695,179
0.036695,74
0.037253,184
0.037253,115
0.038399,175
0.038399,74
0.038958,181
0.038958,102
0.039931,177
0.039931,100
0.040834,179
0.040834,71
0.041383,180
0.041383,99
0.042294,181
0.042294,94
0.043018,181
0.043018,121
0.0442,178
0.0442,178
0.0442,90
0.044979,189
0.044979,187
0.044979,117
0.046218,177
0.046218,178
0.046218,89
0.046939,186
0.046939,84
0.047635,182
0.047635,84
0.048424,182
0.048424,107
0.049301,179
0.049301,118
0.050486,182
0.050486,178
0.050486,82
0.051141,199
0.051141,190
0.051141,115
0.052296,178
0.052296,99
0.053072,183
0.053072,100
0.053864,181
0.053864,114
0.054909,178
0.054909,179
0.054909,79
0.055538,197
0.055538,189
0.055538,186
0.055538,88
0.056224,198
0.056224,187
0.056224,105
0.057209,182
0.057209,102
0.057879,182
0.057879,93
0.058658,183
0.058658,117
0.059686,181
0.059686,182
0.059686,77
0.060289,195
0.060289,191
0.060289,89
0.060879,187
0.060879,87
0.061521,183
0.061521,78
0.062087,185
0.062087,100
0.062769,181
0.062769,82
0.063288,181
0.063288,94
0.063901,179
0.063901,110
0.064678,177
0.064678,183
0.064678,78
0.065261,179
0.065261,179
0.065261,76
0.06586,177
0.06586,180
0.06586,75
0.066421,180
0.066421,182
0.066421,82
0.067097,179
0.067097,177
0.067097,72
0.067644,182
0.067644,181
0.067644,179
0.067644,78
0.068247,186
0.068247,183
0.068247,179
0.068247,79
0.068852,188
0.068852,181
0.068852,184
0.068852,84
0.069507,182
0.069507,177
0.069507,176
0.069507,81
0.070135,182
0.070135,181
0.070135,177
0.070135,82
0.070777,182
0.070777,181
0.070777,179
0.070777,81
0.071417,183
0.071417,177
0.071417,174
0.071417,79
0.072014,182
0.072014,179
0.072014,110
0.072826,171
0.072826,171
0.072826,75
0.073382,180
0.073382,179
0.073382,111
0.074226,172
0.074226,84
0.074877,172
0.074877,171
0.074877,72
0.075402,180
0.075402,171
0.075402,94
0.076207,171
0.076207,115
0.077055,171
0.077055,172
0.077055,72
0.077575,179
0.077575,175
0.077575,73
0.078115,173
0.078115,100
0.078774,170
0.078774,112
0.079747,170
0.079747,94
0.080355,170
0.080355,111
0.081348,172
0.081348,176
0.081348,90
0.081983,175
0.081983,175
0.081983,74
0.082534,181
0.082534,174
0.082534,83
0.083194,174
0.083194,173
0.083194,78
0.083792,181
0.083792,176
0.083792,95
0.084567,173
0.084567,92
0.085319,173
0.085319,86
0.085923,174
0.085923,86
0.086599,174
0.086599,173
0.086599,74
0.087156,176
0.087156,175
0.087156,82
0.087791,172
0.087791,88
0.088472,177
0.088472,78
0.089013,173
0.089013,81
0.089536,171
0.089536,99
0.090329,171
0.090329,101
0.091077,170
0.091077,170
0.091077,75
0.091647,178
0.091647,172
0.091647,102
0.092294,170
0.092294,172
0.092294,172
0.092294,96
0.093101,167
0.093101,170
0.093101,167
0.093101,158
0.094179,166
0.094179,168
0.094179,170
0.094179,72
0.094713,176
0.094713,171
0.094713,173
0.094713,171
0.094713,112
0.095376,166
0.095376,118
0.096106,163
0.096106,165
0.096106,184
0.096106,75
0.096614,192
0.096614,166
0.096614,164
0.096614,168
0.096614,92
0.09721,162
0.09721,123
0.09815,164
0.09815,163
0.09815,168
0.09815,163
0.09815,145
0.099088,162
0.099088,163
0.099088,166
0.099088,169
0.099088,80
0.099611,170
0.099611,164
0.099611,165
0.099611,113
0.10013,162
0.10013,167
0.10013,158
0.10013,125
0.100885,160
0.100885,163
0.100885,165
0.100885,162
0.100885,113
0.10152,159
0.10152,147
0.102271,158
0.102271,159
0.102271,116
0.10285,158
0.10285,156
0.10285,158
0.10285,107
0.103556,157
0.103556,161
0.103556,158
0.103556,152
0.104552,161
0.104552,161
0.104552,162
0.104552,165
0.104552,94
0.105146,160
0.105146,187
0.105146,69
0.105686,164
0.105686,160
0.105686,160
0.105686,100
0.106232,159
0.106232,125
0.106872,159
0.106872,161
0.106872,164
0.106872,166
0.106872,148
0.108181,163
0.108181,161
0.108181,162
0.108181,162
0.108181,166
0.108181,124
0.109224,163
0.109224,162
0.109224,162
0.109224,95
0.109777,160
0.109777,166
0.109777,161
0.109777,100
0.110398,161
0.110398,168
0.110398,162
0.110398,104
0.111041,161
0.111041,161
0.111041,162
0.111041,116
0.111761,159
0.111761,159
0.111761,161
0.111761,117
0.112517,159
0.112517,160
0.112517,164
0.112517,167
0.112517,84
0.113089,152
0.113089,155
0.113089,107
0.113593,155
0.113593,156
0.113593,159
0.113593,101
0.114219,157
0.114219,160
0.114219,160
0.114219,103
0.115024,158
0.115024,157
0.115024,160
0.115024,106
0.115604,157
0.115604,158
0.115604,160
0.115604,113
0.116336,158
0.116336,158
0.116336,161
0.116336,117
0.116988,158
0.116988,160
0.116988,160
0.116988,96
0.117691,158
0.117691,163
0.117691,66
0.11821,154
0.11821,156
0.11821,158
0.11821,161
0.11821,131
0.119025,157
0.119025,157
0.119025,160
0.119025,161
0.119025,142
0.12034,158
0.12034,158
0.12034,158
0.12034,160
0.12034,125
0.121155,157
0.121155,157
0.121155,161
0.121155,161
0.121155,126
0.122436,157
0.122436,156
0.122436,158
0.122436,159
0.122436,125
0.123378,156
0.123378,157
0.123378,100
0.123953,155
0.123953,161
0.123953,159
0.123953,143
0.124891,156
0.124891,158
0.124891,157
0.124891,162
0.124891,77
0.125468,153
0.125468,153
0.125468,140
0.126434,154
0.126434,157
0.126434,91
0.126982,156
0.126982,157
0.126982,162
0.126982,64
0.127492,166
0.127492,155
0.127492,155
0.127492,113
0.128016,151
0.128016,152
0.128016,153
0.128016,104
0.128784,148
0.128784,147
0.128784,151
0.128784,98
0.12941,147
0.12941,150
0.12941,150
0.12941,114
0.130347,153
0.130347,151
0.130347,157
0.130347,158
0.130347,149
0.13155,154
0.13155,152
0.13155,114
0.132202,150
0.132202,152
0.132202,157
0.132202,160
0.132202,97
0.132844,151
0.132844,112
0.133502,151
0.133502,155
0.133502,159
0.133502,160
0.133502,108
0.134292,154
0.134292,158
0.134292,65
0.134824,156
0.134824,154
0.134824,156
0.134824,157
0.134824,117
0.135557,151
0.135557,88
0.136269,149
0.136269,150
0.136269,152
0.136269,72
0.136793,151
0.136793,151
0.136793,162
0.136793,64
0.137327,151
0.137327,151
0.137327,95
0.137955,149
0.137955,150
0.137955,66
0.138477,159
0.138477,157
0.138477,158
0.138477,157
0.138477,101
0.139038,153
0.139038,91
0.139666,151
0.139666,151
0.139666,154
0.139666,157
0.139666,104
0.140354,150
0.140354,96
0.14092,150
0.14092,161
0.14092,153
0.14092,113
0.141907,148
0.141907,148
0.141907,153
0.141907,125
0.14265,147
0.14265,153
0.14265,64
0.143153,150
0.143153,150
0.143153,111
0.14373,149
0.14373,150
0.14373,154
0.14373,95
0.14441,148
0.14441,149
0.14441,67
0.144957,156
0.144957,150
0.144957,88
0.145536,149
0.145536,150
0.145536,154
0.145536,117
0.146328,148
0.146328,85
0.146966,148
0.146966,149
0.146966,154
0.146966,99
0.147595,148
0.147595,93
0.148142,148
0.148142,148
0.148142,154
0.148142,94
0.148901,148
0.148901,155
0.148901,155
0.148901,80
0.149528,148
0.149528,160
0.149528,155
0.149528,92
0.15024,148
0.15024,176
0.15024,154
0.15024,93
0.150935,148
0.150935,80
0.15144,148
0.15144,148
0.15144,156
0.15144,90
0.152323,146
0.152323,146
0.152323,151
0.152323,76
0.15287,146
0.15287,120
0.153449,146
0.153449,146
0.153449,154
0.153449,111
0.154122,146
0.154122,109
0.154798,146
0.154798,147
0.154798,152
0.154798,96
0.155397,144
0.155397,147
0.155397,150
0.155397,98
0.156318,142
0.156318,142
0.156318,157
0.156318,65
0.156841,144
0.156841,143
0.156841,144
0.156841,149
0.156841,132
0.157791,140
0.157791,144
0.157791,145
0.157791,114
0.158481,140
0.158481,153
0.158481,62
0.158987,142
0.158987,142
0.158987,108
0.159824,140
0.159824,140
0.159824,147
0.159824,67
0.160341,168
0.160341,144
0.160341,144
0.160341,106
0.160887,140
0.160887,82
0.161429,139
0.161429,142
0.161429,147
0.161429,103
0.162119,138
0.162119,149
0.162119,63
0.162648,138
0.162648,138
0.162648,106
0.16331,137
0.16331,137
0.16331,145
0.16331,77
0.163837,136
0.163837,136
0.163837,142
0.163837,147
0.163837,134
0.164786,136
0.164786,136
0.164786,142
0.164786,68
0.165311,136
0.165311,136
0.165311,143
0.165311,103
0.166399,136
0.166399,135
0.166399,85
0.166983,136
0.166983,158
0.166983,63
0.167494,134
0.167494,136
0.167494,149
0.167494,64
0.168037,138
0.168037,137
0.168037,142
0.168037,60
0.168569,139
0.168569,138
0.168569,99
0.169308,134
0.169308,132
0.169308,140
0.169308,75
0.169867,132
0.169867,142
0.169867,140
0.169867,111
0.170757,133
0.170757,132
0.170757,138
0.170757,75
0.171305,136
0.171305,131
0.171305,139
0.171305,142
0.171305,107
0.172087,132
0.172087,164
0.172087,140
0.172087,102
0.173003,131
0.173003,133
0.173003,138
0.173003,83
0.173607,130
0.173607,143
0.173607,139
0.173607,152
0.174981,130
0.174981,130
0.174981,148
0.176093,133
0.176093,134
0.176093,137
0.176093,71
0.176677,138
0.176677,128
0.176677,134
0.176677,64
0.177188,156
0.177188,134
0.177188,139
0.177188,65
0.177696,141
0.177696,134
0.177696,133
0.177696,64
0.17823,154
0.17823,135
0.17823,140
0.17823,78
0.178738,132
0.178738,132
0.178738,134
0.178738,59
0.179252,162
0.179252,135
0.179252,143
0.179252,135
0.179252,77
0.179847,151
0.179847,133
0.179847,135
0.179847,136
0.179847,72
0.180447,155
0.180447,132
0.180447,134
0.180447,135
0.180447,130
0.181511,127
0.181511,129
0.181511,132
0.181511,86
0.182142,124
0.182142,88
0.182654,121
0.182654,131
0.182654,133
0.182654,119
0.183584,121
0.183584,134
0.183584,74
0.184132,124
0.184132,125
0.184132,147
0.184132,58
0.184638,134
0.184638,131
0.184638,67
0.185187,129
0.185187,131
0.185187,133
0.185187,134
0.186366,122
0.186366,126
0.186366,143
0.186366,63
0.186932,129
0.186932,130
0.186932,101
0.187599,126
0.187599,153
0.187599,133
0.187599,117
0.188701,123
0.188701,127
0.188701,131
0.188701,78
0.189322,122
0.189322,151
0.189322,131
0.189322,95
0.190118,121
0.190118,127
0.190118,131
0.190118,103
0.191173,121
0.191173,124
0.191173,129
0.191173,65
0.191739,121
0.191739,124
0.191739,129
0.191739,67
0.192281,121
0.192281,125
0.192281,129
0.192281,105
0.193094,121
0.193094,68
0.193599,119
0.193599,131
0.193599,129
0.193599,119
0.194652,121
0.194652,135
0.194652,74
0.195162,126
0.195162,124
0.195162,115
0.196111,117
0.196111,125
0.196111,94
0.196756,120
0.196756,105
0.197614,116
0.197614,126
0.197614,128
0.197614,88
0.198489,120
0.198489,69
0.199021,118
0.199021,130
0.199021,61
0.199572,125
0.199572,124
0.199572,127
0.199572,61
0.200114,132
0.200114,125
0.200114,128
0.200114,68
0.20062,125
0.20062,126
0.20062,121
0.201559,120
0.201559,125
0.201559,128
0.201559,64
0.202167,129
0.202167,125
0.202167,87
0.202704,123
0.202704,93
0.203232,121
0.203232,127
0.203232,129
0.203232,131
0.204517,118
0.204517,122
0.204517,83
0.20513,117
0.20513,89
0.205779,117
0.205779,126
0.205779,128
0.205779,124
0.206834,120
0.206834,129
0.206834,69
0.207413,125
0.207413,123
0.207413,122
0.20862,115
0.20862,126
0.20862,61
0.209145,142
0.209145,124
0.209145,113
0.210446,115
0.210446,154
0.210446,128
0.210446,128
0.211415,119
0.211415,84
0.212146,116
0.212146,124
0.212146,127
0.212146,97
0.212946,120
0.212946,87
0.213734,116
0.213734,125
0.213734,128
0.213734,122
0.214815,119
0.214815,124
0.214815,128
0.214815,67
0.215416,125
0.215416,125
0.215416,84
0.216125,122
