frame,value
0,0.002
0.000723,0.002
0.002256,0.002
0.003638,0.002
0.005353,0.002
0.007353,0.002
0.009238,0.002
0.010978,0.002
0.011675,0.002
0.012304,0.002
0.013675,0.002
0.014438,0.002
0.015787,0.002
0.016538,0.002
0.017206,0.002
0.01882,0.002
0.019459,0.002
0.020488,0.002
0.021401,0.002
0.02217,0.002
0.023136,0.002
0.024569,0.002
0.025088,0.002
0.026646,0.002
0.027155,0.002
0.028443,0.002
0.029251,0.002
0.030591,0.002
0.032227,0.002
0.033606,0.002
0.034977,0.002
0.035911,0.002
0.037383,0.002
0.038185,0.002
0.038911,0.002
0.040087,0.002
0.041054,0.002
0.041803,0.002
0.042974,0.002
0.043974,0.002
0.044574,0.002
0.045207,0.002
0.046092,0.002
0.047114,0.002
0.047947,0.002
0.048926,0.002
0.049899,0.002
0.050906,0.002
0.051612,0.002
0.052438,0.002
0.053406,0.002
0.054634,0.002
0.055331,0.002
0.055915,0.002
0.05671,0.002
0.057617,0.002
0.058301,0.002
0.059091,0.002
0.059915,0.002
0.060757,0.002
0.061413,0.002
0.061986,0.002
0.062592,0.002
0.063114,0.002
0.063694,0.002
0.064529,0.002
0.065623,0.002
0.066709,0.002
0.067846,0.002
0.068483,0.002
0.069117,0.002
0.069865,0.002
0.070497,0.002
0.071135,0.002
0.071736,0.002
0.072293,0.002
0.072912,0.002
0.073468,0.002
0.074175,0.002
0.074856,0.002
0.075389,0.002
0.075899,0.002
0.076559,0.002
0.077085,0.002
0.077699,0.002
0.078676,0.002
0.079328,0.002
0.079915,0.002
0.080526,0.002
0.081445,0.002
0.082269,0.002
0.082847,0.002
0.083394,0.002
0.084001,0.002
0.084798,0.002
0.085422,0.002
0.086,0.002
0.086854,0.002
0.087426,0.002
0.088292,0.002
0.088941,0.002
0.089716,0.002
0.09047,0.002
0.091319,0.002
0.091965,0.002
0.092469,0.002
0.093252,0.002
0.094022,0.002
0.094892,0.002
0.09552,0.002
0.096226,0.002
0.097003,0.002
0.097744,0.002
0.098497,0.002
0.099325,0.002
0.100442,0.002
0.1012,0.002
0.10178,0.002
0.102895,0.002
0.103409,0.002
0.104715,0.002
0.105243,0.002
0.106283,0.002
0.10682,0.002
0.107479,0.002
0.108253,0.002
0.10877,0.002
0.109847,0.002
0.110424,0.002
0.111319,0.002
0.111923,0.002
0.112701,0.002
0.113425,0.002
0.114145,0.002
0.114651,0.002
0.115248,0.002
0.116005,0.002
0.116694,0.002
0.117225,0.002
0.117768,0.002
0.118279,0.002
0.118784,0.002
0.119443,0.002
0.120229,0.002
0.12093,0.002
0.1216,0.002
0.122125,0.002
0.122815,0.002
0.123321,0.002
0.123854,0.002
0.124583,0.002
0.125096,0.002
0.125977,0.002
0.126627,0.002
0.127291,0.002
0.127842,0.002
0.128357,0.002
0.129086,0.002
0.129611,0.002
0.130672,0.002
0.131241,0.002
0.131888,0.002
0.132443,0.002
0.13345,0.002
0.133971,0.002
0.134535,0.002
0.135081,0.002
0.135623,0.002
0.136685,0.002
0.137186,0.002
0.138082,0.002
0.138741,0.002
0.139394,0.002
0.14015,0.002
0.140831,0.002
0.141673,0.002
0.142312,0.002
0.142836,0.002
0.143556,0.002
0.14411,0.002
0.144631,0.002
0.145146,0.002
0.145767,0.002
0.146507,0.002
0.147263,0.002
0.147959,0.002
0.148784,0.002
0.149338,0.002
0.150225,0.002
0.150752,0.002
0.151625,0.002
0.152174,0.002
0.152745,0.002
0.153688,0.002
0.154244,0.002
0.154761,0.002
0.155701,0.002
0.156607,0.002
0.157549,0.002
0.158169,0.002
0.159364,0.002
0.159906,0.002
0.160522,0.002
0.161097,0.002
0.161616,0.002
0.162121,0.002
0.163244,0.002
0.16415,0.002
0.16488,0.002
0.16587,0.002
0.166384,0.002
0.166996,0.002
0.168031,0.002
0.16867,0.002
0.169801,0.002
0.170368,0.002
0.17106,0.002
0.171616,0.002
0.172248,0.002
0.173034,0.002
0.173586,0.002
0.174136,0.002
0.174691,0.002
0.175328,0.002
0.175999,0.002
0.176502,0.002
0.17704,0.002
0.177558,0.002
0.178062,0.002
0.178649,0.002
0.179319,0.002
0.179888,0.002
0.180456,0.002
0.180986,0.002
0.181558,0.002
0.182067,0.002
0.182615,0.002
0.183177,0.002
0.183681,0.002
0.184224,0.002
0.184752,0.002
0.185328,0.002
0.185893,0.002
0.186476,0.002
0.187062,0.002
0.187773,0.002
0.188638,0.002
0.189363,0.002
0.190066,0.002
0.190903,0.002
0.191441,0.002
0.192099,0.002
0.192847,0.002
0.193574,0.002
0.194119,0.002
0.194768,0.002
