frame,value
0,1
0.000723,1
0.002256,1
0.003638,1
0.005353,1
0.007353,1
0.009238,1
0.010978,1
0.011675,1
0.012304,1
0.013675,1
0.014438,1
0.015787,1
0.016538,1
0.017206,1
0.01882,1
0.019459,2
0.020488,2
0.021401,1
0.02217,1
0.023136,1
0.024569,1
0.025088,1
0.026646,1
0.027155,1
0.028443,1
0.029251,1
0.030591,1
0.032227,1
0.033606,1
0.034977,1
0.035911,1
0.037383,2
0.038185,1
0.038911,1
0.040087,1
0.041054,1
0.041803,1
0.042974,1
0.043974,2
0.044574,2
0.045207,1
0.046092,1
0.047114,1
0.047947,1
0.048926,1
0.049899,1
0.050906,1
0.051612,1
0.052438,1
0.053406,1
0.054634,1
0.055331,2
0.055915,2
0.05671,1
0.057617,1
0.058301,1
0.059091,1
0.059915,1
0.060757,2
0.061413,2
0.061986,2
0.062592,1
0.063114,1
0.063694,1
0.064529,1
0.065623,1
0.066709,1
0.067846,1
0.068483,2
0.069117,2
0.069865,1
0.070497,2
0.071135,2
0.071736,2
0.072293,2
0.072912,2
0.073468,3
0.074175,3
0.074856,2
0.075389,2
0.075899,3
0.076559,2
0.077085,2
0.077699,2
0.078676,1
0.079328,2
0.079915,2
0.080526,2
0.081445,2
0.082269,2
0.082847,2
0.083394,2
0.084001,2
0.084798,1
0.085422,2
0.086,2
0.086854,1
0.087426,1
0.088292,1
0.088941,1
0.089716,1
0.09047,1
0.091319,1
0.091965,1
0.092469,1
0.093252,1
0.094022,1
0.094892,1
0.09552,1
0.096226,1
0.097003,1
0.097744,1
0.098497,1
0.099325,1
0.100442,3
0.1012,1
0.10178,3
0.102895,2
0.103409,3
0.104715,2
0.105243,3
0.106283,2
0.10682,4
0.107479,3
0.108253,2
0.10877,4
0.109847,1
0.110424,3
0.111319,3
0.111923,3
0.112701,3
0.113425,3
0.114145,2
0.114651,2
0.115248,3
0.116005,3
0.116694,2
0.117225,3
0.117768,3
0.118279,3
0.118784,2
0.119443,3
0.120229,3
0.12093,1
0.1216,3
0.122125,2
0.122815,3
0.123321,2
0.123854,1
0.124583,3
0.125096,2
0.125977,2
0.126627,1
0.127291,2
0.127842,3
0.128357,4
0.129086,1
0.129611,3
0.130672,3
0.131241,4
0.131888,1
0.132443,3
0.13345,3
0.133971,2
0.134535,3
0.135081,3
0.135623,3
0.136685,2
0.137186,1
0.138082,3
0.138741,1
0.139394,1
0.14015,1
0.140831,3
0.141673,3
0.142312,1
0.142836,3
0.143556,2
0.14411,3
0.144631,3
0.145146,2
0.145767,3
0.146507,1
0.147263,3
0.147959,3
0.148784,1
0.149338,3
0.150225,2
0.150752,4
0.151625,2
0.152174,4
0.152745,2
0.153688,3
0.154244,2
0.154761,3
0.155701,3
0.156607,3
0.157549,3
0.158169,3
0.159364,2
0.159906,3
0.160522,1
0.161097,1
0.161616,1
0.162121,3
0.163244,3
0.16415,1
0.16488,3
0.16587,2
0.166384,1
0.166996,3
0.168031,3
0.16867,3
0.169801,1
0.170368,1
0.17106,1
0.171616,1
0.172248,3
0.173034,2
0.173586,3
0.174136,3
0.174691,2
0.175328,1
0.175999,1
0.176502,1
0.17704,2
0.177558,2
0.178062,1
0.178649,3
0.179319,2
0.179888,2
0.180456,2
0.180986,2
0.181558,1
0.182067,2
0.182615,2
0.183177,1
0.183681,2
0.184224,2
0.184752,1
0.185328,2
0.185893,3
0.186476,2
0.187062,1
0.187773,3
0.188638,1
0.189363,1
0.190066,3
0.190903,1
0.191441,1
0.192099,3
0.192847,1
0.193574,2
0.194119,2
0.194768,1
0.195511,2
0.196025,2
0.196868,2
0.197483,3
0.198091,2
0.198901,1
0.19941,2
0.199993,2
0.200581,2
0.201158,3
0.201739,2
0.202726,1
0.203498,3
0.204344,1
0.205284,1
0.2059,3
0.206595,3
0.207195,2
0.207966,1
0.208632,1
0.209153,1
0.209771,1
0.210279,1
0.210791,1
0.211317,1
0.212075,2
0.212652,2
0.213297,2
0.213805,2
0.214644,1
0.215157,1
0.215774,1
0.216315,1
0.216837,1
0.217389,1
0.218137,2
0.218734,2
0.21953,2
0.220077,2
0.220688,1
0.22142,1
0.222496,2
0.223111,2
0.223915,1
0.224811,2
0.225379,2
0.226248,2
0.226825,2
0.227941,1
0.228494,2
0.22902,2
0.230097,1
0.23083,1
0.231592,1
0.232299,1
0.233066,1
0.233829,1
0.234355,1
0.235143,1
0.235648,1
0.23621,1
0.237034,1
0.237725,1
0.238408,1
0.239152,1
0.239799,1
0.240496,1
0.241095,1
0.241989,1
0.242504,1
0.243055,1
0.243729,1
0.244236,1
0.244928,1
0.245619,1
0.246262,1
0.247193,1
0.247728,1
0.248428,1
0.24912,1
0.249856,1
0.250509,2
0.260959,3
0.273641,2
0.287339,1
0.297494,2
0.311386,2
0.323493,2
0.33301,2
0.346037,2
0.35687,3
0.368387,3
