frame,value
0,0
0,0
0.000723,0
0.000723,0
0.002256,0
0.002256,0
0.003638,0
0.003638,0
0.005353,0
0.005353,0
0.007353,0
0.007353,0
0.009238,0
0.009238,0
0.010978,0
0.010978,0
0.011675,0
0.011675,0
0.012304,2
0.012304,2
0.013675,2
0.013675,2
0.014438,2
0.014438,2
0.015787,2
0.015787,6
0.016538,8
0.016538,12
0.017206,11
0.017206,13
0.01882,14
0.01882,16
0.019459,20
0.019459,20
0.019459,21
0.020488,19
0.020488,24
0.020488,34
0.021401,35
0.021401,34
0.02217,34
0.02217,39
0.023136,41
0.023136,43
0.024569,46
0.024569,45
0.025088,46
0.025088,44
0.026646,45
0.026646,54
0.027155,58
0.027155,64
0.028443,64
0.028443,60
0.029251,58
0.029251,66
0.030591,66
0.030591,62
0.032227,61
0.032227,65
0.033606,64
0.033606,75
0.034977,78
0.034977,81
0.035911,82
0.035911,89
0.037383,92
0.037383,95
0.037383,98
0.038185,102
0.038185,108
0.038911,108
0.038911,116
0.040087,119
0.040087,128
0.041054,127
0.041054,129
0.041803,126
0.041803,125
0.042974,125
0.042974,129
0.043974,130
0.043974,134
0.043974,135
0.044574,139
0.044574,141
0.044574,150
0.045207,150
0.045207,177
0.046092,176
0.046092,183
0.047114,185
0.047114,191
0.047947,190
0.047947,200
0.048926,198
0.048926,205
0.049899,200
0.049899,209
0.050906,204
0.050906,204
0.051612,201
0.051612,222
0.052438,215
0.052438,214
0.053406,214
0.053406,252
0.054634,254
0.054634,254
0.055331,257
0.055331,268
0.055331,269
0.055915,271
0.055915,278
0.055915,302
0.05671,304
0.05671,329
0.057617,329
0.057617,340
0.058301,350
0.058301,359
0.059091,352
0.059091,365
0.059915,364
0.059915,397
0.060757,395
0.060757,405
0.060757,415
0.061413,418
0.061413,423
0.061413,420
0.061986,426
0.061986,441
0.061986,449
0.062592,448
0.062592,472
0.063114,470
0.063114,491
0.063694,496
0.063694,521
0.064529,518
0.064529,542
0.065623,543
0.065623,536
0.066709,531
0.066709,509
0.067846,515
0.067846,510
0.068483,510
0.068483,517
0.068483,530
0.069117,535
0.069117,534
0.069117,577
0.069865,586
0.069865,620
0.070497,619
0.070497,637
0.070497,639
0.071135,629
0.071135,641
0.071135,670
0.071736,665
0.071736,692
0.071736,713
0.072293,724
0.072293,738
0.072293,786
0.072912,774
0.072912,800
0.072912,825
0.073468,822
0.073468,843
0.073468,860
0.073468,864
0.074175,870
0.074175,879
0.074175,899
0.074175,928
0.074856,915
0.074856,936
0.074856,962
0.075389,975
0.075389,992
0.075389,987
0.075899,978
0.075899,979
0.075899,1005
0.075899,994
0.076559,972
0.076559,996
0.076559,1034
0.077085,1046
