frame,value
0,12
0,8
0.000723,14
0.000723,12
0.002256,15
0.002256,11
0.003638,15
0.003638,12
0.005353,14
0.005353,13
0.007353,14
0.007353,13
0.009238,15
0.009238,11
0.010978,15
0.010978,6
0.011675,14
0.011675,6
0.012304,14
0.012304,10
0.013675,14
0.013675,7
0.014438,13
0.014438,10
0.015787,14
0.015787,6
0.016538,13
0.016538,5
0.017206,13
0.017206,11
0.01882,13
0.01882,5
0.019459,13
0.019459,13
0.019459,8
0.020488,13
0.020488,13
0.020488,8
0.021401,13
0.021401,6
0.02217,13
0.02217,8
0.023136,13
0.023136,10
0.024569,13
0.024569,5
0.025088,13
0.025088,10
0.026646,13
0.026646,5
0.027155,13
0.027155,9
0.028443,13
0.028443,6
0.029251,12
0.029251,9
0.030591,12
0.030591,10
0.032227,12
0.032227,9
0.033606,12
0.033606,10
0.034977,13
0.034977,7
0.035911,13
0.035911,10
0.037383,13
0.037383,12
0.037383,6
0.038185,13
0.038185,6
0.038911,13
0.038911,8
0.040087,13
0.040087,8
0.041054,13
0.041054,7
0.041803,13
0.041803,9
0.042974,13
0.042974,8
0.043974,13
0.043974,13
0.043974,5
0.044574,13
0.044574,13
0.044574,6
0.045207,13
0.045207,7
0.046092,13
0.046092,7
0.047114,13
0.047114,7
0.047947,13
0.047947,8
0.048926,13
0.048926,8
0.049899,13
0.049899,9
0.050906,13
0.050906,7
0.051612,13
0.051612,7
0.052438,13
0.052438,9
0.053406,13
0.053406,10
0.054634,13
0.054634,7
0.055331,13
0.055331,13
0.055331,5
0.055915,13
0.055915,13
0.055915,7
0.05671,13
0.05671,7
0.057617,13
0.057617,6
0.058301,13
0.058301,7
0.059091,12
0.059091,7
0.059915,12
0.059915,7
0.060757,12
0.060757,12
0.060757,6
0.061413,13
0.061413,12
0.061413,5
0.061986,12
0.061986,13
0.061986,5
0.062592,13
0.062592,5
0.063114,13
0.063114,5
0.063694,13
0.063694,7
0.064529,13
0.064529,8
0.065623,12
0.065623,9
0.066709,12
0.066709,9
0.067846,13
0.067846,6
0.068483,13
0.068483,13
0.068483,5
0.069117,13
0.069117,13
0.069117,6
0.069865,12
0.069865,6
0.070497,12
0.070497,13
0.070497,5
0.071135,13
0.071135,13
0.071135,5
0.071736,13
0.071736,13
0.071736,5
0.072293,13
0.072293,12
0.072293,5
0.072912,13
0.072912,12
0.072912,5
0.073468,14
0.073468,13
0.073468,13
0.073468,6
0.074175,13
0.074175,12
0.074175,12
0.074175,6
0.074856,13
0.074856,12
0.074856,5
0.075389,13
0.075389,12
0.075389,5
0.075899,13
0.075899,12
0.075899,12
0.075899,5
0.076559,13
0.076559,12
0.076559,5
0.077085,13
0.077085,13
0.077085,5
0.077699,13
0.077699,12
0.077699,7
0.078676,12
0.078676,5
0.079328,12
0.079328,12
0.079328,5
0.079915,13
0.079915,12
0.079915,5
0.080526,12
0.080526,12
0.080526,7
0.081445,13
0.081445,12
0.081445,6
0.082269,12
0.082269,12
0.082269,5
0.082847,12
0.082847,12
0.082847,5
0.083394,12
0.083394,12
0.083394,5
0.084001,13
0.084001,12
0.084001,7
0.084798,13
0.084798,5
0.085422,12
0.085422,12
0.085422,5
0.086,12
0.086,12
0.086,7
0.086854,12
0.086854,5
0.087426,12
0.087426,7
0.088292,12
0.088292,6
0.088941,12
0.088941,7
0.089716,12
0.089716,7
0.09047,12
0.09047,7
0.091319,12
0.091319,6
0.091965,12
0.091965,5
0.092469,12
0.092469,7
0.093252,12
0.093252,7
0.094022,12
0.094022,7
0.094892,12
0.094892,6
0.09552,12
0.09552,6
0.096226,12
0.096226,6
0.097003,12
0.097003,6
0.097744,12
0.097744,6
0.098497,12
0.098497,7
0.099325,12
0.099325,9
0.100442,12
0.100442,12
0.100442,12
0.100442,7
0.1012,12
0.1012,6
0.10178,12
0.10178,12
0.10178,12
0.10178,8
0.102895,12
0.102895,12
0.102895,5
0.103409,12
0.103409,12
0.103409,11
0.103409,10
0.104715,12
0.104715,12
0.104715,6
0.105243,12
0.105243,12
0.105243,11
0.105243,8
0.106283,12
0.106283,12
0.106283,5
0.10682,12
0.10682,12
0.10682,12
0.10682,12
0.10682,6
0.107479,12
0.107479,12
0.107479,11
0.107479,8
0.108253,12
0.108253,11
0.108253,5
0.10877,12
0.10877,11
0.10877,11
0.10877,11
0.10877,9
0.109847,12
0.109847,5
0.110424,12
0.110424,12
0.110424,11
0.110424,8
0.111319,12
0.111319,11
0.111319,11
0.111319,5
0.111923,12
0.111923,11
0.111923,11
0.111923,6
0.112701,12
0.112701,11
0.112701,11
0.112701,7
0.113425,11
0.113425,12
0.113425,11
0.113425,7
0.114145,12
0.114145,11
0.114145,5
0.114651,12
0.114651,11
0.114651,7
0.115248,11
0.115248,11
0.115248,11
0.115248,8
0.116005,12
0.116005,11
0.116005,11
0.116005,7
0.116694,11
0.116694,11
0.116694,5
0.117225,12
0.117225,11
0.117225,11
0.117225,5
0.117768,11
0.117768,11
0.117768,11
0.117768,4
0.118279,12
0.118279,11
0.118279,11
0.118279,4
0.118784,11
0.118784,11
0.118784,6
0.119443,11
0.119443,11
0.119443,11
0.119443,6
0.120229,10
0.120229,10
0.120229,11
