frame,value
0,0.3612893
0.000723,0.76678
0.002256,0.6911058
0.003638,0.8571906
0.005353,1
0.007353,0.9425055
0.009238,0.8702334
0.010978,0.3486388
0.011675,0.3144511
0.012304,0.6852672
0.013675,0.3814345
0.014438,0.6743687
0.015787,0.3755553
0.016538,0.3339916
0.017206,0.8073489
0.01882,0.3192084
0.019459,0.5146513
0.020488,0.4566131
0.021401,0.3844055
0.02217,0.4830702
0.023136,0.7162595
0.024569,0.2595305
0.025088,0.7789613
0.026646,0.2547757
0.027155,0.6440059
0.028443,0.403905
0.029251,0.6699874
0.030591,0.8181683
0.032227,0.6894575
0.033606,0.685258
0.034977,0.4669795
0.035911,0.7360685
0.037383,0.4011403
0.038185,0.3628611
0.038911,0.5879077
0.040087,0.4833786
0.041054,0.3748107
0.041803,0.5855902
0.042974,0.4997976
0.043974,0.3000908
0.044574,0.3165489
0.045207,0.4421611
0.046092,0.5113854
0.047114,0.4162013
0.047947,0.4897434
0.048926,0.4863436
0.049899,0.5037544
0.050906,0.3526834
0.051612,0.4132448
0.052438,0.4840387
0.053406,0.6139953
0.054634,0.3482372
0.055331,0.2923034
0.055915,0.3972858
0.05671,0.4534501
0.057617,0.3418338
0.058301,0.3950083
0.059091,0.4124578
0.059915,0.4208748
0.060757,0.3279198
0.061413,0.2864347
0.061986,0.3030455
0.062592,0.2609441
0.063114,0.2898488
0.063694,0.4178445
0.064529,0.5467206
0.065623,0.5433895
0.066709,0.5681597
0.067846,0.3187866
0.068483,0.3167039
0.069117,0.3741649
0.069865,0.3157049
0.070497,0.3190101
0.071135,0.3006297
0.071736,0.278456
0.072293,0.3096344
0.072912,0.2781201
0.073468,0.3533988
0.074175,0.3403201
0.074856,0.2665895
0.075389,0.2550817
0.075899,0.3297659
0.076559,0.2631147
0.077085,0.3072159
0.077699,0.4883873
0.078676,0.3261557
0.079328,0.2933816
0.079915,0.3054411
0.080526,0.4593478
0.081445,0.4122907
0.082269,0.2886463
0.082847,0.2738929
0.083394,0.3035628
0.084001,0.3980726
0.084798,0.3120092
0.085422,0.289383
0.086,0.4270146
0.086854,0.2859066
0.087426,0.4329817
0.088292,0.3244709
0.088941,0.387508
0.089716,0.3770755
0.09047,0.4241528
0.091319,0.3230771
0.091965,0.2521996
0.092469,0.3916113
0.093252,0.3849279
0.094022,0.4347576
0.094892,0.3143167
0.09552,0.3530527
0.096226,0.3883762
0.097003,0.3704801
0.097744,0.376242
0.098497,0.414307
0.099325,0.558597
0.100442,0.3785795
0.1012,0.2900213
0.10178,0.5577392
0.102895,0.256757
0.103409,0.6533139
0.104715,0.2639722
0.105243,0.5197959
0.106283,0.2683851
