frame,value
0,0
0,0
0.00058,0
0.00058,0
0.001828,0
0.001828,0
0.003003,0
0.003003,0
0.004827,0
0.004827,0
0.00662,0
0.00662,0
0.008025,0
0.008025,0
0.009011,0
0.009011,0
0.010632,0
0.010632,0
0.011574,0
0.011574,0
0.01228,0
0.01228,0
0.012804,0
0.012804,0
0.013552,0
0.013552,5e-07
0.014544,3e-07
0.014544,3e-07
0.015309,3e-07
0.015309,3e-07
0.015994,3e-07
0.015994,3e-07
0.016745,3e-07
0.016745,3e-07
0.017445,1.8e-06
0.017445,1.4e-06
0.01817,1.3e-06
0.01817,1.3e-06
0.019,1.7e-06
0.019,1.5e-06
0.019801,1.3e-06
0.019801,1.2e-06
0.019801,1.2e-06
0.02059,1.2e-06
0.02059,1.5e-06
0.02059,1.7e-06
0.021344,1.7e-06
0.021344,2.2e-06
0.022274,2.2e-06
0.022274,3.3e-06
0.023116,2.6e-06
0.023116,3.1e-06
0.024211,3.1e-06
0.024211,3.1e-06
0.025071,2.8e-06
0.025071,3.6e-06
0.02629,3.7e-06
0.02629,4.6e-06
0.027113,4.2e-06
0.027113,4.6e-06
0.027717,4.6e-06
0.027717,4.3e-06
0.028544,4.6e-06
0.028544,5.2e-06
0.029529,5.2e-06
0.029529,5.7e-06
0.03122,6e-06
0.03122,6.3e-06
0.032313,6.2e-06
0.032313,6.8e-06
0.033533,6.4e-06
0.033533,7e-06
0.034209,6.6e-06
0.034209,6.6e-06
0.035101,7.7e-06
0.035101,8.6e-06
0.036215,8.6e-06
0.036215,8.8e-06
0.036914,8.6e-06
0.036914,1e-05
0.038115,9.5e-06
0.038115,1.01e-05
0.038971,9.9e-06
0.038971,1.03e-05
0.040606,1.12e-05
0.040606,1.13e-05
0.040606,1.15e-05
0.041248,1.15e-05
0.041248,1.16e-05
0.041248,1.15e-05
0.04185,1.18e-05
0.04185,1.17e-05
0.04185,1.21e-05
0.042434,1.22e-05
0.042434,1.24e-05
0.043018,1.24e-05
0.043018,1.45e-05
0.044536,1.36e-05
0.044536,1.53e-05
0.045059,1.48e-05
0.045059,1.48e-05
0.045059,1.61e-05
0.045702,1.53e-05
0.045702,1.67e-05
0.046755,1.65e-05
0.046755,1.79e-05
0.0474,1.77e-05
0.0474,1.77e-05
0.04794,1.74e-05
0.04794,1.87e-05
0.049428,1.75e-05
0.049428,1.84e-05
0.050302,1.82e-05
0.050302,1.89e-05
0.050302,2.05e-05
0.050944,1.96e-05
0.050944,2.07e-05
0.051471,2.03e-05
0.051471,2.33e-05
0.052183,2.18e-05
0.052183,2.52e-05
0.052819,2.39e-05
0.052819,2.7e-05
0.053793,2.62e-05
0.053793,2.86e-05
