frame,value
0,1
0,1
0.00058,1
0.00058,1
0.001828,1
0.001828,1
0.003003,1
0.003003,1
0.004827,1
0.004827,1
0.00662,1
0.00662,1
0.008025,1
0.008025,1
0.009011,1
0.009011,1
0.010632,1
0.010632,1
0.011574,1
0.011574,1
0.01228,1
0.01228,1
0.012804,1
0.012804,1
0.013552,1
0.013552,1
0.014544,1
0.014544,1
0.015309,1
0.015309,1
0.015994,1
0.015994,1
0.016745,1
0.016745,1
0.017445,1
0.017445,1
0.01817,1
0.01817,1
0.019,1
0.019,1
0.019801,1
0.019801,1
0.019801,1
0.02059,1
0.02059,1
0.02059,1
0.021344,1
0.021344,1
0.022274,1
0.022274,1
0.023116,1
0.023116,1
0.024211,1
0.024211,1
0.025071,1
0.025071,1
0.02629,1
0.02629,1
0.027113,1
0.027113,1
0.027717,1
0.027717,1
0.028544,1
0.028544,1
0.029529,1
0.029529,1
0.03122,1
0.03122,1
0.032313,1
0.032313,1
0.033533,1
0.033533,1
0.034209,1
0.034209,1
0.035101,1
0.035101,1
0.036215,1
0.036215,1
0.036914,1
0.036914,1
0.038115,1
0.038115,1
0.038971,1
0.038971,1
0.040606,1
0.040606,1
0.040606,1
0.041248,1
0.041248,1
0.041248,1
0.04185,1
0.04185,1
0.04185,1
0.042434,1
0.042434,1
0.043018,1
0.043018,1
0.044536,1
0.044536,1
0.045059,1
0.045059,1
0.045059,1
0.045702,1
0.045702,1
0.046755,1
0.046755,1
0.0474,1
0.0474,1
0.04794,1
0.04794,1
0.049428,1
0.049428,1
0.050302,1
0.050302,1
0.050302,1
0.050944,1
0.050944,1
0.051471,2
0.051471,1
0.052183,2
0.052183,1
0.052819,1
0.052819,1
0.053793,1
0.053793,1
0.054958,1
0.054958,1
0.056085,2
0.056085,2
0.056085,1
0.056697,2
0.056697,2
0.056697,1
0.057214,2
0.057214,2
0.057214,1
0.057811,2
0.057811,2
0.057811,1
0.058439,2
0.058439,2
0.058439,1
0.059429,2
0.059429,1
0.060003,2
0.060003,1
0.06093,2
0.06093,1
0.06149,2
0.06149,1
0.062146,2
0.062146,1
0.062836,2
0.062836,1
0.063501,2
0.063501,1
0.064082,2
0.064082,2
0.065083,2
0.065083,2
0.066086,2
0.066086,2
0.067076,2
0.067076,2
0.067076,1
0.067672,2
0.067672,2
0.067672,1
0.068212,2
0.068212,1
0.068715,2
0.068715,2
0.068715,1
0.069328,2
0.069328,2
0.069328,2
0.069328,1
0.070033,2
0.070033,2
0.070033,2
0.070033,1
0.070668,2
0.070668,2
0.070668,2
0.070668,1
0.071225,2
0.071225,2
0.071225,1
0.071751,2
0.071751,1
0.072278,2
0.072278,2
0.072278,1
0.072813,2
0.072813,2
0.072813,2
0.073566,2
0.073566,2
0.073566,2
0.073566,2
0.074384,2
0.074384,2
0.074384,1
0.074914,2
0.074914,2
0.074914,2
0.074914,1
0.075568,2
0.075568,2
0.075568,2
0.075568,1
0.076194,2
0.076194,2
0.076194,2
0.076194,1
0.076812,2
0.076812,2
0.076812,1
0.077411,2
0.077411,1
0.077927,2
0.077927,2
0.077927,1
0.078535,2
0.078535,2
0.078535,1
0.079146,2
0.079146,1
0.079668,2
0.079668,2
0.079668,1
0.080194,2
0.080194,2
0.080194,2
0.080194,2
0.081088,2
0.081088,2
0.081088,2
0.081088,2
0.08171,2
0.08171,2
0.08171,1
0.082354,2
0.082354,2
0.082354,2
0.082951,2
0.082951,2
0.082951,2
0.08373,2
0.08373,1
0.084402,2
0.084402,1
0.085056,2
0.085056,2
0.085966,2
0.085966,2
0.086525,2
0.086525,2
0.087463,2
0.087463,2
0.087463,1
0.088044,2
0.088044,2
0.088044,1
0.08859,2
0.08859,2
0.08859,1
0.089194,2
0.089194,2
0.089194,1
0.089797,2
0.089797,1
0.090474,2
0.090474,1
0.091019,2
0.091019,2
0.092133,2
0.092133,2
0.092133,1
0.092753,2
0.092753,2
0.092753,1
0.093282,2
0.093282,2
0.093282,2
0.09416,2
0.09416,1
0.094789,2
0.094789,2
0.094789,1
0.095302,2
0.095302,2
0.095302,2
0.095302,2
0.095302,2
0.09602,2
0.09602,1
0.09679,2
0.09679,2
0.09679,2
0.09679,1
0.0973,2
0.0973,2
0.0973,2
0.0973,1
0.09787,2
0.09787,2
0.09787,2
0.09787,2
0.098829,2
0.098829,2
0.098829,2
0.098829,1
0.099337,2
0.099337,2
0.099337,2
0.09987,2
0.09987,2
0.100855,2
0.100855,2
0.100855,2
0.100855,1
0.101548,2
0.101548,2
0.101548,2
0.101548,1
0.102445,2
0.102445,2
0.102445,2
0.102445,1
0.102966,2
0.102966,2
0.102966,2
0.102966,1
0.10373,2
0.10373,1
0.104286,2
0.104286,2
0.104286,2
0.104286,1
0.104799,2
0.104799,2
0.104799,2
0.104799,1
0.105534,2
0.105534,2
0.105534,2
0.105534,1
0.106507,2
0.106507,2
0.106507,2
0.106507,2
0.106507,1
0.107258,2
0.107258,2
0.107258,2
0.107258,1
0.108,2
0.108,2
0.108,2
0.108,1
0.108551,2
0.108551,2
0.108551,1
0.109069,2
0.109069,2
0.109069,1
0.109657,2
0.109657,2
0.109657,2
0.109657,2
0.109657,1
0.1103,2
0.1103,2
0.1103,2
0.1103,1
0.111122,2
0.111122,2
0.111122,2
0.111122,2
0.112169,2
0.112169,2
0.112169,2
0.112169,2
0.112169,1
0.113133,2
0.113133,2
0.113133,2
0.113133,2
0.113133,1
0.114007,2
0.114007,2
0.114007,2
0.114007,1
0.114606,2
0.114606,2
0.114606,1
0.115107,2
0.115107,2
0.115107,1
0.115644,2
0.115644,2
0.115644,2
0.115644,1
0.116187,2
0.116187,1
0.11673,2
0.11673,2
0.11673,1
0.11673,1
0.117248,2
0.117248,2
0.117248,2
0.117248,1
0.117248,1
0.117853,2
0.117853,1
0.118435,2
0.118435,1
0.118435,2
0.118435,1
0.118435,1
0.119124,2
0.119124,1
0.119862,2
0.119862,2
0.119862,2
0.119862,1
0.119862,1
0.120654,2
0.120654,2
0.120654,1
0.120654,1
0.121231,2
0.121231,2
0.121231,1
0.121231,1
0.12195,2
0.12195,1
0.12195,2
0.12195,1
0.122615,2
0.122615,2
0.122615,2
0.122615,1
0.123387,2
0.123387,2
0.123387,2
0.123387,2
0.123387,1
0.124021,2
0.124021,2
0.124021,2
0.124021,1
0.125055,1
0.125055,2
0.125055,1
0.125055,2
0.125055,1
0.125912,2
0.125912,1
0.125912,1
0.125912,1
0.126425,2
0.126425,2
0.126425,1
0.126425,1
0.127532,2
0.127532,2
0.127532,2
0.127532,1
0.127532,1
0.12829,1
0.12829,2
0.12829,1
0.12829,1
0.129028,2
0.129028,2
0.129028,2
0.129028,1
0.129801,2
0.129801,2
0.129801,2
0.129801,1
0.130303,2
0.130303,2
0.130303,2
0.130303,2
0.131265,2
0.131265,2
0.131265,2
0.131265,2
0.131803,2
0.131803,2
0.132513,2
0.132513,2
0.132513,2
0.132513,2
0.132513,2
0.133598,2
0.133598,2
0.133598,2
0.133598,2
0.133598,2
0.134358,2
0.134358,2
0.134358,2
0.134358,2
0.135222,2
0.135222,2
0.135222,2
0.135222,2
0.135852,2
0.135852,2
0.136575,2
0.136575,2
0.136575,2
0.136575,2
0.137097,2
0.137097,2
0.137097,2
0.137097,2
0.137603,2
0.137603,2
0.137603,2
0.137603,2
0.138341,2
0.138341,2
0.138341,2
0.138841,2
0.138841,2
0.138841,2
0.139532,2
0.139532,2
0.139532,2
0.139532,2
0.139532,2
0.140385,2
0.140385,2
0.140385,2
0.140385,2
0.141223,2
0.141223,2
0.141223,2
0.141223,2
0.141861,2
0.141861,2
0.14249,2
0.14249,2
0.14249,2
0.14249,2
0.143036,2
0.143036,2
0.143036,2
0.143666,2
0.143666,2
0.143666,2
0.143666,2
0.14434,2
0.14434,2
0.144934,2
0.144934,2
0.144934,2
0.144934,2
0.145758,2
0.145758,2
0.145758,2
0.145758,2
0.146323,2
0.146323,2
0.146939,2
0.146939,2
0.146939,2
0.146939,2
0.147478,2
0.147478,2
0.147478,2
0.147478,2
0.147478,2
0.148044,2
0.148044,2
