frame,value
0,0.000863885
0.000864,0.0017513
0.002615,0.001606781
0.004222,0.001948855
0.006171,0.002
0.008171,0.001306223
0.009477,0.00183328
0.01131,0.001439972
0.01275,0.000634698
0.013385,0.0005732103
0.013958,0.001155305
0.015114,0.001050906
0.016164,0.001456699
0.017621,0.002
0.019621,0.0008673891
0.020489,0.0006941246
0.021183,0.001808801
0.022991,0.0006636001
0.023655,0.00160148
0.025257,0.0005563518
0.025813,0.0008711463
0.026684,0.001048021
0.027732,0.002
0.029732,0.001308912
0.031041,0.000919749
0.031961,0.0007890356
0.03275,0.0007193237
0.033469,0.0005012836
0.03397,0.0007708558
0.034741,0.0008149613
0.035556,0.0007035385
0.03626,0.0005503835
0.03681,0.0007210023
0.037531,0.0006393745
0.03817,0.0005721369
0.038743,0.0005679114
0.03931,0.0005571482
0.039868,0.0005743093
0.040442,0.0006233313
0.041065,0.0006760189
0.041741,0.000721906
0.042463,0.0007359046
0.043199,0.0007283586
0.043927,0.0006681636
0.044596,0.000673582
0.045269,0.0007303409
0.046,0.0007108286
0.04671,0.0007549449
0.047465,0.0007012286
0.048167,0.0007678739
0.048934,0.0007744273
0.049709,0.0008133554
0.050522,0.0007943593
0.051317,0.0008466708
0.052163,0.0006427957
0.052806,0.0006250526
0.053431,0.0007468644
0.054178,0.0006737313
0.054852,0.000640083
0.055492,0.0006721212
0.056164,0.0006116089
0.056776,0.0006573134
0.057433,0.0006903197
0.058123,0.001012265
0.059135,0.0007393378
0.059875,0.0008770112
0.060752,0.0007042029
0.061456,0.000614409
0.06207,0.0008679205
0.062938,0.001082574
0.064021,0.001140172
0.065161,0.0007853884
0.065946,0.0006973996
0.066644,0.0007865934
0.06743,0.0006896472
0.06812,0.000981579
0.069102,0.0006298969
0.069732,0.0007494298
0.070481,0.0005251482
0.071006,0.0006135447
0.07162,0.0007089056
0.072329,0.0006578842
0.072986,0.0005582645
0.073545,0.0005909142
0.074136,0.000774238
0.07491,0.0007117128
0.075622,0.0006553277
0.076277,0.000607454
0.076884,0.00060827
0.077493,0.0005358107
0.078028,0.0005854809
0.078614,0.000660559
0.079274,0.000627282
0.079902,0.0006990371
0.080601,0.000721243
0.081322,0.0006303425
0.081952,0.0005961115
0.082548,0.0006423709
0.083191,0.000636422
0.083827,0.0005892697
0.084417,0.0006411151
0.085058,0.0005877317
0.085645,0.0006418392
0.086287,0.0008066483
0.087094,0.0005152624
0.087609,0.0005260123
0.088135,0.0005996962
0.088735,0.0007381969
0.089473,0.0006392737
0.090112,0.0006660786
0.090778,0.0006983802
0.091477,0.0007100353
0.092187,0.0007276143
0.092914,0.0007232426
0.093638,0.000729396
0.094367,0.0007221863
0.095089,0.0007319427
0.095821,0.0007273807
0.096549,0.0007378039
0.097286,0.0007361604
0.098023,0.000745215
0.098768,0.0007432178
0.099511,0.0006000007
0.100111,0.0006115672
0.100723,0.0007459861
0.101469,0.0008131773
0.102282,0.0007870033
0.103069,0.0006152846
0.103684,0.0007626148
0.104447,0.0005527795
0.104999,0.0005459909
0.105545,0.0005830679
0.106128,0.0006213458
0.10675,0.0005479968
0.107298,0.000570555
0.107868,0.0005349743
0.108403,0.0005647037
0.108968,0.0005219721
0.10949,0.0005605478
0.110051,0.0005049978
0.110556,0.0005520564
0.111108,0.0005821931
0.11169,0.000537682
0.112227,0.000528426
0.112756,0.0006973349
0.113453,0.0008783963
0.114332,0.0005578882
0.11489,0.0005635924
0.115453,0.0006566911
0.11611,0.0006157121
0.116726,0.0005340693
0.11726,0.0006013665
0.117861,0.0007251274
0.118586,0.000661428
0.119248,0.0009265754
0.120174,0.0005898848
0.120764,0.000634941
0.121399,0.0006630548
0.122062,0.0007661016
0.122828,0.0005060258
0.123334,0.0009386297
0.124273,0.0005853561
0.124858,0.0007893324
0.125647,0.0005221606
0.12617,0.0006389193
