frame,value
0,13
0,15
0,15
0,10
0.000783,18
0.000783,8
0.001332,19
0.001332,19
0.001332,11
0.002316,19
0.002316,11
0.00331,20
0.00331,8
0.003885,21
0.003885,8
0.004588,19
0.004588,9
0.005362,19
0.005362,19
0.005362,7
0.005891,20
0.005891,18
0.005891,7
0.006411,19
0.006411,19
0.006411,7
0.006936,21
0.006936,19
0.006936,8
0.007526,19
0.007526,18
0.007526,18
0.007526,9
0.008284,19
0.008284,18
0.008284,8
0.008876,20
0.008876,19
0.008876,8
0.009436,19
0.009436,18
0.009436,18
0.009436,11
0.010605,19
0.010605,18
0.010605,8
0.011228,19
0.011228,18
0.011228,18
0.011228,10
0.012102,20
0.012102,19
0.012102,18
0.012102,11
0.013216,19
0.013216,19
0.013216,18
0.013216,9
0.013878,19
0.013878,17
0.013878,7
0.014456,19
0.014456,18
0.014456,18
0.014456,12
0.015503,18
0.015503,18
0.015503,8
0.016068,19
0.016068,18
0.016068,21
0.016068,8
0.016701,20
0.016701,19
0.016701,18
0.016701,8
0.017372,20
0.017372,18
0.017372,8
0.017954,19
0.017954,18
0.017954,19
0.017954,9
0.018578,21
0.018578,7
0.019146,18
0.019146,7
0.019724,18
0.019724,18
0.019724,18
0.019724,9
0.020479,22
0.020479,18
0.020479,8
0.021012,22
0.021012,18
0.021012,7
0.021579,20
0.021579,18
0.021579,20
0.021579,11
0.022381,19
0.022381,18
0.022381,11
0.022956,20
0.022956,18
0.022956,19
0.022956,10
0.023775,22
0.023775,23
0.023775,18
0.023775,18
0.023775,9
0.024538,20
0.024538,20
0.024538,27
0.024538,22
0.024538,28
0.024538,11
0.02526,26
0.02526,32
0.02526,8
0.025843,19
0.025843,19
0.025843,20
0.025843,24
0.025843,10
0.026479,23
0.026479,24
0.026479,18
0.026479,8
0.027033,21
0.027033,21
0.027033,8
0.027591,19
0.027591,19
0.027591,19
0.027591,11
0.028562,19
0.028562,20
0.028562,19
0.028562,9
0.029123,24
0.029123,22
0.029123,19
0.029123,9
0.029678,23
0.029678,21
0.029678,19
0.029678,9
0.030197,24
0.030197,22
0.030197,19
0.030197,8
0.030714,24
0.030714,22
0.030714,20
0.030714,20
0.030714,9
0.031426,20
0.031426,9
0.032011,19
0.032011,20
0.032011,8
0.03257,22
0.03257,23
0.03257,19
0.03257,9
0.033176,23
0.033176,20
0.033176,19
0.033176,21
0.033176,10
0.033877,20
0.033877,19
0.033877,20
0.033877,11
0.034711,20
0.034711,19
0.034711,21
0.034711,13
0.035562,20
0.035562,19
0.035562,21
0.035562,10
0.036295,21
0.036295,19
0.036295,21
0.036295,8
0.036808,21
0.036808,20
0.036808,20
0.036808,10
0.037507,20
0.037507,19
0.037507,20
0.037507,19
0.037507,9
0.038056,21
0.038056,21
0.038056,19
0.038056,20
0.038056,9
0.038648,22
0.038648,21
0.038648,20
0.038648,19
0.038648,11
0.039224,22
0.039224,22
0.039224,20
0.039224,20
0.039224,20
0.039224,9
0.039838,20
0.039838,20
0.039838,19
0.039838,20
0.039838,20
0.039838,10
0.040454,20
0.040454,20
0.040454,19
0.040454,24
0.040454,10
0.041017,22
0.041017,22
0.041017,8
0.041521,20
0.041521,21
0.041521,20
0.041521,10
0.042081,21
0.042081,21
0.042081,20
0.042081,20
0.042081,11
0.042792,20
0.042792,20
0.042792,20
0.042792,13
0.043626,20
0.043626,20
0.043626,19
0.043626,10
0.044166,20
0.044166,21
0.044166,20
0.044166,20
0.044166,12
0.044689,21
0.044689,20
0.044689,19
0.044689,9
0.045215,23
0.045215,21
0.045215,19
0.045215,20
0.045215,11
0.045976,19
0.045976,19
0.045976,19
0.045976,10
0.046549,19
0.046549,19
0.046549,19
0.046549,12
0.047288,19
0.047288,19
0.047288,19
0.047288,22
0.047288,11
0.04801,19
0.04801,20
0.04801,19
0.04801,11
0.048596,21
0.048596,19
0.048596,20
0.048596,10
0.049231,19
0.049231,21
0.049231,19
0.049231,11
0.049906,19
0.049906,19
0.049906,20
0.049906,20
0.049906,12
0.050449,21
0.050449,19
0.050449,19
0.050449,19
0.050449,11
0.050987,20
0.050987,21
0.050987,20
0.050987,10
0.051518,21
0.051518,19
0.051518,21
0.051518,19
0.051518,10
0.052161,19
0.052161,20
0.052161,18
0.052161,12
0.052794,18
0.052794,18
0.052794,18
0.052794,20
0.052794,21
0.052794,10
0.053413,18
