frame,value
0,0
0.000532,8.553038
0.001198,7.06881
0.001966,6.855065
0.002723,6.039586
0.004021,5.611
0.004843,5.350377
0.0059,5.276231
0.006795,5.201036
0.007346,5.181666
0.008013,5.0777
0.008539,5.207128
0.009115,5.729226
0.009767,5.43869
0.010316,5.629829
0.010967,5.383039
0.011502,5.54367
0.012172,5.342041
0.012691,5.522998
0.01335,5.281867
0.014097,5.351395
0.014861,4.960833
0.015579,4.875377
0.016346,4.860664
0.017157,4.745704
0.017793,4.955559
0.018317,5.160142
0.018917,4.990014
0.019524,4.844595
0.0202,4.798132
0.02084,4.782367
0.021413,5.104311
0.021963,4.910785
0.022744,4.838828
0.023513,5.551041
0.024161,5.150761
0.024759,5.048166
0.025346,5.426692
0.025881,5.213938
0.026487,5.465384
0.027203,5.239948
0.027804,5.360956
0.028331,5.546249
0.02892,5.716686
0.029509,5.379839
0.030028,5.111452
0.030594,5.480679
0.031484,5.41098
0.032011,5.17663
0.032867,5.262192
0.03358,5.267192
0.03423,5.235875
0.035267,5.264756
0.03582,5.373754
0.036364,5.751875
0.037091,5.453212
0.037666,5.701799
0.038243,6.18177
0.038751,5.792147
0.039321,6.031651
0.03992,6.229346
0.040557,6.723803
0.041145,6.690128
0.041653,6.412868
0.042157,6.255661
0.042671,6.217357
0.043176,7.738004
0.043998,6.943369
0.044618,7.929129
0.045183,8.380058
0.045752,9.031606
0.046431,6.68979
0.047081,7.26289
0.047627,6.992743
0.04822,6.679248
0.049022,5.998574
0.04959,5.483392
0.050165,5.957871
0.051014,6.10857
0.051568,6.278268
0.052353,6.316839
0.052856,5.590001
0.053559,5.91821
0.054335,5.860199
0.055161,5.801028
0.05592,5.661939
0.056572,5.492912
0.057104,5.709872
0.057657,5.267201
0.058169,5.165784
0.058694,5.385543
0.059196,5.057151
0.059799,5.075148
0.060456,4.943776
0.061165,4.846211
0.061705,4.391656
0.062226,4.18652
0.063008,4.208771
0.063688,3.951804
0.064211,3.659047
0.064947,3.628638
0.065792,3.526855
0.066534,3.199975
0.067121,3.010396
0.067629,3.021323
0.068327,2.837431
0.068865,2.541008
0.069377,2.487979
0.070094,2.47178
0.07063,2.536923
0.071206,2.315379
0.071745,2.357169
0.072402,2.382265
0.07298,2.362382
0.073673,2.37472
0.074198,2.702204
0.074879,2.302061
0.075406,3.932588
0.076158,2.630776
0.077009,2.709343
0.077514,2.755608
0.078818,2.563385
