frame,value
0,0.0006635403
0.000664,0.0008980704
0.001562,0.0008020973
0.002364,0.0009411995
0.003305,0.001076419
0.004381,0.001066175
0.005448,0.001032713
0.00648,0.0009737476
0.007454,0.0007116791
0.008166,0.0009164034
0.009082,0.0005805546
0.009663,0.0008160637
0.010479,0.0008448705
0.011324,0.0006058206
0.011929,0.0006672873
0.012597,0.0007197044
0.013316,0.000626325
0.013943,0.00152738
0.01547,0.0007504117
0.01622,0.0006526144
0.016873,0.0006024069
0.017475,0.0007442712
0.01822,0.0007086622
0.018928,0.00132426
0.020253,0.001103361
0.021356,0.0006252392
0.021981,0.0006194325
0.022601,0.001143488
0.023744,0.0009113788
0.024656,0.0006298132
0.025285,0.0006523524
0.025938,0.0005811108
0.026519,0.0005335825
0.027052,0.000869347
0.027922,0.0005330485
0.028455,0.0006134006
0.029068,0.001042558
0.030111,0.0006538881
0.030765,0.0006220161
0.031387,0.0008961838
0.032283,0.0006391141
0.032922,0.0006882583
0.03361,0.0005496532
0.03416,0.0007341598
0.034894,0.0005286215
0.035423,0.0005624007
0.035985,0.0006107406
0.036596,0.0005105399
0.037106,0.001414507
0.038521,0.0006331597
0.039154,0.0006317917
0.039786,0.0006341513
0.04042,0.0009489749
0.041369,0.0006320864
0.042001,0.0007330184
0.042734,0.0005693128
0.043303,0.00101283
0.044316,0.0008021289
0.045118,0.0006906425
0.045809,0.0005651647
0.046374,0.0006102907
0.046984,0.0006993631
0.047684,0.000640405
0.048324,0.0007229951
0.049047,0.0006050366
0.049652,0.0005268784
0.050179,0.0005906343
0.05077,0.0006126484
0.051382,0.0006675135
0.05205,0.0005840621
0.052634,0.0005659994
0.0532,0.0005996379
0.0538,0.000513968
0.054314,0.000797883
0.055111,0.0006505681
0.055762,0.0006083565
0.05637,0.00061577
0.056986,0.0006689952
0.057655,0.0005220779
0.058177,0.000900661
0.059078,0.0006859059
0.059764,0.000732257
0.060496,0.0005494307
0.061045,0.000756601
0.061802,0.0006427171
0.062445,0.0007116069
0.063156,0.0008123884
0.063969,0.0006077732
0.064577,0.0006520581
0.065229,0.0005932591
0.065822,0.0008561445
0.066678,0.0005847811
0.067263,0.0005003688
0.067763,0.0005094117
0.068273,0.0005269404
0.0688,0.000536433
0.069336,0.0005640729
0.0699,0.0005598611
0.07046,0.0005237344
0.070984,0.0008120484
0.071796,0.0006292116
0.072425,0.0005671743
0.072992,0.0005392191
0.073531,0.0005159493
0.074047,0.0005762191
0.074623,0.0005368665
0.07516,0.0008098516
0.07597,0.0006738961
0.076644,0.0006335732
0.077278,0.001436497
0.078714,0.0006315676
0.079346,0.0006811505
0.080027,0.0008954491
0.080922,0.0005114924
0.081434,0.0005814716
0.082015,0.0005631446
0.082578,0.0005204089
0.083099,0.0005609032
0.08366,0.0005285245
0.084188,0.0005749401
0.084763,0.0005360426
0.085299,0.0005448225
0.085844,0.0006619865
0.086506,0.0005087426
0.087015,0.0005225161
0.087537,0.0005928734
