frame,value
0,2
0.000664,1
0.001562,1
0.002364,1
0.003305,1
0.004381,1
0.005448,1
0.00648,1
0.007454,1
0.008166,1
0.009082,1
0.009663,1
0.010479,1
0.011324,1
0.011929,1
0.012597,1
0.013316,2
0.013943,2
0.01547,1
0.01622,1
0.016873,2
0.017475,2
0.01822,1
0.018928,1
0.020253,2
0.021356,3
0.021981,2
0.022601,2
0.023744,1
0.024656,2
0.025285,2
0.025938,2
0.026519,2
0.027052,1
0.027922,1
0.028455,1
0.029068,1
0.030111,2
0.030765,1
0.031387,1
0.032283,1
0.032922,1
0.03361,1
0.03416,1
0.034894,1
0.035423,1
0.035985,1
0.036596,1
0.037106,3
0.038521,3
0.039154,1
0.039786,1
0.04042,3
0.041369,1
0.042001,3
0.042734,2
0.043303,2
0.044316,1
0.045118,1
0.045809,2
0.046374,3
0.046984,2
0.047684,2
0.048324,2
0.049047,1
0.049652,1
0.050179,2
0.05077,2
0.051382,1
0.05205,2
0.052634,4
0.0532,3
0.0538,3
0.054314,4
0.055111,3
0.055762,4
0.05637,4
0.056986,3
0.057655,1
0.058177,3
0.059078,3
0.059764,1
0.060496,2
0.061045,4
0.061802,2
0.062445,3
0.063156,3
0.063969,5
0.064577,3
0.065229,3
0.065822,3
0.066678,2
0.067263,3
0.067763,2
0.068273,2
0.0688,3
0.069336,2
0.0699,1
0.07046,1
0.070984,3
0.071796,3
0.072425,2
0.072992,2
0.073531,2
0.074047,2
0.074623,1
0.07516,3
0.07597,2
0.076644,1
0.077278,5
0.078714,3
0.079346,3
0.080027,3
0.080922,3
0.081434,5
0.082015,3
0.082578,3
0.083099,3
0.08366,3
0.084188,2
0.084763,8
0.085299,5
0.085844,5
0.086506,3
0.087015,4
0.087537,4
0.08813,2
0.088936,5
0.090029,6
0.090755,3
0.091451,3
0.092376,5
0.092892,4
0.093606,4
0.094226,3
0.094793,2
0.095402,2
0.095998,5
0.096536,5
0.097456,2
0.098282,5
0.098906,3
0.099471,6
0.100149,1
0.100669,3
0.101178,2
0.102104,4
0.103144,4
0.103729,5
0.10432,5
0.104917,4
0.10554,2
0.106062,5
0.106605,3
0.107427,3
0.107944,3
0.108706,7
0.109569,4
0.11009,5
0.111034,2
0.111656,4
0.112354,4
0.112875,6
0.113873,4
0.114391,5
0.114904,2
0.11541,1
0.11594,3
0.116456,4
0.117402,4
0.117965,3
0.118556,4
0.11922,3
0.119812,6
0.120722,3
0.12133,3
0.121938,4
0.122544,1
0.123113,2
0.123621,3
0.124147,2
0.124689,4
0.125348,4
0.125864,2
0.126378,3
0.127135,3
0.128014,9
0.128774,2
0.129395,4
0.129899,4
0.130694,3
0.131365,1
0.132063,9
0.132871,3
0.133722,3
0.134228,3
0.134748,4
0.13569,3
0.136214,3
0.136813,3
0.137447,5
0.138312,3
0.139203,2
0.140137,2
0.140978,4
0.14153,4
0.142198,2
0.142725,3
0.143297,3
0.144197,3
0.144719,4
0.145789,2
0.146553,3
0.147101,3
0.148172,2
0.149146,2
0.150893,2
0.151571,3
0.152267,4
0.153232,3
0.153749,3
0.154569,3
0.15509,3
0.15563,3
0.15618,4
0.156785,2
0.157813,2
0.158379,1
0.159057,2
0.1599,2
0.160472,3
0.161753,2
0.162407,3
0.163732,4
0.164583,3
0.165472,3
0.166021,2
0.16707,3
0.167614,2
0.168632,3
0.169195,3
0.169705,2
0.170585,2
0.171093,2
0.171595,3
0.172134,4
0.173133,2
0.173733,3
0.174415,1
0.175446,2
0.176608,2
0.177347,3
0.178058,1
0.178958,2
0.179514,3
0.180428,3
0.181449,2
0.181975,2
0.18295,2
0.183573,1
0.184127,2
0.184689,2
0.185403,2
0.185979,2
0.18692,3
0.187625,1
0.189243,2
0.190026,1
0.190569,2
0.19113,2
0.192109,3
0.192777,3
0.193412,2
0.194276,3
0.194964,1
0.195651,2
0.196264,2
0.196946,1
0.197496,1
0.198015,2
0.198545,2
0.199161,1
0.200047,3
0.200586,2
0.20133,1
0.201901,1
0.202541,2
0.203156,2
0.203837,1
0.204506,1
0.205241,2
0.205759,2
0.20654,2
0.207047,2
0.207915,2
0.208442,2
0.209419,2
0.210135,1
0.211035,2
0.211663,2
0.212401,1
0.213258,2
0.213988,1
0.214491,2
0.215064,2
0.215698,2
0.216289,2
0.216948,1
0.217592,2
0.218157,2
0.21886,2
0.219408,2
0.219948,2
0.220514,2
0.221196,2
0.221776,2
0.222417,1
0.222962,2
0.223539,2
0.224228,1
0.224764,1
0.225304,2
0.225894,2
0.226518,1
0.227105,2
0.227688,2
0.228324,1
0.228887,1
0.229501,2
0.230085,2
0.230968,1
0.23171,2
0.232263,2
0.232946,1
0.233459,1
0.234205,2
0.234825,3
0.235493,2
0.236361,2
0.236955,2
0.237493,1
0.238405,1
0.238909,2
0.239507,3
0.240178,2
0.241251,2
0.241839,2
0.242609,1
0.243473,2
0.244087,3
0.244813,2
0.245431,1
0.245949,1
0.246887,2
0.247543,2
0.248514,1
0.249157,2
0.249791,2
0.250388,3
0.263593,3
0.273928,2
0.283594,2
0.293716,3
0.30423,3
0.315936,3
0.328258,3
0.339506,2
0.350185,3
0.361383,3
0.370882,4
0.382059,3
0.392464,3
0.403995,2
0.413541,3
0.427049,3
0.442113,2
0.451903,3
0.46477,3
0.478527,2
0.489169,2
0.499004,2
0.510236,2
0.523142,2
0.533971,2
0.544014,2
0.554325,2
0.564776,1
0.578187,2
0.589628,2
0.601389,1
0.610719,1
0.62379,2
0.640089,2
0.653258,2
0.671723,1
0.687242,1
0.696742,2
0.708405,2
0.723364,2
0.738077,2
0.753681,2
0.769629,1
0.779749,1
0.789399,2
0.808955,2
0.827718,2
0.843021,1
0.856616,1
0.872475,1
0.88491,1
0.897344,1
0.909954,1
0.919341,1
0.932244,2
0.947662,1
0.958066,2
0.97031,2
0.980023,2
0.991951,2
1.005155,1
1.014783,1
1.029537,2
1.05077,1
1.062978,1
1.090494,1
1.117262,1
1.129606,1
1.148682,1
1.17113,1
1.19187,1
1.209306,1
1.236311,2
1.253521,2
1.278291,1
1.290424,1
1.302334,1
1.318605,1
1.336565,1
1.354408,1
1.369294,1
1.390077,1
1.401654,2
1.415161,3
1.425191,3
1.435038,3
1.444307,3
1.453906,2
1.463667,2
1.47635,2
1.496596,6
1.506703,4
1.516703,2
1.526749,3
1.536704,2
1.547762,3
1.558735,3
1.572217,4
1.586511,2
1.596351,2
1.609212,3
1.620041,3
1.632918,3
1.645263,3
1.659346,2
1.670877,2
1.682252,3
1.69228,2
1.706404,2
1.716048,2
1.728327,2
1.738346,2
1.753971,2
1.765256,2
1.780145,1
1.789943,1
1.804002,1
1.813337,2
1.824482,1
1.83412,1
1.84381,2
1.855798,3
1.870549,2
1.884942,2
1.901177,2
1.919363,2
1.931049,2
1.94597,2
1.962774,2
1.97494,2
1.989421,1
2.00007,2
2.018197,1
2.029168,3
2.044436,3
2.055435,3
2.066803,3
2.078627,4
2.091138,4
2.10231,4
2.11253,7
2.122088,22
2.131359,23
2.14067,29
2.150356,25
2.159671,18
2.169273,13
2.179631,10
2.193571,4
2.20353,3
2.213628,3
2.225202,3
2.236261,4
2.245906,4
2.256689,3
2.266271,3
2.277147,4
2.287963,2
2.29888,2
2.30888,3
2.324215,3
2.338373,3
2.348938,3
2.359684,3
2.370954,3
2.381937,4
2.39185,4
2.402224,3
2.412596,3
2.423663,2
2.435417,2
2.446168,3
2.457063,2
2.466393,3
2.478416,3
2.490604,2
2.501745,2
2.511263,2
2.521579,2
2.531872,2
2.542566,2
2.552237,3
2.567001,1
2.578024,2
2.594093,2
2.609829,2
2.627132,1
2.637934,1
2.647442,1
2.661339,2
2.671429,2
2.683541,4
2.693885,5
2.703255,6
2.712507,9
2.721917,12
2.731854,11
2.741204,8
2.753315,7
2.764153,5
2.775341,4
2.784818,3
2.796119,2
2.808371,1
2.819847,2
2.833631,1
2.844553,1
2.856855,2
2.870129,2
2.882487,2
2.896229,2
2.909221,3
2.925864,2
2.942668,2
2.952445,2
2.963132,2
2.972592,2
2.98298,2
2.996202,2
3.01041,2
3.022131,2
3.032387,2
3.04363,2
3.055854,2
3.066023,2
3.076226,2
