frame,value
0,0
1,1099
2,1439
3,1696
4,2738
5,2606
6,3500
7,3332
8,3267
9,2510
10,2155
11,1991
12,1763
13,1921
14,2100
15,2022
16,572
17,203
18,451
19,510
20,272
21,181
22,480
23,582
24,259
25,439
26,226
27,166
28,481
29,168
30,350
31,153
32,168
33,359
34,276
35,166
36,165
37,200
38,158
39,159
40,158
41,98
42,250
43,151
44,155
45,157
46,153
47,184
48,155
49,156
50,152
51,96
52,97
53,95
54,189
55,92
56,249
57,95
58,154
59,309
60,153
61,190
63,163
65,206
67,109
68,203
70,107
71,104
72,101
74,107
75,155
76,163
77,97
78,96
79,101
80,104
81,104
82,106
83,107
84,104
85,417
86,258
87,521
88,354
89,181
90,435
91,309
92,438
93,467
94,278
95,359
96,412
97,273
98,548
99,272
100,203
101,471
102,198
103,394
104,191
105,192
106,376
107,115
108,116
109,302
110,113
111,302
112,252
113,192
114,189
115,186
116,410
117,200
118,205
119,209
120,128
121,205
122,432
123,284
124,284
125,680
126,388
127,1000
128,3408
129,2033
130,3021
131,1776
132,360
133,578
134,268
135,639
136,483
137,305
138,365
139,254
140,257
141,497
142,246
143,584
144,320
145,547
146,212
147,493
148,510
149,280
150,197
151,378
152,371
153,181
154,255
155,321
156,207
157,206
158,126
159,245
160,186
161,187
162,700
163,1067
164,1549
165,586
166,920
167,325
168,444
169,114
170,180
171,222
172,181
173,378
174,199
175,281
176,211
177,216
178,443
179,451
180,231
181,241
182,465
183,209
184,396
185,190
186,512
187,393
188,688
189,285
190,172
191,113
192,165
194,110
196,163
198,114
199,94
200,98
201,97
202,103
204,102
206,107
208,109
209,97
211,109
214,255
217,255
220,256
222,249
223,95
225,107
227,103
229,107
230,90
231,91
234,104
235,153
237,107
239,114
240,93
