frame,value
0,2
0,2
0,2
0.000579,2
0.000579,2
0.001331,2
0.001331,2
0.0024,2
0.0024,2
0.003441,2
0.003441,2
0.00479,2
0.00479,2
0.005809,2
0.005809,2
0.006416,2
0.006416,2
0.007345,2
0.007345,2
0.008238,2
0.008238,2
0.008782,2
0.008782,2
0.009398,2
0.009398,2
0.009989,2
0.009989,2
0.010554,2
0.010554,2
0.010554,2
0.011173,2
0.011173,2
0.011173,2
0.011959,2
0.011959,2
0.011959,2
0.011959,2
0.012657,2
0.012657,2
0.012657,2
0.01325,2
0.01325,2
0.01325,2
0.014142,2
0.014142,2
0.014142,2
0.014668,2
0.014668,2
0.014668,2
0.015506,2
0.015506,2
0.015506,2
0.016833,2
0.016833,2
0.016833,2
0.016833,2
0.017725,2
0.017725,2
0.017725,2
0.017725,2
0.018377,2
0.018377,2
0.018377,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.019809,2
0.019809,2
0.020378,2
0.020378,2
0.021024,2
0.021024,2
0.021024,2
0.021614,2
0.021614,2
0.022168,2
0.022168,2
0.023011,2
0.023011,2
0.023011,2
0.023758,2
0.023758,2
0.023758,2
0.024324,2
0.024324,2
0.024324,2
0.024927,2
0.024927,2
0.024927,2
0.025491,2
0.025491,2
0.025491,2
0.026098,2
0.026098,2
0.026098,2
0.026618,2
0.026618,2
0.027458,2
0.027458,2
0.027458,2
0.027458,2
0.028381,2
0.028381,2
0.028381,2
0.028381,2
0.029411,2
0.029411,2
0.029411,2
0.029941,2
0.029941,2
0.029941,2
0.030546,2
0.030546,2
0.030546,2
0.030546,2
0.031181,2
0.031181,2
0.031181,2
0.031839,2
0.031839,2
0.031839,2
0.031839,2
0.032469,2
0.032469,2
0.032469,2
0.032984,2
0.032984,2
0.032984,3
0.032984,2
0.033544,2
0.033544,2
0.033544,2
0.033544,2
0.033544,2
0.034103,2
0.034103,2
0.034103,2
0.034103,2
0.034103,2
0.034904,2
0.034904,2
0.034904,2
0.035455,2
0.035455,3
0.035455,2
0.035455,2
0.035455,3
0.03624,2
0.03624,3
0.03624,2
0.03624,3
0.036944,2
0.036944,3
0.036944,2
0.036944,3
0.036944,3
0.036944,2
0.037473,2
0.037473,3
0.037473,3
0.037473,3
0.037473,2
0.037473,3
0.038162,2
0.038162,3
0.038162,3
0.038835,2
0.038835,3
0.038835,3
0.039388,2
0.039388,3
0.039388,3
0.039969,2
0.039969,3
0.039969,3
0.039969,3
0.040902,2
0.040902,3
0.040902,3
0.040902,3
0.041975,2
0.041975,3
0.041975,3
0.042535,2
0.042535,3
0.04318,3
0.04318,3
0.04318,3
0.04318,3
0.044088,3
0.044088,3
0.044088,3
0.044088,3
0.044929,3
0.044929,3
0.044929,3
0.044929,3
0.04577,3
0.04577,3
0.04577,3
0.04577,3
0.046709,3
0.046709,3
0.046709,3
0.046709,3
0.046709,3
0.047256,3
0.047256,3
0.047256,3
0.047256,3
0.047256,3
0.048208,3
0.048208,3
0.048208,3
0.048893,3
0.048893,3
0.049457,3
0.049457,3
0.049457,3
0.049457,3
0.050022,3
0.050022,3
0.050022,3
0.050022,3
0.050022,3
0.05066,3
0.05066,3
0.05066,3
0.05066,3
0.051417,3
0.051417,3
0.051417,3
0.051417,3
0.052046,3
0.052046,3
0.052046,3
0.052046,3
0.052614,3
0.052614,3
0.052614,3
0.052614,3
0.053118,3
0.053118,3
0.053118,3
0.053118,3
0.053118,3
0.053821,3
0.053821,3
0.053821,3
0.053821,3
0.05449,3
0.05449,3
0.05449,3
0.05449,3
0.055287,3
0.055287,3
0.055287,3
0.055287,3
0.055943,3
0.055943,3
0.055943,3
0.055943,3
0.056638,3
