frame,value
0,0
1,1494
2,2262
3,2814
4,3395
5,4069
6,5170
7,4039
8,4393
9,3215
10,2831
11,2135
12,2011
13,2046
14,2759
15,2157
16,688
17,375
18,272
19,646
20,342
21,248
22,753
23,402
24,352
25,380
26,347
27,667
28,351
29,188
30,692
31,261
32,286
33,388
34,303
35,581
37,274
38,448
39,179
40,190
41,264
43,600
44,506
45,266
46,176
47,295
48,322
49,249
50,252
51,114
52,423
53,240
54,179
55,174
56,246
57,220
58,110
59,108
60,111
61,107
62,108
63,172
64,173
65,166
66,105
67,104
68,203
69,103
70,167
71,169
72,170
73,169
74,168
75,169
76,173
77,240
79,353
80,180
81,112
83,188
84,188
85,477
86,371
87,361
88,353
89,348
90,507
91,982
92,369
93,379
94,314
95,841
96,584
97,400
98,307
99,230
100,316
101,317
102,234
103,401
104,229
105,226
106,220
107,212
108,208
109,203
110,205
111,210
113,499
115,415
116,200
117,213
118,456
119,225
120,223
121,225
122,139
124,548
125,867
126,544
127,788
128,3266
129,5556
130,2262
131,1904
132,1261
133,307
134,466
135,636
136,340
137,338
138,282
139,578
140,283
141,279
142,270
143,190
144,801
145,421
146,288
147,295
148,212
149,427
150,294
151,285
152,291
153,207
154,210
155,299
156,298
157,228
158,227
159,436
160,211
161,210
162,437
163,652
164,2933
165,1230
166,916
167,1495
168,382
169,212
170,213
171,206
172,203
173,205
174,223
175,225
176,469
177,358
178,265
179,350
180,259
181,505
182,239
183,229
184,226
185,221
186,686
187,379
188,449
189,539
190,186
191,112
192,130
193,107
195,193
197,135
200,124
202,118
204,124
205,103
207,181
209,119
211,114
214,117
215,100
217,118
220,176
222,117
224,123
226,169
227,103
230,116
231,95
233,179
234,101
235,101
238,119
241,118
