frame,value
0,9.628156e-06
0,9.684907e-06
0,9.949812e-06
0.000579,9.493665e-06
0.000579,9.544003e-06
0.001331,9.959836e-06
0.001331,9.737957e-06
0.0024,9.940072e-06
0.0024,9.977396e-06
0.003441,9.863185e-06
0.003441,9.578284e-06
0.004791,9.716743e-06
0.004791,9.608401e-06
0.005809,9.985657e-06
0.005809,9.677669e-06
0.006415,9.977933e-06
0.006415,9.91795e-06
0.00736,9.924697e-06
0.00736,9.993918e-06
0.008245,9.906616e-06
0.008245,9.740573e-06
0.00877,9.960814e-06
0.00877,9.660376e-06
0.009342,9.805005e-06
0.009342,9.839144e-06
0.009948,9.780188e-06
0.009948,9.783776e-06
0.010511,9.980916e-06
0.010511,9.757689e-06
0.0112,9.928192e-06
0.0112,9.912557e-06
0.011887,9.790784e-06
0.011887,9.927105e-06
0.011887,9.817475e-06
0.012495,9.934343e-06
0.012495,9.681301e-06
0.012495,9.767706e-06
0.013463,9.892297e-06
0.013463,9.707784e-06
0.013463,9.818497e-06
0.014022,9.540168e-06
0.014022,9.932615e-06
0.014022,9.76498e-06
0.014939,9.889766e-06
0.014939,9.727827e-06
0.014939,9.450859e-06
0.015611,9.618071e-06
0.015611,9.798423e-06
0.015611,9.660866e-06
0.016651,9.687866e-06
0.016651,9.967207e-06
0.016651,9.206457e-06
0.017327,9.687761e-06
0.017327,9.013642e-06
0.017829,9.987623e-06
0.017829,9.632415e-06
0.018701,9.60879e-06
0.018701,9.18165e-06
0.019217,9.87446e-06
0.019217,9.809345e-06
0.019782,9.735117e-06
0.019782,9.981725e-06
0.019782,9.206191e-06
0.020306,9.989664e-06
0.020306,9.912244e-06
0.020306,9.663965e-06
0.021156,9.818302e-06
0.021156,9.919515e-06
0.021156,9.950066e-06
0.021685,9.945843e-06
0.021685,9.907028e-06
0.021685,9.810555e-06
0.022496,9.953845e-06
0.022496,9.785408e-06
0.022496,9.726827e-06
0.023074,9.766243e-06
0.023074,9.887771e-06
0.023074,9.585454e-06
0.023647,9.497268e-06
0.023647,9.661153e-06
0.023647,9.98599e-06
0.024165,9.899246e-06
0.024165,9.87019e-06
0.024165,9.347902e-06
0.024744,9.787222e-06
0.024744,9.752809e-06
0.024744,9.442455e-06
0.02551,9.480607e-06
0.02551,9.84402e-06
0.02551,9.373527e-06
0.026049,9.771034e-06
0.026049,9.92641e-06
0.026049,9.591313e-06
0.026604,9.958229e-06
0.026604,9.999692e-06
0.027237,9.9556e-06
0.027237,9.759681e-06
0.027862,9.701887e-06
0.027862,9.572678e-06
0.027862,9.678616e-06
0.028377,9.79539e-06
0.028377,9.97611e-06
0.028377,9.862792e-06
0.028377,9.956428e-06
0.028377,9.732727e-06
0.029223,9.976866e-06
0.029223,9.503768e-06
0.030022,9.654449e-06
0.030022,9.546669e-06
0.030568,9.677083e-06
0.030568,9.96618e-06
0.030568,9.522132e-06
0.030568,9.273641e-06
0.031309,9.967554e-06
0.031309,9.81233e-06
0.031834,9.583981e-06
0.031834,9.928012e-06
0.032519,9.828402e-06
0.032519,9.715378e-06
0.033142,9.926174e-06
0.033142,9.848405e-06
0.033142,9.68967e-06
0.033667,9.950974e-06
0.033667,9.877828e-06
0.033667,9.860488e-06
0.034388,9.905412e-06
0.034388,9.808212e-06
0.035122,9.840458e-06
0.035122,9.596988e-06
0.035122,9.801191e-06
0.035122,9.668082e-06
0.035122,9.69419e-06
0.035765,9.766392e-06
0.035765,9.911613e-06
0.035765,9.768904e-06
0.035765,9.736644e-06
0.036282,9.734802e-06
0.036282,9.737961e-06
0.036282,9.501951e-06
0.037084,9.862136e-06
0.037084,9.844228e-06
0.037084,9.936354e-06
0.037084,9.908388e-06
0.037084,9.590056e-06
0.037084,9.883092e-06
0.037786,9.799633e-06
0.037786,9.711038e-06
0.037786,9.681112e-06
0.037786,9.846353e-06
0.037786,9.913776e-06
0.037786,9.723567e-06
0.038318,9.682753e-06
0.038318,9.8792e-06
0.038318,9.906271e-06
0.038318,9.971184e-06
0.038318,9.667802e-06
0.038318,9.200871e-06
0.038881,9.844285e-06
0.038881,9.836121e-06
0.038881,9.338279e-06
0.039594,9.880142e-06
0.039594,9.410835e-06
0.039594,9.503917e-06
0.040198,9.905894e-06
0.040198,9.740013e-06
0.040198,9.321087e-06
0.040711,9.755712e-06
0.040711,9.841884e-06
0.040711,9.492676e-06
0.041323,9.883032e-06
0.041323,9.825825e-06
0.041323,9.577853e-06
0.041323,9.309374e-06
0.042523,9.548552e-06
0.042523,9.800355e-06
0.042523,9.875221e-06
0.042523,9.740754e-06
0.043086,9.717274e-06
0.043086,9.855129e-06
0.043086,9.817529e-06
0.043701,9.917431e-06
0.043701,9.818695e-06
0.043701,9.617788e-06
0.044249,9.752162e-06
0.044249,9.616509e-06
0.044249,9.834314e-06
0.045033,9.74978e-06
0.045033,9.5096e-06
0.045033,9.476689e-06
0.045582,9.874887e-06
0.045582,9.950365e-06
0.045582,9.97278e-06
0.045582,9.785588e-06
0.046085,9.822845e-06
0.046085,9.95224e-06
0.046085,9.407102e-06
0.046727,9.935786e-06
0.046727,9.758768e-06
0.046727,9.919674e-06
0.046727,9.281355e-06
0.047343,9.749889e-06
0.047343,9.726885e-06
0.047887,9.83879e-06
0.047887,9.656741e-06
0.047887,9.683348e-06
0.047887,9.905066e-06
0.048453,9.663923e-06
0.048453,9.723231e-06
0.048453,9.929478e-06
0.049013,9.851173e-06
0.049013,9.923167e-06
0.049013,9.93885e-06
0.049013,9.922373e-06
0.049561,9.813856e-06
0.049561,9.579236e-06
0.049561,9.230527e-06
0.050227,9.954719e-06
0.050227,9.810183e-06
0.050227,9.691646e-06
0.050227,9.913737e-06
0.050852,9.876188e-06
0.050852,9.677197e-06
0.050852,9.903917e-06
0.050852,9.298865e-06
0.051472,9.834362e-06
0.051472,9.680606e-06
0.051472,9.736608e-06
0.052013,9.742108e-06
0.052013,9.789853e-06
0.052013,9.871891e-06
0.052013,9.790301e-06
0.052013,9.893023e-06
0.052842,9.972766e-06
0.052842,9.961727e-06
0.052842,9.957966e-06
0.052842,9.714624e-06
0.053344,9.950691e-06
0.053344,9.702505e-06
0.053344,9.630572e-06
0.053344,9.886406e-06
0.053877,9.901556e-06
0.053877,9.805645e-06
0.053877,9.900265e-06
0.053877,9.701578e-06
0.054472,9.653162e-06
0.054472,9.81404e-06
0.054472,9.854881e-06
0.054472,9.399297e-06
0.055217,9.890391e-06
0.055217,9.584654e-06
0.055217,9.785716e-06
0.055217,9.81349e-06
0.055746,9.721029e-06
0.055746,9.841922e-06
0.055746,9.889464e-06
0.055746,9.994083e-06
0.055746,9.86026e-06
0.056527,9.797916e-06
0.056527,9.928265e-06
0.056527,9.999869e-06
0.056527,9.247339e-06
0.057226,9.528079e-06
0.057226,9.351053e-06
0.057226,9.885269e-06
0.057226,9.336169e-06
0.057791,9.821697e-06
0.057791,9.86435e-06
0.057791,9.958208e-06
0.057791,9.523012e-06
