frame,value
0,78
0.000932,54
0.002218,55
0.003374,57
0.004868,52
0.005696,54
0.006743,54
0.008023,52
0.008983,50
0.009689,52
0.010436,53
0.011522,49
0.012213,49
0.012879,49
0.013505,53
0.014757,49
0.015356,77
0.015964,52
0.017066,74
0.017613,75
0.018232,50
0.018951,76
0.01956,77
0.020223,104
0.020835,49
0.02151,48
0.022099,49
0.02264,76
0.02318,80
0.02395,48
0.024519,105
0.025317,75
0.025875,76
0.02643,75
0.02695,80
0.027791,76
0.028347,107
0.029081,49
0.029582,49
0.030178,78
0.030737,82
0.031601,105
0.032259,77
0.032778,82
0.033767,76
0.034278,110
0.035238,107
0.035805,81
0.036448,109
0.037097,78
0.037635,83
0.038382,109
0.038933,144
0.039859,110
0.040553,110
0.041084,110
0.041795,79
0.04234,142
0.043206,109
0.043724,144
0.044624,81
0.04516,143
0.046006,113
0.046912,111
0.047541,110
0.048047,141
0.048786,140
0.049405,141
0.050048,111
0.050562,111
0.05107,111
0.051578,110
0.052078,111
0.05263,112
0.053217,112
0.053978,113
0.054712,112
0.055235,114
0.055737,147
0.056531,113
0.057054,114
0.057653,82
0.058192,85
0.058818,83
0.059348,115
0.059882,147
0.060569,114
0.061166,116
0.061906,116
0.062572,117
0.063163,115
0.063794,178
0.064477,115
0.065161,174
0.065829,113
0.066353,144
0.067295,204
0.068175,142
0.068687,139
0.069212,202
0.069937,169
0.070465,113
0.070974,170
0.071529,172
0.072218,112
0.072786,172
0.073553,143
0.074268,206
0.075434,197
0.076009,81
0.076535,138
0.077071,83
0.077571,139
0.078085,112
0.078879,140
0.079448,170
0.080119,111
0.080622,112
0.081159,173
0.081924,140
0.082523,114
0.083206,169
0.08373,135
0.08434,111
0.084948,138
0.085769,139
0.086503,166
0.087096,137
0.087658,106
0.088181,166
0.088972,167
0.089913,137
0.090538,108
0.09116,111
0.092044,109
0.09261,108
0.093211,135
0.093753,107
0.094256,111
0.09515,138
0.095829,139
0.096342,193
0.097201,162
0.097807,105
0.098312,106
0.09882,133
0.099326,134
0.099964,106
0.100531,106
0.101227,105
0.101756,105
0.10232,107
0.103074,132
0.103586,135
0.104151,107
0.104899,106
0.105427,106
0.105971,51
0.106559,107
0.107119,134
0.107677,107
0.10826,108
0.108899,109
0.109481,110
0.110062,110
0.110583,111
0.111236,112
0.11192,113
0.112665,113
0.113302,112
0.113914,113
0.114551,112
0.115155,112
0.115735,112
0.116346,112
0.116992,137
0.117542,142
0.11839,110
0.118918,139
0.119726,136
0.120271,108
0.120898,109
0.121555,108
0.122192,108
0.12277,109
0.123491,109
0.124222,53
0.124809,135
0.125416,53
0.12602,135
0.126669,107
0.127288,134
0.127826,107
0.128362,81
0.129074,107
0.1296,107
0.130127,80
0.130925,105
0.131426,51
0.131966,51
0.132513,107
0.1333,105
0.133964,101
0.134613,103
0.135612,101
0.136149,100
0.136692,128
0.137527,101
0.138302,47
0.13884,103
0.139897,102
0.140857,99
0.141361,75
0.141981,103
0.142967,100
0.143489,101
0.144134,49
0.14472,100
0.145273,103
0.146161,74
0.146673,75
0.147321,101
0.14797,104
0.14927,100
0.149799,132
0.150934,73
0.151626,99
0.152362,48
0.153033,98
0.153573,73
0.154083,48
0.154728,98
0.15537,72
0.155938,100
0.156821,47
0.157353,102
0.158427,73
0.158972,98
0.15951,99
0.16006,74
0.160571,73
0.161097,74
0.161733,102
0.162498,48
0.163147,102
0.163947,50
0.164975,74
0.165551,102
0.166455,101
0.167358,73
0.167887,73
0.168413,48
0.168953,73
0.169471,73
0.16998,74
0.170494,75
0.17116,74
0.171729,74
0.172258,50
0.172963,102
0.173705,74
0.174271,74
0.174797,49
0.175448,51
0.176415,103
0.177132,50
0.177875,50
0.178611,51
0.179355,77
0.1799,79
0.180685,51
0.181376,50
0.181954,51
0.182512,50
0.183033,51
0.183558,107
0.184243,78
0.184785,80
0.185286,79
0.185846,110
0.186436,112
0.18702,114
0.187621,112
0.188209,83
0.188732,112
0.189503,113
0.190289,81
0.190834,112
0.19147,112
0.192084,112
0.192718,83
0.193236,82
0.193748,114
0.194441,113
0.195059,82
0.195586,81
0.196091,82
0.196738,53
0.197358,81
0.197894,83
0.198648,53
0.199393,56
0.200594,52
0.201141,83
0.201759,82
0.202485,54
0.203096,55
0.204272,82
0.204942,82
0.205513,83
0.206086,82
0.206654,82
0.207336,84
0.207931,86
0.209022,53
0.209547,83
0.210166,87
0.211038,54
0.211558,83
0.212181,87
0.213124,85
0.213765,85
0.214389,86
0.215126,85
0.215757,88
0.21683,81
0.217484,81
0.218125,82
0.218755,80
0.219389,82
0.220028,80
0.220663,81
0.221345,53
0.221942,54
0.222682,54
0.223274,54
0.224007,54
0.224763,54
0.225485,54
0.226259,55
0.22726,53
0.22799,53
0.228831,52
0.229613,52
0.230404,50
0.230963,53
0.231815,54
0.233432,51
0.234403,53
0.235391,52
0.236492,50
0.237123,53
0.238163,53
0.239552,51
0.240194,52
0.24094,52
0.241729,52
0.242403,54
0.243389,53
0.244261,54
0.245238,53
0.245963,82
0.246743,87
0.247752,56
0.248905,55
0.249795,54
0.250361,216
0.268815,201
0.283372,272
0.300408,189
0.317067,252
0.336144,247
0.353939,238
0.370591,236
0.385455,246
0.399209,329
0.415023,197
0.428782,193
0.444654,252
0.459173,341
0.4805,195
0.494285,190
0.509588,195
0.524129,203
0.544264,197
0.562145,122
0.575917,206
0.599163,123
0.613116,207
0.63733,203
0.653349,215
0.671943,298
0.68864,243
0.712533,136
0.733355,228
0.760837,154
0.784529,131
0.808995,129
0.831293,130
0.859491,118
0.873358,214
0.913012,123
0.931771,123
0.958539,116
0.975197,115
0.992198,114
1.010552,115
1.03053,116
1.053113,119
1.081593,120
1.11308,114
1.132892,123
1.16528,132
1.211033,125
1.242378,117
1.263481,125
1.298055,117
1.318586,121
1.344629,121
1.370585,131
1.415623,562
1.429858,517
1.446958,428
1.466505,220
1.484488,530
1.501072,623
1.516339,475
1.530295,557
1.546246,322
1.562725,345
1.576819,457
1.590934,668
1.605118,742
1.622317,624
1.640917,442
1.655862,469
1.672676,358
1.687117,262
1.702227,352
1.723001,256
1.737046,252
1.752818,254
1.770142,159
1.78628,241
1.810011,232
1.82485,230
1.846472,231
1.860899,312
1.881296,316
1.899223,218
1.9133,210
1.930927,223
1.948618,317
1.972513,347
1.989376,343
2.004188,348
2.01842,337
2.03515,351
2.049546,264
2.063968,369
2.086719,371
2.101392,481
2.115151,1746
2.129006,4467
2.142833,3270
2.156948,3885
2.170729,2740
2.185067,7748
2.198966,2627
2.214192,429
2.227995,594
2.24327,394
2.257912,460
2.273233,369
2.287951,363
2.302356,457
2.318768,315
2.334155,227
2.351984,299
2.369056,454
2.38294,376
2.397628,424
2.413652,332
2.42914,422
2.444467,510
2.460205,322
2.474824,418
2.492645,322
2.509629,317
2.525094,222
2.540261,383
2.55745,386
2.572642,314
2.588547,239
2.6038,251
2.618023,333
2.636182,231
2.6536,229
2.671326,225
2.68892,227
2.706488,562
2.722125,1513
2.735938,2154
2.750826,1477
2.766484,514
2.781138,519
2.797841,335
2.812804,412
2.82773,388
2.844326,222
2.859611,286
2.879592,212
2.895298,226
2.911994,236
2.927991,254
2.942607,267
2.958693,272
2.97255,278
2.993191,301
3.011077,304
3.027548,394
3.044284,383
3.060448,357
3.075224,434
3.091229,424
3.10566,513
3.120669,503
3.136944,306
3.151687,364
3.167473,272
3.187775,193
3.20638,117
3.222052,125
3.249192,119
3.268826,117
3.292002,107
3.306356,184
3.335253,108
3.354398,111
3.37971,123
3.421274,130
3.476274,116
3.506235,119
3.542019,128
3.597019,127
3.648545,120
3.687302,126
3.742302,125
3.797302,127
3.852302,118
3.893637,122
3.939738,124
3.994738,124
