frame,value
0,0.4659994
0.000932,0.6430007
0.002218,0.5778806
0.003374,0.747281
0.004868,0.413633
0.005696,0.5237498
0.006743,0.6398541
0.008023,0.4801037
0.008983,0.3532214
0.009689,0.3734994
0.010436,0.5427676
0.011522,0.3454552
0.012213,0.333087
0.012879,0.3128327
0.013505,0.6262643
0.014757,0.2993694
0.015356,0.3040243
0.015964,0.5511761
0.017066,0.2734157
0.017613,0.3094867
0.018232,0.3596097
0.018951,0.3040952
0.01956,0.3316033
0.020223,0.3061496
0.020835,0.3376193
0.02151,0.2943105
0.022099,0.2703839
0.02264,0.2699728
0.02318,0.3853578
0.02395,0.2843493
0.024519,0.3989819
0.025317,0.2787203
0.025875,0.2778979
0.02643,0.2600852
0.02695,0.4202608
0.027791,0.2778407
0.028347,0.3671272
0.029081,0.250441
0.029582,0.2979994
0.030178,0.2796156
0.030737,0.43222
0.031601,0.3285728
0.032259,0.2599023
0.032778,0.4941036
0.033767,0.2557774
0.034278,0.4800798
0.035238,0.2832878
0.035805,0.3212889
0.036448,0.3248637
0.037097,0.2686595
0.037635,0.3739007
0.038382,0.2754365
0.038933,0.4628033
0.039859,0.3470083
0.040553,0.2655276
0.041084,0.3556839
0.041795,0.2724647
0.04234,0.4328396
0.043206,0.2591866
0.043724,0.4496337
0.044624,0.2681408
0.04516,0.423064
0.046006,0.4527899
0.046912,0.3147536
0.047541,0.2529129
0.048047,0.3696474
0.048786,0.3092682
0.049405,0.3216848
0.050048,0.2570957
0.050562,0.2536305
0.05107,0.2541289
0.051578,0.2503594
0.052078,0.2758929
0.05263,0.2935916
0.053217,0.3801685
0.053978,0.366885
0.054712,0.2618204
0.055235,0.2509314
0.055737,0.3971749
0.056531,0.2612012
0.057054,0.2994536
0.057653,0.2694132
0.058192,0.3131959
0.058818,0.2648822
0.059348,0.2669279
0.059882,0.3438361
0.060569,0.2984197
0.061166,0.3701767
0.061906,0.3327129
0.062572,0.2953689
0.063163,0.3155658
0.063794,0.3415103
0.064477,0.3422737
0.065161,0.3336731
0.065829,0.2622472
0.066353,0.4707367
0.067295,0.4400596
0.068175,0.2559603
0.068687,0.2628577
0.069212,0.3624513
0.069937,0.2636489
0.070465,0.2546502
0.070974,0.2777625
0.071529,0.3442939
0.072218,0.2839409
0.072786,0.3837027
0.073553,0.3573309
0.074268,0.5828421
0.075434,0.2876193
0.076009,0.2632836
0.076535,0.2678932
0.077071,0.2501275
0.077571,0.2569907
0.078085,0.3967738
0.078879,0.2843349
0.079448,0.3355398
0.080119,0.2518117
0.080622,0.2684327
0.081159,0.3824892
0.081924,0.2996167
0.082523,0.3412726
0.083206,0.2621311
0.08373,0.3047138
0.08434,0.3044092
0.084948,0.4101159
0.085769,0.3672191
0.086503,0.296179
0.087096,0.2814789
0.087658,0.2612832
0.088181,0.3954498
0.088972,0.4706227
0.089913,0.3123413
0.090538,0.3110754
0.09116,0.4420219
0.092044,0.2829744
0.09261,0.3006905
0.093211,0.2709362
0.093753,0.2514933
0.094256,0.4471247
0.09515,0.3391014
0.095829,0.2565254
0.096342,0.4297913
0.097201,0.3025999
0.097807,0.2525753
0.098312,0.2540638
0.09882,0.2531958
0.099326,0.319068
0.099964,0.2834734
0.100531,0.3479396
0.101227,0.264392
0.101756,0.2822474
0.10232,0.3769769
0.103074,0.2556612
0.103586,0.2826537
0.104151,0.3741117
0.104899,0.2639637
0.105427,0.2718849
0.105971,0.2939526
0.106559,0.2799999
0.107119,0.2788396
0.107677,0.2916905
0.10826,0.3197738
0.108899,0.2907761
0.109481,0.2904782
0.110062,0.260594
0.110583,0.3262348
0.111236,0.342182
0.11192,0.3725778
0.112665,0.3182757
0.113302,0.3059668
0.113914,0.3186772
0.114551,0.3019741
0.115155,0.2901969
0.115735,0.3054279
0.116346,0.3229195
0.116992,0.2748253
0.117542,0.4243825
0.11839,0.263612
0.118918,0.404379
0.119726,0.2725295
0.120271,0.3131927
0.120898,0.328802
0.121555,0.3181669
0.122192,0.2892504
0.12277,0.3603927
0.123491,0.3652633
0.124222,0.2938703
0.124809,0.3034912
0.125416,0.3018821
0.12602,0.3243508
0.126669,0.309572
0.127288,0.2688362
0.127826,0.2684347
0.128362,0.3558398
0.129074,0.2627688
0.1296,0.2637038
0.130127,0.3990468
0.130925,0.2502874
0.131426,0.2699622
0.131966,0.2735759
