frame,value
0,0.002
0.000579,0.002
0.001331,0.002
0.0024,0.002
0.00344,0.002
0.00479,0.002
0.005808,0.002
0.006415,0.002
0.007324,0.002
0.00821,0.002
0.008804,0.002
0.009365,0.002
0.01004,0.002
0.010649,0.002
0.011238,0.002
0.011787,0.002
0.01239,0.002
0.012898,0.002
0.013677,0.002
0.01423,0.002
0.015177,0.002
0.015855,0.002
0.016513,0.002
0.017295,0.002
0.017832,0.002
0.018415,0.002
0.018978,0.002
0.01953,0.002
0.020239,0.002
0.020938,0.002
0.021562,0.002
0.022065,0.002
0.022652,0.002
0.023288,0.002
0.023802,0.002
0.024374,0.002
0.024947,0.002
0.025575,0.002
0.026077,0.002
0.026821,0.002
0.027751,0.002
0.028338,0.002
0.028842,0.002
0.029737,0.002
0.030264,0.002
0.030792,0.002
0.031771,0.002
0.032326,0.002
0.032956,0.002
0.03365,0.002
0.034306,0.002
0.034858,0.002
0.035677,0.002
0.036272,0.002
0.036783,0.002
0.037597,0.002
0.038582,0.002
0.039349,0.002
0.039906,0.002
0.040474,0.002
0.041038,0.002
0.041642,0.002
0.042536,0.002
0.04359,0.002
0.044096,0.002
0.04498,0.002
0.045596,0.002
0.046188,0.002
0.047078,0.002
0.04803,0.002
0.048599,0.002
0.049176,0.002
0.049683,0.002
0.05025,0.002
0.051098,0.002
0.051812,0.002
0.052478,0.002
0.053024,0.002
0.053606,0.002
0.054446,0.002
0.055298,0.002
0.055916,0.002
0.056489,0.002
0.057,0.002
0.057726,0.002
0.05856,0.002
0.059094,0.002
0.059602,0.002
0.060178,0.002
0.060688,0.002
0.061217,0.002
0.061764,0.002
0.062503,0.002
0.063313,0.002
0.064133,0.002
0.065069,0.002
0.065835,0.002
0.066462,0.002
0.067123,0.002
0.067742,0.002
0.068366,0.002
0.069054,0.002
0.069781,0.002
0.070477,0.002
0.070999,0.002
0.071763,0.002
0.072314,0.002
0.073158,0.002
0.073698,0.002
0.074278,0.002
0.074785,0.002
0.07535,0.002
0.076067,0.002
0.0766,0.002
0.077111,0.002
0.077665,0.002
0.078198,0.002
0.078758,0.002
0.079276,0.002
0.079887,0.002
0.080408,0.002
0.080927,0.002
0.081559,0.002
0.082078,0.002
0.082744,0.002
0.083249,0.002
0.083802,0.002
0.084394,0.002
0.085015,0.002
0.086011,0.002
0.08654,0.002
0.08713,0.002
0.08824,0.002
