frame,value
0,13
0,15
0,11
0.000932,17
0.000932,13
0.002219,18
0.002219,12
0.003375,18
0.003375,14
0.00487,18
0.00487,9
0.005697,18
0.005697,11
0.006745,18
0.006745,12
0.008021,18
0.008021,10
0.008985,17
0.008985,9
0.009684,18
0.009684,9
0.010422,17
0.010422,11
0.011515,17
0.011515,8
0.012234,17
0.012234,7
0.012878,17
0.012878,8
0.013573,17
0.013573,11
0.014751,17
0.014751,11
0.015765,18
0.015765,17
0.015765,7
0.016371,17
0.016371,11
0.017502,17
0.017502,16
0.017502,6
0.018098,16
0.018098,7
0.018681,16
0.018681,8
0.01931,16
0.01931,16
0.01931,6
0.019845,17
0.019845,16
0.019845,16
0.019845,7
0.020433,17
0.020433,16
0.020433,16
0.020433,7
0.02102,17
0.02102,16
0.02102,7
0.021606,16
0.021606,16
0.021606,7
0.022188,17
0.022188,16
0.022188,7
0.022767,16
0.022767,16
0.022767,16
0.022767,10
0.023704,16
0.023704,8
0.024375,16
0.024375,16
0.024375,16
0.024375,8
0.025184,16
0.025184,9
0.025994,16
0.025994,8
0.026627,16
0.026627,16
0.026627,16
0.026627,11
0.027687,16
0.027687,16
0.027687,6
0.028208,17
0.028208,17
0.028208,7
0.02884,16
0.02884,16
0.02884,7
0.029419,17
0.029419,17
0.029419,17
0.029419,7
0.029958,18
0.029958,17
0.029958,7
0.030554,17
0.030554,8
0.03117,17
0.03117,8
0.031965,16
0.031965,16
0.031965,16
0.031965,8
0.032634,17
0.032634,17
0.032634,7
0.033153,18
0.033153,18
0.033153,8
0.033813,17
0.033813,17
0.033813,7
0.034364,19
0.034364,18
0.034364,9
0.035138,17
0.035138,17
0.035138,17
0.035138,8
0.035746,17
0.035746,18
0.035746,8
0.036392,17
0.036392,17
0.036392,7
0.036915,19
0.036915,18
0.036915,8
0.037526,19
0.037526,18
0.037526,18
0.037526,11
0.038564,17
0.038564,17
0.038564,7
0.03912,18
0.03912,18
0.03912,8
0.039774,17
0.039774,18
0.039774,18
0.039774,7
0.040323,19
0.040323,18
0.040323,18
0.040323,7
0.040846,18
0.040846,18
0.040846,17
0.040846,7
0.04137,18
0.04137,17
0.04137,17
0.04137,7
0.041904,17
0.041904,17
0.041904,17
0.041904,8
0.042669,17
0.042669,17
0.042669,6
0.043194,18
0.043194,18
0.043194,17
0.043194,7
0.043729,18
0.043729,17
0.043729,7
0.044251,17
0.044251,18
0.044251,17
0.044251,10
0.045301,17
0.045301,18
0.045301,17
0.045301,7
0.045827,17
0.045827,17
0.045827,18
0.045827,17
0.045827,9
0.046718,17
0.046718,17
0.046718,17
0.046718,17
0.046718,8
0.047358,17
0.047358,17
0.047358,17
0.047358,7
0.047868,17
0.047868,17
0.047868,17
0.047868,17
0.047868,7
0.04844,17
0.04844,17
0.04844,17
0.04844,17
0.04844,7
0.048966,17
0.048966,17
0.048966,17
0.048966,7
0.049535,17
0.049535,17
0.049535,17
0.049535,17
0.049535,9
0.050238,16
0.050238,17
0.050238,17
0.050238,17
0.050238,8
0.050839,17
0.050839,17
0.050839,17
0.050839,17
0.050839,8
0.051525,17
0.051525,16
0.051525,17
0.051525,7
0.052181,16
0.052181,16
0.052181,17
0.052181,8
0.052818,17
0.052818,17
0.052818,17
0.052818,8
0.053402,17
0.053402,17
0.053402,16
0.053402,9
0.054183,17
0.054183,17
0.054183,17
0.054183,7
0.054739,17
0.054739,17
0.054739,17
0.054739,9
0.055448,17
0.055448,16
0.055448,16
0.055448,9
0.056181,17
0.056181,17
0.056181,8
0.056758,17
0.056758,18
0.056758,17
0.056758,9
0.05743,17
0.05743,7
0.057941,18
0.057941,17
0.057941,7
0.058459,17
0.058459,17
0.058459,7
0.05897,17
0.05897,17
0.05897,17
0.05897,9
0.059663,17
0.059663,17
0.059663,17
0.059663,8
0.060294,17
0.060294,17
0.060294,17
0.060294,9
0.060978,17
0.060978,17
0.060978,17
0.060978,10
0.061782,18
0.061782,18
0.061782,17
0.061782,9
0.062412,18
0.062412,18
0.062412,17
0.062412,7
0.062932,17
0.062932,17
0.062932,17
0.062932,17
0.062932,8
0.06351,17
0.06351,17
0.06351,17
0.06351,16
0.06351,7
0.064042,17
0.064042,17
0.064042,16
0.064042,13
0.064746,17
0.064746,17
0.064746,16
0.064746,16
0.064746,11
0.06546,17
0.06546,17
0.06546,16
0.06546,16
0.06546,14
