frame,value
0,0.1278479
0,0.2338312
0,0.1658709
0.000664,0.4490777
0.000664,0.1246158
0.001562,0.4006482
0.001562,0.1525377
0.002363,0.4704243
0.002363,0.09474321
0.003304,0.5384089
0.003304,0.08308974
0.004381,0.5327793
0.004381,0.05449829
0.005446,0.5165733
0.005446,0.07527718
0.006479,0.4872181
0.006479,0.07617919
0.007454,0.3548411
0.007454,0.06612322
0.008164,0.460578
0.008164,0.06591374
0.009085,0.2901248
0.009085,0.07066949
0.009665,0.4096841
0.009665,0.06834053
0.010484,0.4226775
0.010484,0.06822847
0.01133,0.2816732
0.01133,0.06861909
0.011893,0.3648069
0.011893,0.06960008
0.012623,0.3857439
0.012623,0.07000601
0.013394,0.1773372
0.013394,0.1682742
0.013394,0.1379207
0.014026,0.1000355
0.014026,0.7467594
0.014026,0.06412078
0.01557,0.350853
0.01557,0.05867293
0.016272,0.1692074
0.016272,0.1461947
0.016272,0.1641051
0.016853,0.1005354
0.016853,0.4060031
0.016853,0.05171735
0.017784,0.3119677
0.017784,0.05004845
0.018408,0.4887888
0.018408,0.06738634
0.019386,0.2284096
0.019386,0.1153532
0.019386,0.1956628
0.020021,0.0964134
0.020021,0.3576649
0.020021,0.05418126
0.02086,0.6868877
0.02086,0.06704737
0.021504,0.4424383
0.021504,0.05258988
0.022389,0.3173313
0.022389,0.1082187
0.022977,0.06820145
0.022977,0.6906244
0.022977,0.07599564
0.024401,0.1127799
0.024401,0.2125166
0.024401,0.08475997
0.025003,0.467288
0.025003,0.09929474
0.025604,0.1131876
0.025604,0.256545
0.025604,0.07325328
0.026286,0.5921595
0.026286,0.08520363
0.026901,0.2130669
0.026901,0.0652073
0.026901,0.2245432
0.02743,0.06969808
0.02743,0.2076487
0.02743,0.1229439
0.027956,0.2243088
0.027956,0.1179001
0.027956,0.1785317
0.028587,0.1275131
0.028587,0.2219861
0.028587,0.06772673
0.02923,0.3378169
0.02923,0.07061809
0.029905,0.2709156
0.029905,0.06203007
0.030447,0.3799283
0.030447,0.05888649
0.031207,0.5009841
0.031207,0.08950494
0.031207,0.1673656
0.031805,0.08466121
0.031805,0.7270044
0.031805,0.0597966
0.033137,0.4273371
0.033137,0.08117701
0.033967,0.2589129
0.033967,0.0808015
0.034485,0.3828668
0.034485,0.06592171
0.03525,0.2508213
0.03525,0.0718451
0.035752,0.3085513
0.035752,0.06586288
0.036369,0.3189853
0.036369,0.08390827
0.036877,0.2859904
0.036877,0.06025397
0.037449,0.7525522
0.037449,0.06310318
0.03849,0.1612313
0.03849,0.07960217
0.03849,0.2715138
0.03849,0.0323917
0.039358,0.1143088
0.039358,0.06236935
0.039358,0.2826684
0.039358,0.03186169
0.040167,0.09967802
0.040167,0.0905235
0.040167,0.1263928
0.040167,0.06503194
0.040736,0.3349076
0.040736,0.07768978
0.040736,0.3684956
0.040736,0.03393796
0.041762,0.1089125
0.041762,0.2530009
0.041762,0.09742264
0.04243,0.2705155
0.04243,0.1222454
0.04243,0.2290849
0.042991,0.06722818
