frame,value
0,0
1,1205
2,1654
3,1343
4,2576
5,3117
6,2993
7,3353
8,3565
9,3658
10,3207
11,2608
12,1886
13,1935
14,1531
15,1595
16,446
17,197
18,427
19,239
20,167
21,399
22,247
23,463
24,189
25,348
26,170
27,237
28,465
29,230
30,173
31,175
32,178
33,184
34,354
35,119
36,181
37,174
38,240
39,117
40,181
41,180
42,294
43,182
44,119
45,364
46,117
47,186
48,469
49,179
50,382
51,184
52,474
53,267
54,460
55,271
56,489
57,203
58,182
59,446
60,199
61,391
62,171
63,442
64,169
65,173
66,107
67,108
68,337
69,356
70,173
71,164
72,329
73,161
74,164
75,158
76,208
77,162
78,157
79,102
80,200
81,385
82,218
83,329
84,170
85,421
86,267
87,330
88,301
89,174
90,303
91,678
92,255
93,268
94,643
95,291
96,522
97,216
98,209
99,284
100,416
101,207
102,332
103,204
104,342
105,195
106,460
107,192
108,381
109,191
110,195
111,317
112,193
113,192
114,234
115,184
116,117
117,326
118,130
119,209
120,208
121,209
122,565
123,206
124,664
125,383
126,709
127,1098
128,1660
129,4674
130,3730
131,1308
132,209
133,358
134,539
135,574
136,308
137,305
138,632
139,193
140,390
141,192
142,255
143,622
144,182
145,378
146,276
147,405
148,203
149,471
150,270
151,391
152,270
153,189
154,192
155,197
156,205
157,336
158,199
159,118
160,192
161,182
162,719
163,535
164,2006
165,1339
166,574
167,935
168,198
169,202
171,314
172,389
173,204
174,209
175,216
176,303
177,452
178,233
179,234
180,149
181,465
182,321
183,214
184,211
185,538
186,264
187,665
188,329
189,466
190,176
191,108
192,173
194,114
195,109
197,110
199,114
200,108
201,100
204,116
205,194
207,169
209,122
210,100
212,106
214,111
215,98
216,104
218,102
219,103
220,96
222,111
223,92
224,91
225,161
228,115
229,195
232,112
233,96
235,111
236,99
238,163
239,96
242,109
