frame,value
0,1
0.002027,1.003112
0.004624,1.007217
0.007522,1.010807
0.009589,1.012787
0.011793,1.014486
0.013603,1.015818
0.015796,1.017501
0.017801,1.018858
0.019921,1.019658
0.022114,1.019987
0.024191,1.020247
0.025951,1.020201
0.028022,1.020164
0.029978,1.0203
0.031858,1.020479
0.033815,1.020623
0.035965,1.020632
0.038219,1.020555
0.040118,1.020434
0.041931,1.020527
0.043682,1.020359
0.045544,1.020137
0.04742,1.0199
0.049238,1.020089
0.051009,1.020136
0.052792,1.019898
0.054572,1.019644
0.05659,1.019457
0.058772,1.019305
0.060615,1.01914
0.062585,1.019007
0.064354,1.019249
0.066512,1.019084
0.068337,1.018938
0.070183,1.018788
0.072079,1.018641
0.074183,1.018504
0.075988,1.018448
0.077946,1.018417
0.079724,1.018326
0.081818,1.01827
0.08364,1.018821
0.085488,1.018771
0.087311,1.018776
0.089317,1.018875
0.091337,1.019062
0.093294,1.019306
0.095061,1.019672
0.096958,1.02014
0.09892,1.020743
0.100912,1.021384
0.102664,1.02255
0.104418,1.023259
0.106276,1.024136
0.108275,1.025143
0.110131,1.026286
0.112092,1.027514
0.11395,1.028678
0.115814,1.029945
0.117784,1.031322
0.119551,1.032544
0.121371,1.03377
0.123183,1.034992
0.125096,1.036054
0.126851,1.037057
0.128677,1.037753
0.130655,1.038301
0.132444,1.038664
0.134293,1.038921
0.136275,1.039219
0.138026,1.039219
0.139794,1.039272
0.141628,1.039136
0.14349,1.039347
0.145245,1.039498
0.147172,1.039536
0.149103,1.039651
0.151039,1.039392
0.16182,1.034602
0.172731,1.030382
0.183996,1.02673
0.194106,1.023901
0.204711,1.021462
0.214729,1.019828
0.225217,1.017851
0.235572,1.016558
0.245672,1.015854
0.256827,1.015053
0.267248,1.014639
0.279391,1.01412
0.290286,1.01375
0.30264,1.013624
0.312791,1.013562
0.323572,1.013599
0.333597,1.013604
0.343734,1.013694
0.353854,1.01378
0.363874,1.013851
0.374365,1.013922
0.384498,1.014041
0.394548,1.01414
0.404553,1.014242
0.416061,1.014417
0.426499,1.014594
0.437311,1.014595
0.44742,1.014573
0.4578,1.014542
0.467966,1.014442
0.47824,1.014349
0.488319,1.014327
