frame,value
0,19
0,51
0,86
0,98
0.002027,141
0.002027,131
0.002027,123
0.004624,167
0.004624,177
0.004624,135
0.007522,212
0.007522,216
0.007522,200
0.007522,161
0.009589,226
0.009589,211
0.009589,210
0.009589,160
0.011793,215
0.011793,219
0.011793,216
0.011793,141
0.013603,235
0.013603,233
0.013603,223
0.013603,220
0.013603,157
0.015796,235
0.015796,232
0.015796,232
0.015796,234
0.015796,146
0.017801,245
0.017801,250
0.017801,245
0.017801,248
0.017801,154
0.019921,261
0.019921,256
0.019921,266
0.019921,264
0.019921,246
0.019921,158
0.022114,266
0.022114,254
0.022114,266
0.022114,264
0.022114,150
0.024191,273
0.024191,275
0.024191,272
0.024191,274
0.024191,277
0.024191,134
0.025951,286
0.025951,283
0.025951,280
0.025951,275
0.025951,159
0.028022,287
0.028022,276
0.028022,287
0.028022,279
0.028022,101
0.029978,292
0.029978,283
0.029978,285
0.029978,253
0.029978,252
0.029978,138
0.031858,286
0.031858,287
0.031858,244
0.031858,253
0.031858,242
0.031858,244
0.031858,120
0.033815,289
0.033815,242
0.033815,257
0.033815,243
0.033815,249
0.033815,252
0.033815,250
0.033815,127
0.035965,238
0.035965,242
0.035965,241
0.035965,242
0.035965,244
0.035965,118
0.038219,228
0.038219,213
0.038219,213
0.038219,219
0.038219,225
0.038219,137
0.040118,218
0.040118,217
0.040118,218
0.040118,220
0.040118,158
0.041931,217
0.041931,214
0.041931,205
0.041931,207
0.041931,133
0.043682,213
0.043682,211
0.043682,209
0.043682,210
0.043682,210
0.043682,131
0.045544,219
0.045544,214
0.045544,222
0.045544,211
0.045544,228
0.045544,179
0.04742,239
0.04742,214
0.04742,223
0.04742,222
0.04742,225
0.04742,220
0.04742,176
0.049238,239
0.049238,304
0.049238,227
0.049238,229
0.049238,307
0.049238,309
0.049238,205
0.049238,170
0.051009,305
0.051009,230
0.051009,223
0.051009,207
0.051009,204
0.051009,201
0.051009,172
0.052792,211
0.052792,202
0.052792,198
0.052792,209
0.052792,199
0.052792,176
0.054572,203
0.054572,206
0.054572,202
0.054572,218
0.054572,217
0.054572,195
0.05659,207
0.05659,211
0.05659,210
0.05659,209
0.05659,214
0.05659,222
0.05659,215
0.05659,209
0.058772,305
0.058772,316
0.058772,317
0.058772,322
0.058772,301
0.058772,179
0.060615,311
0.060615,304
0.060615,313
0.060615,320
0.060615,316
0.060615,205
0.062585,331
0.062585,345
0.062585,333
0.062585,342
0.062585,197
0.064354,353
0.064354,352
0.064354,354
0.064354,358
0.064354,358
0.064354,368
0.064354,226
0.066512,368
0.066512,369
0.066512,376
0.066512,374
0.066512,368
0.066512,137
0.068337,384
0.068337,368
0.068337,369
0.068337,331
0.068337,335
0.068337,328
0.068337,332
0.068337,202
0.070183,325
0.070183,373
0.070183,384
0.070183,384
0.070183,382
0.070183,193
0.072079,381
0.072079,380
0.072079,380
0.072079,373
0.072079,375
0.072079,382
0.072079,379
0.072079,218
0.074183,382
0.074183,368
0.074183,375
0.074183,385
0.074183,379
0.074183,136
0.075988,381
0.075988,379
0.075988,382
0.075988,381
0.075988,373
0.075988,375
0.075988,380
0.075988,201
0.077946,382
0.077946,383
0.077946,379
0.077946,377
0.077946,380
0.077946,205
0.079724,372
0.079724,367
0.079724,375
0.079724,370
0.079724,375
0.079724,381
0.079724,392
0.079724,388
0.079724,246
0.081818,386
0.081818,382
0.081818,406
0.081818,377
0.081818,367
0.081818,359
0.081818,353
0.081818,133
0.08364,386
0.08364,381
0.08364,376
0.08364,376
0.08364,385
0.08364,368
0.08364,373
0.08364,373
0.08364,204
0.085488,375
0.085488,383
0.085488,375
0.085488,380
0.085488,378
0.085488,383
0.085488,379
0.085488,208
0.087311,373
0.087311,391
0.087311,374
0.087311,382
0.087311,373
0.087311,382
0.087311,377
0.087311,137
0.089317,374
0.089317,377
0.089317,373
0.089317,395
0.089317,363
0.089317,364
0.089317,364
0.089317,229
0.091337,360
0.091337,365
0.091337,370
0.091337,384
0.091337,365
0.091337,353
0.091337,349
0.091337,369
0.091337,366
0.091337,212
0.093294,380
0.093294,354
0.093294,378
0.093294,394
0.093294,366
0.093294,203
0.095061,374
0.095061,385
0.095061,382
0.095061,215
0.095061,209
0.095061,378
0.095061,361
0.095061,211
0.096958,380
0.096958,350
0.096958,354
0.096958,374
0.096958,222
0.096958,341
0.096958,229
0.096958,220
0.09892,217
0.09892,216
0.09892,217
0.09892,230
0.09892,235
0.09892,373
0.09892,221
0.09892,225
0.100912,229
0.100912,243
0.100912,377
0.100912,257
0.100912,252
0.100912,377
0.100912,295
0.100912,376
0.100912,225
0.102664,390
0.102664,380
0.102664,375
0.102664,383
0.102664,379
0.102664,289
0.102664,224
0.104418,388
0.104418,374
0.104418,379
0.104418,389
0.104418,389
0.104418,384
0.104418,386
0.104418,231
0.106276,393
0.106276,397
0.106276,397
0.106276,412
0.106276,417
0.106276,414
0.106276,405
0.106276,165
0.108275,409
0.108275,406
0.108275,401
0.108275,399
0.108275,404
0.108275,407
0.108275,407
0.108275,142
0.110131,410
0.110131,411
0.110131,413
0.110131,405
0.110131,400
0.110131,407
0.110131,399
0.110131,244
0.112092,405
0.112092,402
0.112092,397
0.112092,403
0.112092,402
0.112092,401
0.112092,404
0.112092,245
0.11395,437
0.11395,414
0.11395,445
0.11395,433
0.11395,407
0.11395,396
0.11395,400
0.11395,239
0.115814,402
0.115814,404
0.115814,406
0.115814,415
0.115814,422
0.115814,419
0.115814,423
0.115814,432
0.115814,429
0.115814,239
0.117784,534
0.117784,450
0.117784,430
0.117784,425
0.117784,446
0.117784,444
0.117784,454
0.117784,430
0.117784,440
0.117784,421
0.117784,472
0.117784,528
0.117784,238
0.119551,589
0.119551,642
0.119551,581
0.119551,518
0.119551,528
0.119551,527
0.119551,525
0.119551,526
0.119551,530
0.119551,543
0.119551,578
0.119551,559
0.119551,580
0.119551,579
0.119551,572
0.119551,583
0.119551,445
0.119551,431
0.119551,420
0.119551,257
0.121371,544
0.121371,432
0.121371,555
0.121371,551
0.121371,559
0.121371,447
0.121371,470
0.121371,473
0.121371,533
0.121371,537
