frame,value
0,0.002
0.001123,0.002
0.002407,0.002
0.003846,0.002
0.005224,0.002
0.006566,0.002
0.008559,0.002
0.009607,0.002
0.011049,0.002
0.01207,0.002
0.01293,0.002
0.014008,0.002
0.01507,0.002
0.016193,0.002
0.016986,0.002
0.018111,0.002
0.019112,0.002
0.01973,0.002
0.021433,0.002
0.022661,0.002
0.024456,0.002
0.024967,0.002
0.025734,0.002
0.026521,0.002
0.027157,0.002
0.027913,0.002
0.029136,0.002
0.029846,0.002
0.030748,0.002
0.031433,0.002
0.032364,0.002
0.033216,0.002
0.033821,0.002
0.034594,0.002
0.035314,0.002
0.036695,0.002
0.037253,0.002
0.038399,0.002
0.038958,0.002
0.039931,0.002
0.040834,0.002
0.041383,0.002
0.042294,0.002
0.043018,0.002
0.0442,0.002
0.044979,0.002
0.046218,0.002
0.046939,0.002
0.047635,0.002
0.048424,0.002
0.049301,0.002
0.050486,0.002
0.051141,0.002
0.052296,0.002
0.053072,0.002
0.053864,0.002
0.054909,0.002
0.055538,0.002
0.056224,0.002
0.057209,0.002
0.057879,0.002
0.058658,0.002
0.059686,0.002
0.060289,0.002
0.060879,0.002
0.061521,0.002
0.062087,0.002
0.062769,0.002
0.063288,0.002
0.063901,0.002
0.064678,0.002
0.065261,0.002
0.06586,0.002
0.066421,0.002
0.067097,0.002
0.067644,0.002
0.068247,0.002
0.068852,0.002
0.069507,0.002
0.070135,0.002
0.070777,0.002
0.071417,0.002
0.072014,0.002
0.072826,0.002
0.073382,0.002
0.074226,0.002
0.074877,0.002
0.075402,0.002
0.076207,0.002
0.077055,0.002
0.077575,0.002
0.078115,0.002
0.078774,0.002
0.079747,0.002
0.080355,0.002
0.081348,0.002
0.081983,0.002
0.082534,0.002
0.083194,0.002
0.083792,0.002
0.084567,0.002
0.085319,0.002
0.085923,0.002
0.086599,0.002
0.087156,0.002
0.087791,0.002
0.088472,0.002
0.089013,0.002
0.089536,0.002
0.090329,0.002
0.091077,0.002
0.091647,0.002
0.092294,0.002
0.093101,0.002
