frame,value
0,75
0.001123,50
0.002407,51
0.003846,51
0.005224,52
0.006566,54
0.008559,49
0.009607,51
0.011049,48
0.01207,48
0.01293,49
0.014008,49
0.01507,49
0.016193,47
0.016986,48
0.018111,48
0.019112,45
0.01973,51
0.021433,73
0.022661,51
0.024456,44
0.024967,46
0.025734,46
0.026521,46
0.027157,46
0.027913,50
0.029136,46
0.029846,48
0.030748,46
0.031433,48
0.032364,46
0.033216,46
0.033821,45
0.034594,46
0.035314,49
0.036695,45
0.037253,49
0.038399,44
0.038958,47
0.039931,47
0.040834,45
0.041383,47
0.042294,47
0.043018,49
0.0442,73
0.044979,77
0.046218,72
0.046939,47
0.047635,46
0.048424,48
0.049301,49
0.050486,73
0.051141,78
0.052296,47
0.053072,48
0.053864,49
0.054909,72
0.055538,102
0.056224,77
0.057209,48
0.057879,47
0.058658,50
0.059686,73
0.060289,76
0.060879,47
0.061521,46
0.062087,48
0.062769,47
0.063288,48
0.063901,49
0.064678,73
0.065261,73
0.06586,73
0.066421,74
0.067097,72
0.067644,100
0.068247,101
0.068852,102
0.069507,100
0.070135,101
0.070777,101
0.071417,100
0.072014,76
0.072826,72
0.073382,76
0.074226,46
0.074877,72
0.075402,74
0.076207,49
0.077055,72
0.077575,73
0.078115,48
0.078774,49
0.079747,48
0.080355,49
0.081348,74
0.081983,73
0.082534,75
0.083194,73
0.083792,76
0.084567,47
0.085319,47
0.085923,47
0.086599,74
0.087156,74
0.087791,48
0.088472,47
0.089013,47
0.089536,49
0.090329,49
0.091077,73
0.091647,76
0.092294,102
0.093101,106
0.094179,99
0.094713,130
0.095376,50
0.096106,99
0.096614,128
0.09721,50
0.09815,130
0.099088,125
0.099611,102
0.10013,101
0.100885,126
0.10152,51
0.102271,75
0.10285,100
0.103556,104
0.104552,125
0.105146,73
0.105686,100
0.106232,50
0.106872,130
0.108181,154
0.109224,100
0.109777,100
0.110398,101
0.111041,101
0.111761,101
0.112517,126
0.113089,74
0.113593,99
0.114219,100
0.115024,100
0.115604,101
0.116336,102
0.116988,99
0.117691,71
0.11821,128
0.119025,129
0.12034,128
0.121155,128
0.122436,128
0.123378,73
0.123953,104
0.124891,125
0.125468,77
0.126434,72
0.126982,97
0.127492,101
0.128016,99
0.128784,97
0.12941,99
0.130347,129
0.13155,74
0.132202,125
0.132844,49
0.133502,125
0.134292,71
0.134824,125
0.135557,46
0.136269,95
0.136793,96
0.137327,72
0.137955,70
0.138477,126
0.139038,47
0.139666,125
0.140354,48
0.14092,102
0.141907,101
0.14265,71
0.143153,75
0.14373,99
0.14441,71
0.144957,74
0.145536,101
0.146328,47
0.146966,101
0.147595,49
0.148142,101
0.148901,101
0.149528,103
0.15024,102
0.150935,47
0.15144,101
0.152323,99
0.15287,51
0.153449,104
0.154122,51
0.154798,103
0.155397,103
0.156318,101
0.156841,132
0.157791,104
0.158481,74
0.158987,77
0.159824,102
0.160341,107
0.160887,49
0.161429,104
0.162119,75
0.162648,78
0.16331,102
0.163837,133
0.164786,101
0.165311,104
0.166399,76
0.166983,75
0.167494,100
0.168037,101
0.168569,77
0.169308,101
0.169867,104
0.170757,101
0.171305,131
0.172087,106
0.173003,103
0.173607,109
0.174981,81
0.176093,103
0.176677,102
0.177188,104
0.177696,103
0.17823,106
0.178738,102
0.179252,134
0.179847,132
0.180447,137
0.181511,104
0.182142,50
0.182654,106
0.183584,72
0.184132,98
0.184638,73
0.185187,104
0.186366,98
0.186932,76
0.187599,104
0.188701,99
0.189322,102
0.190118,101
0.191173,98
0.191739,98
0.192281,101
0.193094,47
0.193599,103
0.194652,74
0.195162,77
0.196111,75
0.196756,50
0.197614,100
0.198489,48
0.199021,73
0.199572,99
0.200114,98
0.20062,76
0.201559,96
0.202167,73
0.202704,49
0.203232,102
0.204517,73
0.20513,48
0.205779,101
0.206834,72
0.207413,76
0.20862,71
0.209145,77
0.210446,104
0.211415,48
0.212146,100
0.212946,49
0.213734,102
0.214815,98
0.215416,75
0.216125,49
0.216716,72
0.217296,98
0.217828,76
0.21833,49
0.219108,73
0.219616,75
0.220294,48
0.220842,72
0.221343,100
0.221929,79
0.223037,73
0.223579,75
0.224203,74
0.224784,102
0.22542,78
0.226219,49
0.227068,103
0.227895,50
0.228681,52
0.229768,75
0.230319,102
0.23104,53
0.232225,50
0.232747,51
0.23342,50
0.234305,48
0.23489,74
0.235432,79
0.236947,75
0.237558,106
0.239079,78
0.240044,50
0.240923,51
0.241582,51
0.242457,76
0.24305,77
0.243643,52
0.244375,50
0.245035,49
0.245564,51
0.246167,76
0.246752,79
0.247308,50
0.247926,77
0.248525,80
0.249242,53
0.250071,200
0.260404,198
0.27334,186
0.286395,172
0.299509,168
0.311536,167
0.323319,178
0.33471,171
0.345359,240
0.357719,249
0.368053,184
0.377682,250
0.389509,239
0.403616,174
0.420482,159
0.43147,228
0.446129,158
0.458037,166
0.469983,101
0.479766,163
0.49544,215
0.507837,161
0.522003,102
0.532469,102
0.542627,107
0.555585,105
0.56623,104
0.576377,103
0.586582,103
0.596861,163
0.606983,164
0.620178,103
0.629542,160
0.640735,163
0.65325,162
0.663705,167
0.677153,107
0.691731,163
0.701952,162
0.713759,106
0.724186,102
0.733708,161
0.745118,162
0.75739,163
0.76972,161
0.78115,107
0.791249,103
0.801254,157
0.813284,161
0.826308,161
0.837423,159
0.857222,164
0.869042,226
0.882513,161
0.895971,163
0.90665,103
0.916209,158
0.929036,157
0.940823,157
0.954121,161
0.970601,99
0.981012,158
0.993608,160
1.005441,156
1.017167,155
1.02937,157
1.043903,97
1.053742,97
1.064735,96
1.07433,150
1.087264,151
1.100134,150
1.113908,148
1.128843,92
1.140002,149
1.153888,147
1.168022,97
1.188376,96
1.203238,92
1.212663,148
1.227146,96
1.243011,96
1.258212,149
1.274394,91
1.284946,148
1.301234,90
1.310544,148
1.326828,96
1.345725,98
1.365697,90
1.375206,92
1.388744,152
1.402753,163
1.41812,179
1.429331,189
1.439287,180
1.449398,243
1.46329,108
1.473569,220
1.483507,286
1.493734,286
1.505052,226
1.51544,239
1.52729,182
1.537421,187
1.550044,260
1.559722,345
1.573704,354
1.584397,275
1.597675,197
1.607505,193
1.617867,194
1.629406,201
1.640435,199
1.651452,200
1.664673,204
1.676654,275
1.687378,272
1.700144,272
1.710856,273
1.724288,211
1.735458,215
1.747385,129
1.756889,198
1.768776,118
1.778247,184
1.792747,114
1.804495,252
1.822903,192
1.833261,196
1.849058,123
1.86017,124
1.871622,116
1.881579,117
1.895964,180
1.911493,110
1.922014,187
1.945471,201
1.962788,200
1.974286,206
1.991138,204
2.007388,198
2.021604,124
2.032002,204
2.04858,211
2.058653,302
2.073789,297
2.087834,302
2.098105,307
2.108999,378
2.121156,1275
2.130718,2446
2.139979,1866
2.150005,2677
2.15975,1460
2.169613,972
2.179604,643
2.191383,279
2.203469,348
2.212856,341
2.224797,261
2.236352,245
2.248846,310
2.259478,233
2.27367,167
2.283106,178
2.297098,179
2.311681,181
2.323237,186
2.336483,186
2.350953,176
2.360244,300
2.37109,298
2.380788,305
2.393111,178
2.40308,248
2.416538,190
2.427461,282
2.437378,284
2.452339,197
2.464562,193
2.476544,261
2.489283,256
2.502093,184
2.51286,276
2.524539,194
2.538685,178
2.55048,184
2.56195,188
2.57246,199
2.591011,129
2.603824,199
2.618273,125
2.629219,261
2.64392,186
2.658218,246
2.671808,244
2.684593,240
2.695221,374
2.704541,439
2.715329,725
2.724607,791
2.735345,578
2.745757,609
2.755103,326
2.767039,333
2.776786,261
2.787567,184
2.796954,329
2.809231,321
2.819692,182
2.831275,197
2.846954,117
2.856368,112
2.866485,184
2.882086,187
2.894016,193
2.910042,201
2.921883,127
2.931893,207
2.942459,214
2.955377,221
2.965428,229
2.980822,149
2.991719,139
3.001015,222
3.015905,216
3.028248,290
3.040789,203
3.051878,199
3.064043,195
3.075232,189
3.086238,181
3.098442,184
3.110084,249
3.124374,306
3.134507,227
3.145893,159
3.156562,160
3.169973,106
3.187309,98
3.20236,163
3.2262,97
3.243782,95
3.260334,101
3.282947,102
3.307627,106
3.3369,104
3.365464,109
3.402464,109
3.439464,106
3.472835,107
3.509236,96
3.529152,107
3.566152,88
3.57878,160
3.615619,108
