frame,value
0,0.3612893
0,0.5831996
0.000723,0.76678
0.000723,0.4483828
0.002256,0.6911058
0.002256,0.3309098
0.003638,0.8571906
0.003638,0.2241005
0.005353,1
0.005353,0.2237115
0.007353,0.9425055
0.007353,0.1913134
0.009238,0.8702334
0.009238,0.3799435
0.010978,0.3486388
0.010978,0.2812975
0.011675,0.3144511
0.011675,0.2426138
0.012304,0.6852672
0.012304,0.1696534
0.013675,0.3814345
0.013675,0.2323584
0.014438,0.6743687
0.014438,0.1765638
0.015787,0.3755553
0.015787,0.2209575
0.016538,0.7292663
0.016538,0.2049836
0.017206,0.8073489
0.017206,0.1204236
0.01882,0.3192084
0.01882,0.3717792
0.019459,0.1687637
0.019459,0.4161122
0.019459,0.3443215
0.020488,0.2088111
0.020488,0.3132021
0.020488,0.1773165
0.021401,0.3844055
0.021401,0.1624932
0.02217,0.4830702
0.02217,0.1440957
0.023136,0.7162595
0.023136,0.1318949
0.024569,0.2595305
0.024569,0.1531936
0.025088,0.7789613
0.025088,0.1304612
0.026646,0.8956539
0.026646,0.1792767
0.027155,0.7279382
0.027155,0.1159813
0.028443,0.403905
0.028443,0.1134285
0.029251,0.6699874
0.029251,0.1122037
0.030591,1
0.030591,0.1106032
0.032227,0.6894575
0.032227,0.1133496
0.033606,0.7250922
0.033606,0.1169009
0.034977,0.5586874
0.034977,0.1094423
0.035911,0.9048648
0.035911,0.09754067
0.037383,0.23208
0.037383,0.2201536
0.037383,0.1195092
0.038185,0.3628611
0.038185,0.1079006
0.038911,0.5879077
0.038911,0.1081719
0.040087,0.4833786
0.040087,0.09481256
0.041054,1
0.041054,0.1169959
0.041803,0.5855902
0.041803,0.09300897
0.042974,0.4997976
0.042974,0.1366457
0.043974,0.1868809
0.043974,0.1392291
0.043974,0.1830308
0.044574,0.1359749
0.044574,0.2089916
0.044574,0.1086183
0.045207,0.4421611
0.045207,0.09032585
0.046092,0.8710853
0.046092,0.1012722
0.047114,0.5744675
0.047114,0.09285194
0.047947,0.5141283
0.047947,0.09077446
0.048926,0.4863436
0.048926,0.09094969
0.049899,0.5037544
