frame,value
0,8.684297e-06
0,9.994124e-06
0.00058,9.548521e-06
0.00058,9.980427e-06
0.001828,9.594318e-06
0.001828,9.663491e-06
0.003003,9.624046e-06
0.003003,9.919941e-06
0.004827,9.606143e-06
0.004827,9.890408e-06
0.00662,9.993536e-06
0.00662,9.706896e-06
0.008025,9.681233e-06
0.008025,9.467752e-06
0.009011,9.8329e-06
0.009011,9.960057e-06
0.010632,9.891805e-06
0.010632,9.759467e-06
0.011574,9.832452e-06
0.011574,9.562178e-06
0.01228,9.768247e-06
0.01228,9.732017e-06
0.012804,9.973036e-06
0.012804,9.707986e-06
0.013552,9.778919e-06
0.013552,9.837929e-06
0.014544,9.886564e-06
0.014544,9.944156e-06
0.015309,9.983556e-06
0.015309,9.956528e-06
0.015994,9.805049e-06
0.015994,9.708264e-06
0.016745,9.692741e-06
0.016745,9.553429e-06
0.017445,9.960891e-06
0.017445,9.631186e-06
0.01817,9.888049e-06
0.01817,9.437301e-06
0.019,9.678365e-06
0.019,9.331898e-06
0.019801,9.956271e-06
0.019801,9.616949e-06
0.019801,9.54056e-06
0.02059,9.759859e-06
0.02059,9.888908e-06
0.02059,9.28055e-06
0.021344,9.87805e-06
0.021344,9.952535e-06
0.022274,9.760337e-06
0.022274,8.99905e-06
0.023116,9.888888e-06
0.023116,9.884846e-06
0.024211,9.516722e-06
0.024211,9.601445e-06
0.025071,9.552459e-06
0.025071,9.63934e-06
0.02629,9.663886e-06
0.02629,9.780001e-06
0.027113,9.516726e-06
0.027113,9.284056e-06
0.027717,9.646697e-06
0.027717,9.426041e-06
0.028544,9.71368e-06
0.028544,9.919367e-06
0.029529,9.378811e-06
0.029529,9.836533e-06
0.03122,9.584056e-06
0.03122,9.904252e-06
0.032313,9.753422e-06
0.032313,9.887794e-06
0.033533,9.69997e-06
0.033533,8.93632e-06
0.034209,9.999918e-06
0.034209,9.399933e-06
0.035101,9.694196e-06
0.035101,9.766167e-06
0.036215,9.496507e-06
0.036215,9.525515e-06
0.036914,9.86717e-06
0.036914,9.571948e-06
0.038115,9.26466e-06
0.038115,9.354969e-06
0.038971,9.739077e-06
0.038971,9.259423e-06
0.040606,9.951898e-06
0.040606,9.984154e-06
0.040606,9.616436e-06
0.041248,9.640773e-06
0.041248,9.705335e-06
0.041248,9.48947e-06
0.04185,9.891697e-06
0.04185,9.754882e-06
0.04185,9.563219e-06
0.042434,9.321781e-06
0.042434,9.498365e-06
0.043018,9.737171e-06
0.043018,9.58921e-06
0.044536,9.861521e-06
0.044536,8.825214e-06
0.045059,9.563824e-06
0.045059,9.661991e-06
0.045059,9.700592e-06
0.045702,9.831361e-06
0.045702,9.12168e-06
0.046755,9.852719e-06
0.046755,9.684903e-06
0.0474,9.587593e-06
0.0474,8.761029e-06
0.04794,9.476572e-06
0.04794,9.830079e-06
0.049428,9.746145e-06
0.049428,9.262923e-06
0.050302,9.468464e-06
0.050302,9.803809e-06
0.050302,9.079949e-06
0.050944,9.748625e-06
0.050944,9.716712e-06
0.051471,9.643153e-06
0.051471,9.460731e-06
0.052183,9.345954e-06
0.052183,9.385072e-06
0.052819,9.800557e-06
0.052819,9.687961e-06
0.053793,9.982772e-06
0.053793,9.744172e-06
0.054958,9.603325e-06
0.054958,9.901592e-06
0.056085,9.710918e-06
0.056085,9.884133e-06
0.056085,9.243385e-06
0.056697,9.729197e-06
0.056697,9.472894e-06
0.056697,9.392467e-06
0.057214,9.694608e-06
0.057214,9.499701e-06
0.057214,9.356521e-06
0.057811,9.603455e-06
0.057811,9.688772e-06
0.057811,9.322244e-06
0.058439,9.520822e-06
0.058439,9.83719e-06
0.058439,9.412879e-06
0.059429,9.779181e-06
0.059429,9.025573e-06
0.060003,9.416913e-06
0.060003,9.954081e-06
0.06093,9.335601e-06
0.06093,9.750865e-06
0.06149,9.1567e-06
0.06149,9.00886e-06
0.062146,9.658147e-06
0.062146,9.564863e-06
0.062836,9.929036e-06
0.062836,9.416191e-06
0.063501,9.356429e-06
0.063501,9.405763e-06
0.064082,9.552736e-06
0.064082,9.553549e-06
0.065083,9.357447e-06
0.065083,9.44904e-06
0.066086,9.607375e-06
0.066086,9.950046e-06
0.067076,9.821641e-06
0.067076,9.581796e-06
0.067076,9.2678e-06
0.067672,9.94309e-06
0.067672,9.89924e-06
0.067672,9.01473e-06
0.068212,9.66048e-06
0.068212,9.479297e-06
0.068715,9.800515e-06
0.068715,9.814471e-06
0.068715,9.843365e-06
0.069328,9.683223e-06
0.069328,9.806034e-06
0.069328,9.783542e-06
0.069328,8.978353e-06
0.070033,9.860833e-06
0.070033,9.451089e-06
0.070033,9.928289e-06
0.070033,8.877524e-06
0.070668,9.551891e-06
0.070668,9.482406e-06
0.070668,9.847028e-06
0.070668,9.895679e-06
0.071225,9.531915e-06
0.071225,9.913389e-06
0.071225,9.192857e-06
0.071751,9.283455e-06
0.071751,8.76694e-06
0.072278,9.57392e-06
0.072278,9.434991e-06
0.072278,9.547512e-06
0.072813,9.697396e-06
0.072813,9.411963e-06
0.072813,9.524677e-06
0.073566,9.506703e-06
0.073566,9.697133e-06
0.073566,9.880282e-06
0.073566,9.049574e-06
0.074384,9.70838e-06
0.074384,9.998053e-06
0.074384,9.983572e-06
0.074914,9.62597e-06
0.074914,9.873139e-06
0.074914,9.538437e-06
0.074914,9.723439e-06
0.075568,9.625478e-06
0.075568,9.884116e-06
0.075568,9.955737e-06
0.075568,9.716426e-06
0.076194,9.80838e-06
0.076194,9.54621e-06
0.076194,9.452075e-06
0.076194,8.933795e-06
0.076812,9.829834e-06
0.076812,9.504089e-06
0.076812,8.670399e-06
0.077411,9.619353e-06
0.077411,9.641882e-06
0.077927,9.905756e-06
0.077927,9.950104e-06
0.077927,9.415107e-06
0.078535,9.991492e-06
0.078535,9.803161e-06
0.078535,8.710079e-06
0.079146,9.94976e-06
0.079146,9.703594e-06
0.079668,9.933743e-06
0.079668,9.888469e-06
0.079668,8.631979e-06
0.080194,9.689485e-06
0.080194,9.874329e-06
0.080194,9.74138e-06
0.080194,9.914136e-06
0.081088,9.718551e-06
0.081088,9.657162e-06
0.081088,9.993926e-06
0.081088,9.426181e-06
0.08171,9.43486e-06
0.08171,9.63331e-06
0.08171,9.014801e-06
0.082354,9.560457e-06
0.082354,9.743934e-06
0.082354,8.930871e-06
0.082951,9.439787e-06
0.082951,9.571858e-06
0.082951,9.373393e-06
