frame,value
0,0.2901523
0.00058,0.6238309
0.001828,0.5877295
0.003003,0.9117853
0.004827,0.896632
0.00662,0.7024688
0.008025,0.4930175
0.009011,0.8101822
0.010632,0.4710855
0.011574,0.3533494
0.01228,0.2617277
0.012804,0.373975
0.013552,0.4961983
0.014544,0.3825061
0.015309,0.3422593
0.015994,0.3756011
0.016745,0.349875
0.017445,0.3625577
0.01817,0.4151203
0.019,0.4005137
0.019801,0.3945068
0.02059,0.3770503
0.021344,0.4651025
0.022274,0.4208662
0.023116,0.5474308
0.024211,0.4300127
0.025071,0.6095638
0.02629,0.4113719
0.027113,0.3018048
0.027717,0.4137703
0.028544,0.4925444
0.029529,0.8456395
0.03122,0.5460609
0.032313,0.609987
0.033533,0.3383289
0.034209,0.4456962
0.035101,0.5573037
0.036215,0.3494024
0.036914,0.6007015
0.038115,0.4277863
0.038971,0.8173935
0.040606,0.3210595
0.041248,0.3012555
0.04185,0.2920285
0.042434,0.2918552
0.043018,0.7590576
0.044536,0.2613577
0.045059,0.3215138
0.045702,0.5267121
0.046755,0.3220329
0.0474,0.2700854
0.04794,0.7442282
0.049428,0.4367247
0.050302,0.3211093
0.050944,0.2637537
0.051471,0.355633
0.052183,0.3183622
0.052819,0.4866804
0.053793,0.5825446
0.054958,0.5636486
0.056085,0.3060073
0.056697,0.2582149
0.057214,0.2986513
0.057811,0.313895
0.058439,0.4952958
0.059429,0.2870472
0.060003,0.4633872
0.06093,0.2799842
0.06149,0.3279239
0.062146,0.344992
0.062836,0.3323553
0.063501,0.2909117
0.064082,0.5002595
0.065083,0.5015441
0.066086,0.4949585
0.067076,0.2980036
0.067672,0.2700748
0.068212,0.2512513
0.068715,0.3067729
0.069328,0.3526227
0.070033,0.317231
0.070668,0.2788124
0.071225,0.262524
0.071751,0.2635164
0.072278,0.2676277
0.072813,0.3763674
0.073566,0.409396
0.074384,0.2648633
0.074914,0.3267352
0.075568,0.3130253
0.076194,0.309262
0.076812,0.2995622
0.077411,0.2580328
0.077927,0.3039777
0.078535,0.3052781
0.079146,0.2609037
0.079668,0.2631065
0.080194,0.447315
0.081088,0.3107017
0.08171,0.3220247
0.082354,0.2983191
0.082951,0.3897288
0.08373,0.3360077
0.084402,0.3267701
0.085056,0.4552619
0.085966,0.2793278
0.086525,0.4690002
0.087463,0.290737
0.088044,0.2728357
0.08859,0.3021969
0.089194,0.3015656
0.089797,0.3381882
0.090474,0.2727098
0.091019,0.5568689
0.092133,0.3099162
0.092753,0.2645055
0.093282,0.4388716
0.09416,0.3145205
0.094789,0.2568956
0.095302,0.3585763
0.09602,0.3852993
0.09679,0.2551089
0.0973,0.2850454
0.09787,0.4791218
0.098829,0.2539292
0.099337,0.2664971
0.09987,0.4926009
0.100855,0.3468416
0.101548,0.4481338
0.102445,0.2608753
0.102966,0.381579
0.10373,0.2780909
0.104286,0.2568513
0.104799,0.3670843
0.105534,0.4868899
0.106507,0.3751208
0.107258,0.3710033
0.108,0.2755879
0.108551,0.2591137
0.109069,0.2941476
0.109657,0.3211327
0.1103,0.4111071
