frame,value
0,1
0,1
0.000864,1
0.000864,1
0.002615,1
0.002615,1
0.004222,1
0.004222,1
0.006171,1
0.006171,1
0.008171,1
0.008171,1
0.009477,1
0.009477,1
0.01131,1
0.01131,1
0.01275,1
0.01275,1
0.013385,1
0.013385,1
0.013958,1
0.013958,1
0.015114,1
0.015114,1
0.016164,1
0.016164,1
0.017621,1
0.017621,1
0.019621,1
0.019621,1
0.020489,1
0.020489,1
0.021183,1
0.021183,1
0.022991,1
0.022991,1
0.023655,1
0.023655,1
0.025257,1
0.025257,1
0.025813,1
0.025813,1
0.026684,1
0.026684,1
0.027732,1
0.027732,1
0.029732,1
0.029732,1
0.031041,1
0.031041,1
0.031041,1
0.031961,1
0.031961,1
0.031961,1
0.03275,1
0.03275,1
0.03275,1
0.033469,1
0.033469,1
0.03397,1
0.03397,1
0.034741,1
0.034741,1
0.035556,1
0.035556,1
0.03626,1
0.03626,1
0.03681,1
0.03681,1
0.037531,1
0.037531,1
0.03817,1
0.03817,1
0.038743,1
0.038743,1
0.03931,1
0.03931,1
0.039868,1
0.039868,1
0.040442,1
0.040442,1
0.041065,1
0.041065,1
0.041741,1
0.041741,1
0.042463,1
0.042463,1
0.043199,1
0.043199,1
0.043927,1
0.043927,1
0.044596,1
0.044596,1
0.045269,1
0.045269,1
0.046,1
0.046,1
0.04671,1
0.04671,1
0.047465,1
0.047465,1
0.048167,2
0.048167,1
0.048934,2
0.048934,1
0.049709,2
0.049709,1
0.050522,2
0.050522,1
0.051317,2
0.051317,1
0.052163,2
0.052163,1
0.052806,2
0.052806,1
0.053431,2
0.053431,1
0.054178,2
0.054178,2
0.054178,1
0.054852,2
0.054852,2
0.054852,1
0.055492,2
0.055492,2
0.055492,1
0.056164,2
0.056164,2
0.056164,1
0.056776,2
0.056776,2
0.056776,1
0.057433,2
0.057433,1
0.058123,2
0.058123,1
0.059135,2
0.059135,1
0.059875,2
0.059875,1
0.060752,2
0.060752,1
0.061456,2
0.061456,1
0.06207,2
0.06207,2
0.062938,2
0.062938,2
0.064021,2
0.064021,2
0.065161,2
0.065161,2
0.065946,2
0.065946,1
0.066644,2
0.066644,2
0.06743,2
0.06743,2
0.06743,1
0.06812,2
0.06812,2
0.06812,2
0.06812,2
0.069102,2
0.069102,2
0.069102,1
0.069732,2
0.069732,2
0.069732,1
0.070481,2
0.070481,1
0.071006,2
0.071006,2
0.071006,1
0.07162,2
0.07162,2
0.07162,1
0.072329,2
0.072329,2
0.072329,2
0.072986,2
0.072986,2
0.072986,1
0.073545,2
0.073545,2
0.073545,2
0.074136,2
0.074136,2
0.074136,2
0.074136,2
0.07491,2
0.07491,2
0.07491,1
0.075622,2
0.075622,2
0.075622,2
0.076277,2
0.076277,2
0.076277,2
0.076884,2
0.076884,2
0.076884,2
0.077493,2
0.077493,2
0.077493,1
0.078028,2
0.078028,2
0.078614,2
0.078614,2
0.079274,2
0.079274,2
0.079902,2
0.079902,2
0.080601,2
0.080601,2
0.081322,2
0.081322,1
0.081952,2
0.081952,1
0.082548,2
0.082548,1
0.083191,2
0.083191,2
0.083191,1
0.083827,2
0.083827,2
0.083827,1
0.084417,2
0.084417,2
0.084417,1
0.085058,2
0.085058,2
0.085058,1
0.085645,2
0.085645,2
0.085645,1
0.086287,2
0.086287,2
0.086287,1
0.087094,2
0.087094,2
0.087094,1
0.087609,2
0.087609,2
0.087609,1
0.088135,2
0.088135,2
0.088135,1
0.088735,2
0.088735,2
0.088735,1
0.089473,2
0.089473,1
0.090112,2
0.090112,1
0.090778,2
0.090778,2
0.091477,2
0.091477,2
0.092187,2
0.092187,1
0.092914,2
0.092914,1
0.093638,2
0.093638,1
0.094367,2
0.094367,2
0.095089,2
0.095089,2
0.095821,2
0.095821,1
0.096549,2
0.096549,1
0.097286,2
0.097286,1
0.098023,2
0.098023,1
0.098768,2
0.098768,1
0.099511,2
0.099511,1
0.100111,2
0.100111,1
0.100723,2
0.100723,1
0.101469,1
0.101469,1
0.102282,2
0.102282,1
0.103069,2
0.103069,1
0.103684,1
0.103684,1
0.104447,2
0.104447,1
0.104999,2
0.104999,1
0.105545,2
0.105545,1
0.106128,2
0.106128,1
0.10675,2
0.10675,1
0.107298,2
0.107298,1
0.107868,2
0.107868,1
0.108403,2
0.108403,1
0.108968,2
0.108968,1
0.10949,2
0.10949,1
0.110051,2
0.110051,1
0.110556,2
0.110556,1
0.111108,2
0.111108,2
0.111108,1
0.11169,2
0.11169,2
0.11169,1
0.112227,2
0.112227,1
0.112756,2
0.112756,1
0.113453,2
0.113453,1
0.114332,2
0.114332,2
0.114332,1
0.11489,2
0.11489,2
0.11489,2
0.11489,1
0.115453,2
0.115453,2
0.115453,1
0.11611,2
0.11611,1
0.116726,2
0.116726,2
0.116726,1
0.11726,2
0.11726,2
0.11726,2
0.11726,1
0.117861,2
0.117861,2
0.117861,1
0.118586,2
0.118586,1
0.119248,2
0.119248,2
0.119248,2
0.119248,1
0.120174,2
0.120174,1
0.120764,2
0.120764,1
0.121399,2
0.121399,1
0.122062,2
0.122062,2
0.122828,2
0.122828,2
0.122828,1
0.123334,2
0.123334,2
0.123334,2
0.124273,2
0.124273,2
0.124273,2
0.124858,2
0.124858,2
0.124858,2
0.124858,2
0.125647,2
0.125647,2
0.12617,2
0.12617,2
0.126808,2
0.126808,2
0.126808,2
0.127321,2
0.127321,2
0.127321,2
0.127901,2
0.127901,2
0.128457,2
0.128457,2
0.128457,2
0.12901,2
0.12901,2
0.12901,2
0.129605,2
0.129605,2
0.129605,2
0.130121,2
0.130121,2
0.130121,2
0.130121,2
0.130673,2
0.130673,2
0.130673,2
0.131208,2
0.131208,2
0.131208,2
0.131208,2
0.131791,2
0.131791,2
0.131791,2
0.131791,2
0.132549,2
0.132549,2
0.133105,2
0.133105,2
0.133886,2
0.133886,2
0.134387,2
0.134387,2
0.134918,2
0.134918,2
0.134918,2
0.135419,2
0.135419,2
0.135419,2
0.135419,2
0.135999,2
0.135999,2
0.135999,2
0.136804,2
0.136804,2
0.137508,2
0.137508,2
0.137508,2
0.137508,2
0.138454,2
0.138454,2
0.138454,2
0.138985,2
0.138985,2
0.138985,2
0.139489,2
0.139489,2
0.139489,2
0.140064,2
0.140064,2
0.140064,2
0.140823,2
0.140823,2
0.141871,2
0.141871,2
0.141871,2
0.141871,2
0.142606,2
0.142606,2
0.143143,2
0.143143,2
0.143875,2
0.143875,2
0.144434,2
0.144434,2
0.145057,2
0.145057,2
0.145057,2
0.145057,2
0.145992,2
0.145992,2
0.145992,2
0.146498,2
0.146498,2
0.146498,2
0.147132,2
0.147132,2
0.147807,2
0.147807,2
0.147807,2
0.147807,2
0.148649,2
0.148649,2
0.148649,2
0.149209,2
0.149209,2
0.149209,2
0.149209,2
0.149779,2
0.149779,2
0.149779,2
0.150379,2
0.150379,2
0.150991,2
0.150991,2
0.150991,2
0.150991,2
0.151957,2
0.151957,2
0.152533,2
0.152533,2
0.153216,2
0.153216,2
0.153216,2
0.153727,2
0.153727,2
0.153727,2
0.154278,2
0.154278,2
0.154885,2
0.154885,2
0.154885,2
0.155433,2
0.155433,2
0.155433,2
0.156003,2
0.156003,2
0.156559,2
0.156559,2
0.156559,2
0.157095,2
0.157095,2
0.157095,2
0.157639,2
0.157639,2
0.157639,2
0.15822,2
0.15822,2
0.15822,2
0.158829,2
0.158829,2
0.158829,2
0.15937,2
0.15937,2
0.15937,2
0.15937,2
0.159957,2
0.159957,2
0.159957,2
0.160598,2
0.160598,2
0.161412,2
0.161412,2
0.161412,2
0.162019,2
0.162019,2
0.162019,2
0.162678,2
0.162678,2
0.162678,2
0.163218,2
0.163218,2
0.163218,2
0.163812,2
0.163812,2
0.163812,2
0.164384,2
0.164384,2
0.164384,2
0.165184,2
0.165184,2
0.165184,2
0.165184,2
0.166033,2
0.166033,2
0.16659,2
0.16659,2
0.167127,2
0.167127,2
0.167127,2
0.167718,2
0.167718,2
0.167718,2
0.168258,2
0.168258,2
0.168258,2
0.168821,2
0.168821,2
0.168821,2
0.169617,2
0.169617,2
0.169617,2
